(k=4) Simplex-Centroid Design
 
(k=4) Simplex-Centroid Design
 
k = 4 factors
n = 15 runs
 
















     X1     X2     X3     X4
  -----------------------------
   1.000  0.000  0.000  0.000
   0.000  1.000  0.000  0.000
   0.000  0.000  1.000  0.000
   0.000  0.000  0.000  1.000
   0.500  0.500  0.000  0.000
   0.500  0.000  0.500  0.000
   0.500  0.000  0.000  0.500
   0.000  0.500  0.500  0.000
   0.000  0.500  0.000  0.500
   0.000  0.000  0.500  0.500
   0.000  0.333  0.333  0.333
   0.333  0.000  0.333  0.333
   0.333  0.333  0.000  0.333
   0.333  0.333  0.333  0.000
   0.250  0.250  0.250  0.250
 
