TAGUCHI L50 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 12
NUMBER OF LEVELS FOR EACH FACTOR =  2 FOR 1  FACTOR
                                    5 FOR 11 FACTORS
NUMBER OF OBSERVATIONS           = 50
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGE 1174.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 20 VARIABLES
      SKIP 25
      READ L50.DAT X1 TO X12
DATE--JUNE 1988






X  X  X  X  X  X  X  X  X  X  X  X
1  2  3  4  5  6  7  8  9 10 11 12
----------------------------------
1  1  1  1  1  1  1  1  1  1  1  1
1  1  2  2  2  2  2  2  2  2  2  2
1  1  3  3  3  3  3  3  3  3  3  3
1  1  4  4  4  4  4  4  4  4  4  4
1  1  5  5  5  5  5  5  5  5  5  5
1  2  1  2  3  4  5  1  2  3  4  5
1  2  2  3  4  5  1  2  3  4  5  1
1  2  3  4  5  1  2  3  4  5  1  2
1  2  4  5  1  2  3  4  5  1  2  3
1  2  5  1  2  3  4  5  1  2  3  4
1  3  1  3  5  2  4  4  1  3  5  2
1  3  2  4  1  3  5  5  2  4  1  3
1  3  3  5  2  4  1  1  3  5  2  4
1  3  4  1  3  5  2  2  4  1  3  5
1  3  5  2  4  1  3  3  5  2  4  1
1  4  1  4  2  5  3  5  3  1  4  2
1  4  2  5  3  1  4  1  4  2  5  3
1  4  3  1  4  2  5  2  5  3  1  4
1  4  4  2  5  3  1  3  1  4  2  5
1  4  5  3  1  4  2  4  2  5  3  1
1  5  1  5  4  3  2  4  3  2  1  5
1  5  2  1  5  4  3  5  4  3  2  1
1  5  3  2  1  5  4  1  5  4  3  2
1  5  4  3  2  1  5  2  1  5  4  3
1  5  5  4  3  2  1  3  2  1  5  4
2  1  1  1  4  5  4  3  2  5  2  3
2  1  2  2  5  1  5  4  3  1  3  4
2  1  3  3  1  2  1  5  4  2  4  5
2  1  4  4  2  3  2  1  5  3  5  1
2  1  5  5  3  4  3  2  1  4  1  2
2  2  1  2  1  3  3  2  4  5  5  4
2  2  2  3  2  4  4  3  5  1  1  5
2  2  3  4  3  5  5  4  1  2  2  1
2  2  4  5  4  1  1  5  2  3  3  2
2  2  5  1  5  2  2  1  3  4  4  3
2  3  1  3  3  1  2  5  5  4  2  4
2  3  2  4  4  2  3  1  1  5  3  5
2  3  3  5  5  3  4  2  2  1  4  1
2  3  4  1  1  4  5  3  3  2  5  2
2  3  5  2  2  5  1  4  4  3  1  3
2  4  1  4  5  4  1  2  5  2  3  3
2  4  2  5  1  5  2  3  1  3  4  4
2  4  3  1  2  1  3  4  2  4  5  5
2  4  4  2  3  2  4  5  3  5  1  1
2  4  5  3  4  3  5  1  4  1  2  2
2  5  1  5  2  2  5  3  4  4  3  1
2  5  2  1  3  3  1  4  5  5  4  2
2  5  3  2  4  4  2  5  1  1  5  3
2  5  4  3  5  5  3  1  2  2  1  4
2  5  5  4  1  1  4  2  3  3  2  5
