(8,2) Simplex-Lattice   k = 8 n = 36 Quad
 
(8,2) Simplex-Lattice   k = 8 n = 36 Quad
 
k = 8 factors; d = degree 2
n = 36 runs
 
















    X1   X2   X3   X4   X5   X6   X7   X8
  -----------------------------------------
   1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
   0.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0
   0.0  0.0  1.0  0.0  0.0  0.0  0.0  0.0
   0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0
   0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0
   0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0
   0.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0
   0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0
   0.5  0.5  0.0  0.0  0.0  0.0  0.0  0.0
   0.5  0.0  0.5  0.0  0.0  0.0  0.0  0.0
   0.5  0.0  0.0  0.5  0.0  0.0  0.0  0.0
   0.5  0.0  0.0  0.0  0.5  0.0  0.0  0.0
   0.5  0.0  0.0  0.0  0.0  0.5  0.0  0.0
   0.5  0.0  0.0  0.0  0.0  0.0  0.5  0.0
   0.5  0.0  0.0  0.0  0.0  0.0  0.0  0.5
   0.0  0.5  0.5  0.0  0.0  0.0  0.0  0.0
   0.0  0.5  0.0  0.5  0.0  0.0  0.0  0.0
   0.0  0.5  0.0  0.0  0.5  0.0  0.0  0.0
   0.0  0.5  0.0  0.0  0.0  0.5  0.0  0.0
   0.0  0.5  0.0  0.0  0.0  0.0  0.5  0.0
   0.0  0.5  0.0  0.0  0.0  0.0  0.0  0.5
   0.0  0.0  0.5  0.5  0.0  0.0  0.0  0.0
   0.0  0.0  0.5  0.0  0.5  0.0  0.0  0.0
   0.0  0.0  0.5  0.0  0.0  0.5  0.0  0.0
   0.0  0.0  0.5  0.0  0.0  0.0  0.5  0.0
   0.0  0.0  0.5  0.0  0.0  0.0  0.0  0.5
   0.0  0.0  0.0  0.5  0.5  0.0  0.0  0.0
   0.0  0.0  0.0  0.5  0.0  0.5  0.0  0.0
   0.0  0.0  0.0  0.5  0.0  0.0  0.5  0.0
   0.0  0.0  0.0  0.5  0.0  0.0  0.0  0.5
   0.0  0.0  0.0  0.0  0.5  0.5  0.0  0.0
   0.0  0.0  0.0  0.0  0.5  0.0  0.5  0.0
   0.0  0.0  0.0  0.0  0.5  0.0  0.0  0.5
   0.0  0.0  0.0  0.0  0.0  0.5  0.5  0.0
   0.0  0.0  0.0  0.0  0.0  0.5  0.0  0.5
   0.0  0.0  0.0  0.0  0.0  0.0  0.5  0.5
 
