TAGUCHI L27 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 13
NUMBER OF LEVELS FOR EACH FACTOR =  2 FOR  1 FACTOR
                                    3 FOR 12 FACTORS
NUMBER OF OBSERVATIONS           = 27
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGE 1154.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 20 VARIABLES
      SKIP 25
      READ L27.DAT X1 TO X13
DATE--JUNE 1988






X  X  X  X  X  X  X  X  X  X  X  X  X
1  2  3  4  5  6  7  8  9 10 11 12 13
-------------------------------------------
1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  2  2  2  2  2  2  2  2  2
1  1  1  1  3  3  3  3  3  3  3  3  3
1  2  2  2  1  1  1  2  2  2  3  3  3
1  2  2  2  2  2  2  3  3  3  1  1  1
1  2  2  2  3  3  3  1  1  1  2  2  2
1  3  3  3  1  1  1  3  3  3  2  2  2
1  3  3  3  2  2  2  1  1  1  3  3  3
1  3  3  3  3  3  3  2  2  2  1  1  1
2  1  2  3  1  2  3  1  2  3  1  2  3
2  1  2  3  2  3  1  2  3  1  2  3  1
2  1  2  3  3  1  2  3  1  2  3  1  2
2  2  3  1  1  2  3  2  3  1  3  1  2
2  2  3  1  2  3  1  3  1  2  1  2  3
2  2  3  1  3  1  2  1  2  3  2  3  1
2  3  1  2  1  2  3  3  1  2  2  3  1
2  3  1  2  2  3  1  1  2  3  3  1  2
2  3  1  2  3  1  2  2  3  1  1  2  3
3  1  3  2  1  3  2  1  3  2  1  3  2
3  1  3  2  2  1  3  2  1  3  2  1  3
3  1  3  2  3  2  1  3  2  1  3  2  1
3  2  1  3  1  3  2  2  1  3  3  2  1
3  2  1  3  2  1  3  3  2  1  1  3  2
3  2  1  3  3  2  1  1  3  2  2  1  3
3  3  2  1  1  3  2  3  2  1  2  1  3
3  3  2  1  2  1  3  1  3  2  3  2  1
3  3  2  1  3  2  1  2  1  3  1  3  2
