THIS IS DATAPLOT DESIGN OF EXPERIMENT FILE     PB36.DAT
PLACKETT-BURMAN 36-RUN DESIGN
NUMBER OF LEVELS FOR EACH FACTOR =  2
NUMBER OF FACTORS                = 35
NUMBER OF RUNS                   = 36 (A SATURATED DESIGN)
RESOLUTION                       =  3 (CAUTION! MAIN EFFECTS
                                      COUNFOUNDED WITH 2-TERM
                                      INTERACTIONS)
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
CONFOUNDING STRUCTURE--
   A 35-FACTOR DESIGN HAS 35*34/2 = 595 2-TERM INTERACTIONS.
   THE CONFOUNDING FOR THIS DESIGN IS SEVERE--
   EACH MAIN EFFECT IS EQUI-CONFOUNDED WITH ALL
   595-34 = 561 2-TERM INTERACTIONS NOT INVOLVING THE
   FACTOR ITSELF;  THUS, FOR EXAMPLE, THE ESTIMATED FACTOR 1
   EFFECT IS EQUI-CONFOUNDED WITH ALL 595 2-TERM INTERACTIONS
   EXCEPT FOR THOSE 34 WHICH INVOLVE FACTOR 1
   (NAMELY, 1x2, 1x3, ..., 1x35).
 
   CONVERSELY, IF A GIVEN 2-TERM INTERACTION IS REAL & LARGE,
   THEN IT WILL EQUI-CONFOUND/CONTAMINATE 33 OF THE 35
   MAIN EFFECTS.
 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      DESIGN SHOULD BE RUN IN RANDOM ORDER.
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 40 VARIABLES
      SKIP 50
      READ PB36.DAT X1 TO X35
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X
1 2 3 4 5 6 7 8 9 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3
                  0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5
--------------------------------------------------------------------
1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2
1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1
2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2
1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1
2 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1
1 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2
2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2
1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1
2 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1
1 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2
2 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1
1 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2
2 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1
1 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2
2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2
1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1
2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2
1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1
2 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 1
1 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2
2 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1
1 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 2
2 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1
1 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2
2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2
1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2 2 1
2 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1
1 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1 1 2
2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2 2 2
1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1 2 1
2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1 2 2
1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1
2 2 2 2 2 1 1 2 2 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 2 1
1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 2 2 1 2 1 1 1
