(k=5) Simplex-Centroid Design
 
(k=5) Simplex-Centroid Design
 
k = 5 factors
n = 31 runs
 
















     X1     X2     X3     X4    X5
  ----------------------------------
   1.000  0.000  0.000  0.000  0.000
   0.000  1.000  0.000  0.000  0.000
   0.000  0.000  1.000  0.000  0.000
   0.000  0.000  0.000  1.000  0.000
   0.000  0.000  0.000  0.000  1.000
   0.500  0.500  0.000  0.000  0.000
   0.500  0.000  0.500  0.000  0.000
   0.500  0.000  0.000  0.500  0.000
   0.500  0.000  0.000  0.000  0.500
   0.000  0.500  0.500  0.000  0.000
   0.000  0.500  0.000  0.500  0.000
   0.000  0.500  0.000  0.000  0.500
   0.000  0.000  0.500  0.500  0.000
   0.000  0.000  0.500  0.000  0.500
   0.000  0.000  0.000  0.500  0.500
   0.333  0.333  0.333  0.000  0.000
   0.333  0.333  0.000  0.333  0.000
   0.333  0.333  0.000  0.000  0.333
   0.333  0.000  0.333  0.333  0.000
   0.333  0.000  0.333  0.000  0.333
   0.333  0.000  0.000  0.333  0.333
   0.000  0.333  0.333  0.333  0.000
   0.000  0.333  0.333  0.000  0.333
   0.000  0.333  0.000  0.333  0.333
   0.000  0.000  0.333  0.333  0.333
   0.250  0.250  0.250  0.250  0.000
   0.250  0.250  0.250  0.000  0.250
   0.250  0.250  0.000  0.250  0.250
   0.250  0.000  0.250  0.250  0.250
   0.000  0.250  0.250  0.250  0.250
   0.200  0.200  0.250  0.250  0.250
 
