(k=6,d=2) Simplex-Lattice Design
 
(k=6,d=2) Simplex-Lattice Design
 
k = 6 factors; d = degree 2
n = 21 runs
 
















    X1   X2   X3   X4   X5   X6
  -------------------------------
   1.0  0.0  0.0  0.0  0.0  0.0
   0.0  1.0  0.0  0.0  0.0  0.0
   0.0  0.0  1.0  0.0  0.0  0.0
   0.0  0.0  0.0  1.0  0.0  0.0
   0.0  0.0  0.0  0.0  1.0  0.0
   0.0  0.0  0.0  0.0  0.0  1.0
   0.5  0.5  0.0  0.0  0.0  0.0
   0.5  0.0  0.5  0.0  0.0  0.0
   0.5  0.0  0.0  0.5  0.0  0.0
   0.5  0.0  0.0  0.0  0.5  0.0
   0.5  0.0  0.0  0.0  0.0  0.5
   0.0  0.5  0.5  0.0  0.0  0.0
   0.0  0.5  0.0  0.5  0.0  0.0
   0.0  0.5  0.0  0.0  0.5  0.0
   0.0  0.5  0.0  0.0  0.0  0.5
   0.0  0.0  0.5  0.5  0.0  0.0
   0.0  0.0  0.5  0.0  0.5  0.0
   0.0  0.0  0.5  0.0  0.0  0.5
   0.0  0.0  0.0  0.5  0.5  0.0
   0.0  0.0  0.0  0.5  0.0  0.5
   0.0  0.0  0.0  0.0  0.5  0.5
 
