TAGUCHI L54 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 26
NUMBER OF LEVELS FOR EACH FACTOR =  2 FOR 1  FACTOR
                                    3 FOR 25 FACTORS
NUMBER OF OBSERVATIONS           = 54
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGE 1156.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 30 VARIABLES
      SKIP 25
      READ L54.DAT X1 TO X26
DATE--JUNE 1988






X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
--------------------------------------------------------------------------------
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
1  1  1  1  1  1  1  1  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3
1  1  2  2  2  2  2  2  1  1  1  1  1  1  2  3  2  3  2  3  2  3  2  3  2  3
1  1  2  2  2  2  2  2  2  2  2  2  2  2  3  1  3  1  3  1  3  1  3  1  3  1
1  1  2  2  2  2  2  2  3  3  3  3  3  3  1  2  1  2  1  2  1  2  1  2  1  2
1  1  3  3  3  3  3  3  1  1  1  1  1  1  3  2  3  2  3  2  3  2  3  2  3  2
1  1  3  3  3  3  3  3  2  2  2  2  2  2  1  3  1  3  1  3  1  3  1  3  1  3
1  1  3  3  3  3  3  3  3  3  3  3  3  3  2  1  2  1  2  1  2  1  2  1  2  1
1  2  1  1  2  2  3  3  1  1  2  2  3  3  1  1  1  1  2  3  2  3  3  2  3  2
1  2  1  1  2  2  3  3  2  2  3  3  1  1  2  2  2  2  3  1  3  1  1  3  1  3
1  2  1  1  2  2  3  3  3  3  1  1  2  2  3  3  3  3  1  2  1  2  2  1  2  1
1  2  2  2  3  3  1  1  1  1  2  2  3  3  2  3  2  3  3  2  3  2  1  1  1  1
1  2  2  2  3  3  1  1  2  2  3  3  1  1  3  1  3  1  1  3  1  3  2  2  2  2
1  2  2  2  3  3  1  1  3  3  1  1  2  2  1  2  1  2  2  1  2  1  3  3  3  3
1  2  3  3  1  1  2  2  1  1  2  2  3  3  3  2  3  2  1  1  1  1  2  3  2  3
1  2  3  3  1  1  2  2  2  2  3  3  1  1  1  3  1  3  2  2  2  2  3  1  3  1
1  2  3  3  1  1  2  2  3  3  1  1  2  2  2  1  2  1  3  3  3  3  1  2  1  2
1  3  1  2  1  3  2  3  1  2  1  3  2  3  1  1  2  3  1  1  3  2  2  3  3  2
1  3  1  2  1  3  2  3  2  3  2  1  3  1  2  2  3  1  2  2  1  3  3  1  1  3
1  3  1  2  1  3  2  3  3  1  3  2  1  2  3  3  1  2  3  3  2  1  1  2  2  1
1  3  2  3  2  1  3  1  1  2  1  3  2  3  2  3  3  2  2  3  1  1  3  2  1  1
1  3  2  3  2  1  3  1  2  3  2  1  3  1  3  1  1  3  3  1  2  2  1  3  2  2
1  3  2  3  2  1  3  1  3  1  3  2  1  2  1  2  2  1  1  2  3  3  2  1  3  3
1  3  3  1  3  2  1  2  1  2  1  3  2  3  3  2  1  1  3  2  2  3  1  1  2  3
1  3  3  1  3  2  1  2  2  3  2  1  3  1  1  3  2  2  1  3  3  1  2  2  3  1
1  3  3  1  3  2  1  2  3  1  3  2  1  2  2  1  3  3  2  1  1  2  3  3  1  2
2  1  1  3  3  2  2  1  1  3  3  2  2  1  1  1  3  2  3  2  2  3  2  3  1  1
2  1  1  3  3  2  2  1  2  1  1  3  3  2  2  2  1  3  1  3  3  1  3  1  2  2
2  1  1  3  3  2  2  1  3  2  2  1  1  3  3  3  2  1  2  1  1  2  1  2  3  3
2  1  2  1  1  3  3  2  1  3  3  2  2  1  2  3  1  1  1  1  3  2  3  2  2  3
2  1  2  1  1  3  3  2  2  1  1  3  3  2  3  1  2  2  2  2  1  3  1  3  3  1
2  1  2  1  1  3  3  2  3  2  2  1  1  3  1  2  3  3  3  3  2  1  2  1  1  2
2  1  3  2  2  1  1  3  1  3  3  2  2  1  3  2  2  3  2  3  1  1  1  1  3  2
2  1  3  2  2  1  1  3  2  1  1  3  3  2  1  3  3  1  3  1  2  2  2  2  1  3
2  1  3  2  2  1  1  3  3  2  2  1  1  3  2  1  1  2  1  2  3  3  3  3  2  1
2  2  1  2  3  1  3  2  1  2  3  1  3  2  1  1  2  3  3  2  1  1  3  2  2  3
2  2  1  2  3  1  3  2  2  3  1  2  1  3  2  2  3  1  1  3  2  2  1  3  3  1
2  2  1  2  3  1  3  2  3  1  2  3  2  1  3  3  1  2  2  1  3  3  2  1  1  2
2  2  2  3  1  2  1  3  1  2  3  1  3  2  2  3  3  2  1  1  2  3  1  1  3  2
2  2  2  3  1  2  1  3  2  3  1  2  1  3  3  1  1  3  2  2  3  1  2  2  1  3
2  2  2  3  1  2  1  3  3  1  2  3  2  1  1  2  2  1  3  3  1  2  3  3  2  1
2  2  3  1  2  3  2  1  1  2  3  1  3  2  3  2  1  1  2  3  3  2  2  3  1  1
2  2  3  1  2  3  2  1  2  3  1  2  1  3  1  3  2  2  3  1  1  3  3  1  2  2
2  2  3  1  2  3  2  1  3  1  2  3  2  1  2  1  3  3  1  2  2  1  1  2  3  3
2  3  1  3  2  3  1  2  1  3  2  3  1  2  1  1  3  2  2  3  3  2  1  1  2  3
2  3  1  3  2  3  1  2  2  1  3  1  2  3  2  2  1  3  3  1  1  3  2  2  3  1
2  3  1  3  2  3  1  2  3  2  1  2  3  1  3  3  2  1  1  2  2  1  3  3  1  2
2  3  2  1  3  1  2  3  1  3  2  3  1  2  2  3  1  1  3  2  1  1  2  3  3  2
2  3  2  1  3  1  2  3  2  1  3  1  2  3  3  1  2  2  1  3  2  2  3  1  1  3
2  3  2  1  3  1  2  3  3  2  1  2  3  1  1  2  3  3  2  1  3  3  1  2  2  1
2  3  3  2  1  2  3  1  1  3  2  3  1  2  3  2  2  3  1  1  2  3  3  2  1  1
2  3  3  2  1  2  3  1  2  1  3  1  2  3  1  3  3  1  2  2  3  1  1  3  2  2
2  3  3  2  1  2  3  1  3  2  1  2  3  1  2  1  1  2  3  3  1  2  2  1  3  3
