(k=5,d=3) Simplex-Lattice Design
 
(k=5,d=3) Simplex-Lattice Design
 
k = 5 factors; d = degree 3
n = 35 runs
 
















     X1     X2     X3     X4     X5
  ----------------------------------
   1.000  0.000  0.000  0.000  0.000
   0.000  1.000  0.000  0.000  0.000
   0.000  0.000  1.000  0.000  0.000
   0.000  0.000  0.000  1.000  0.000
   0.000  0.000  0.000  0.000  1.000
   0.667  0.333  0.000  0.000  0.000
   0.667  0.000  0.333  0.000  0.000
   0.667  0.000  0.000  0.333  0.000
   0.667  0.000  0.000  0.000  0.333
   0.000  0.667  0.333  0.000  0.000
   0.000  0.667  0.000  0.333  0.000
   0.000  0.667  0.000  0.000  0.333
   0.000  0.000  0.667  0.333  0.000
   0.000  0.000  0.667  0.000  0.333
   0.000  0.000  0.000  0.667  0.333
   0.333  0.667  0.000  0.000  0.000
   0.333  0.000  0.667  0.000  0.000
   0.333  0.000  0.000  0.667  0.000
   0.333  0.000  0.000  0.000  0.667
   0.000  0.333  0.667  0.000  0.000
   0.000  0.333  0.000  0.667  0.000
   0.000  0.333  0.000  0.000  0.667
   0.000  0.000  0.333  0.667  0.000
   0.000  0.000  0.333  0.000  0.667
   0.000  0.000  0.000  0.333  0.667
   0.333  0.333  0.333  0.000  0.000
   0.333  0.333  0.000  0.333  0.000
   0.333  0.333  0.000  0.000  0.333
   0.333  0.000  0.333  0.333  0.000
   0.333  0.000  0.333  0.000  0.333
   0.333  0.000  0.000  0.333  0.333
   0.000  0.333  0.333  0.333  0.000
   0.000  0.333  0.333  0.000  0.333
   0.000  0.333  0.000  0.333  0.333
   0.000  0.000  0.333  0.333  0.333
 
