(k=5,d=2) Simplex-Lattice Design
 
(k=5,d=2) Simplex-Lattice Design
 
k = 5 factors; d = degree 2
n = 15 runs
 
















    X1   X2   X3   X4   X5
  --------------------------
   1.0  0.0  0.0  0.0  0.0
   0.0  1.0  0.0  0.0  0.0
   0.0  0.0  1.0  0.0  0.0
   0.0  0.0  0.0  1.0  0.0
   0.0  0.0  0.0  0.0  1.0
   0.5  0.5  0.0  0.0  0.0
   0.5  0.0  0.5  0.0  0.0
   0.5  0.0  0.0  0.5  0.0
   0.5  0.0  0.0  0.0  0.5
   0.0  0.5  0.5  0.0  0.0
   0.0  0.5  0.0  0.5  0.0
   0.0  0.5  0.0  0.0  0.5
   0.0  0.0  0.5  0.5  0.0
   0.0  0.0  0.5  0.0  0.5
   0.0  0.0  0.0  0.5  0.5
 
