TAGUCHI L16 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 15
NUMBER OF LEVELS FOR EACH FACTOR =  2
NUMBER OF OBSERVATIONS           = 16
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGE 1130.
         --TAGUCHI, SYS. OF EXP. DES., VOL. 1, PAGES 188-205.
NOTE--THIS DESIGN IS EQUIVALENT TO A
      2**(15-11) FRACTIONAL FACTORIAL DESIGN
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 20 VARIABLES
      SKIP 25
      READ L16.DAT X1 TO X15
DATE--JUNE 1988




X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
-------------------------------------------
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  2  2  2  2  2  2  2  2
1  1  1  2  2  2  2  1  1  1  1  2  2  2  2
1  1  1  2  2  2  2  2  2  2  2  1  1  1  1
1  2  2  1  1  2  2  1  1  2  2  1  1  2  2
1  2  2  1  1  2  2  2  2  1  1  2  2  1  1
1  2  2  2  2  1  1  1  1  2  2  2  2  1  1
1  2  2  2  2  1  1  2  2  1  1  1  1  2  2
2  1  2  1  2  1  2  1  2  1  2  1  2  1  2
2  1  2  1  2  1  2  2  1  2  1  2  1  2  1
2  1  2  2  1  2  1  1  2  1  2  2  1  2  1
2  1  2  2  1  2  1  2  1  2  1  1  2  1  2
2  2  1  1  2  2  1  1  2  2  1  1  2  2  1
2  2  1  1  2  2  1  2  1  1  2  2  1  1  2
2  2  1  2  1  1  2  1  2  2  1  2  1  1  2
2  2  1  2  1  1  2  2  1  1  2  1  2  2  1
