(k=4,d=4) Simplex-Lattice Design
 
(k=4,d=4) Simplex-Lattice Design
 
k = 4 factors; d = degree 4
n = 35 runs
 
















     X1     X2     X3     X4
  -----------------------------
   1.000  0.000  0.000  0.000
   0.000  1.000  0.000  0.000
   0.000  0.000  1.000  0.000
   0.000  0.000  0.000  1.000
   0.750  0.250  0.000  0.000
   0.750  0.000  0.250  0.000
   0.750  0.000  0.000  0.250
   0.000  0.750  0.250  0.000
   0.000  0.750  0.000  0.250
   0.000  0.000  0.750  0.250
   0.250  0.750  0.000  0.000
   0.250  0.000  0.750  0.000
   0.250  0.000  0.000  0.750
   0.000  0.250  0.750  0.000
   0.000  0.250  0.000  0.750
   0.000  0.000  0.250  0.750
   0.500  0.500  0.000  0.000
   0.500  0.000  0.500  0.000
   0.500  0.000  0.000  0.500
   0.000  0.500  0.500  0.000
   0.000  0.500  0.000  0.500
   0.000  0.000  0.500  0.500
   0.500  0.250  0.250  0.000
   0.500  0.250  0.000  0.250
   0.500  0.000  0.250  0.250
   0.250  0.500  0.250  0.000
   0.250  0.500  0.000  0.250
   0.000  0.500  0.250  0.250
   0.250  0.250  0.500  0.000
   0.250  0.000  0.500  0.250
   0.000  0.250  0.500  0.250
   0.250  0.250  0.000  0.500
   0.250  0.000  0.250  0.500
   0.000  0.250  0.250  0.500
   0.250  0.250  0.250  0.250
 
