2-FACTOR CENTRAL COMPOSITE DESIGN
NUMBER OF LEVELS FOR EACH FACTOR =  5
NUMBER OF FACTORS                =  2
NUMBER OF OBSERVATIONS           =  12
NOTE--THIS DESIGN IS A COMBINATION OF A
         1) 2**2 FACTORIAL DESIGN WITH 2 CENTER POINTS; AND
         2) 2-FACTOR STAR WITH 2 CENTER POINTS DESIGN
NOTE--THIS DESIGN IS FREQUENTLY RUN IN 2 STAGES--
         1) 2**2 FACTORAIAL DESIGN WITH 2 CENTER POINTS
            (THE FIRST 6 DESIGN POINTS)
         2) 2-FACTOR STAR WITH 2 CENTER POINTS DESIGN
            (THE LAST  6 DESIGN POINTS)
REFERENCE--BOX, HUNTER & HUNTER,
           STATISTICS FOR EXPERIMENTERS, PAGE 519
NOTE--THIS IS A "RESPONSE SURFACE DESIGN"
      IT IS USED IN A SEQUENTIAL FASHION WHEN--
         1) THE GOAL IS RESPONSE OPTIMIZATION
         2) THE 2 FACTORS ARE CONTINUOUS (E.G. CONCENTRATION)
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS) SHOULD BE
      RUN IN RANDOM ORDER (SEE DATAPLOT'S RANDOM PERMUTATION FILES).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      SKIP 50
      READ CC2.DAT X1 X2
DATE--MAY 1989
























    X1        X2
   ----------------
   -1        -1
   +1        -1
   -1        +1
   +1        +1
    0         0
    0         0
   -1.414     0
   +1.414     0
    0        -1.414
    0        +1.414
    0         0
    0         0
