TAGUCHI L64 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 31
NUMBER OF LEVELS FOR EACH FACTOR =  2
NUMBER OF OBSERVATIONS           = 64
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGES 1140-1141.
NOTE--THIS DESIGN IS EQUIVALENT TO A
      2**(31-25) FRACTIONAL FACTORIAL DESIGN
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 40 VARIABLES
      SKIP 25
      READ TAGUCHIL64.DAT X1 TO X31
DATE--JUNE 1988





X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
-------------------------------------------------------------------------------------------
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2
1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2
1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1
1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1
1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  2  2  2  2
1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  2  2  2  2
1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1
1  1  1  2  2  2  2  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1
1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1
1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  2  1  1  1  1
1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2
1  1  1  2  2  2  2  2  2  2  2  1  1  1  1  2  2  2  2  1  1  1  1  1  1  1  1  2  2  2  2
