2-FACTOR STAR DESIGN WITH 2 CENTER POINTS
NUMBER OF LEVELS FOR EACH FACTOR =  3
NUMBER OF FACTORS                =  2
NUMBER OF OBSERVATIONS           =  6
REFERENCE--BOX, HUNTER & HUNTER,
           STATISTICS FOR EXPERIMENTERS, PAGE 519
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS) SHOULD BE
      RUN IN RANDOM ORDER (SEE DATAPLOT'S RANDOM PERMUTATION FILES).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      SKIP 25
      READ STAR2WCP.DAT X1 X2
DATE--MAY 1989
 
 
 
 
 
 
 
 
 
 
 
    X1        X2
   ---------------
   -1.414     0
   +1.414     0
    0        -1.414
    0        +1.414
    0         0
    0         0
