This is Dataplot data file     HAHN1.DAT
Tom Hahn Copper Thermal Expansion Study
NIST, 197X
Response variable = coefficient of thermal expansion
Number of observations = 236
Number of variables per line image = 2
Order of variables on a line image--
   1. Response variable Y = Coefficient of thermal expansion
   2. Factor X = Temperature (degrees kelvin)
Note--cubic/cubic non-linear model
To read this into Dataplot--
   SKIP 25
   READ HAHN1.DAT Y X
 
 
 
 
 
 
 
 
 
 
Coef. of Ther. Exp.     Temperature (K)
-----------------------------------------
   24.41    .591
   34.82   1.547
   44.09  2.902
   45.07   2.894
   54.98   4.703
   65.51   6.307
   70.53   7.03
   75.70   7.898
   89.57   9.470
   91.14   9.484
   96.40  10.072
   97.19  10.163
  114.26  11.615
  120.25  12.005
  127.08  12.478
  133.55  12.982
  133.61  12.970
  158.67  13.926
  172.74  14.452
  171.31  14.404
  202.14  15.190
  220.55  15.550
  221.05  15.528
  221.39  15.499
  250.99  16.131
  268.99  16.438
  271.80  16.387
  271.97  16.549
  321.31  16.872
  321.69  16.830
  330.14  16.926
  333.03  16.907
  333.47  16.966
  340.77  17.060
  345.65  17.122
  373.11  17.311
  373.79  17.355
  411.82  17.668
  419.51  17.767
  421.59  17.803
  422.02  17.765
  422.47  17.768
  422.61  17.736
  441.75  17.858
  447.41  17.877
  448.7   17.912
  472.89  18.046
  476.69  18.085
  522.47  18.291
  522.62  18.357
  524.43  18.426
  546.75  18.584
  549.53  18.610
  575.29  18.870
  576.00  18.795
  625.55  19.111
   20.15    .367
   28.78    .796
   29.57   0.892
   37.41   1.903
   39.12   2.150
   50.24   3.697
   61.38   5.870
   66.25   6.421
   73.42   7.422
   95.52   9.944
  107.32  11.023
  122.04  11.87
  134.03  12.786
  163.19  14.067
  163.48  13.974
  175.70  14.462
  179.86  14.464
  211.27  15.381
  217.78  15.483
  219.14  15.59
  262.52  16.075
  268.01  16.347
  268.62  16.181
  336.25  16.915
  337.23  17.003
  339.33  16.978
  427.38  17.756
  428.58  17.808
  432.68  17.868
  528.99  18.481
  531.08  18.486
  628.34  19.090
  253.24  16.062
  273.13  16.337
  273.66  16.345
  282.10  16.388
  346.62  17.159
  347.19  17.116
  348.78  17.164
  351.18  17.123
  450.10  17.979
  450.35  17.974
  451.92  18.007
  455.56  17.993
  552.22  18.523
  553.56  18.669
  555.74  18.617
  652.59  19.371
  656.20  19.330
   14.13   0.080
   20.41   0.248
   31.30   1.089
   33.84   1.418
   39.70   2.278
   48.83   3.624
   54.50   4.574
   60.41   5.556
   72.77   7.267
   75.25   7.695
   86.84   9.136
   94.88   9.959
   96.40   9.957
  117.37  11.600
  139.08  13.138
  147.73  13.564
  158.63  13.871
  161.84  13.994
  192.11  14.947
  206.76  15.473
  209.07  15.379
  213.32  15.455
  226.44  15.908
  237.12  16.114
  330.90  17.071
  358.72  17.135
  370.77  17.282
  372.72  17.368
  396.24  17.483
  416.59  17.764
  484.02  18.185
  495.47  18.271
  514.78  18.236
  515.65  18.237
  519.47  18.523
  544.47  18.627
  560.11  18.665
  620.77  19.086
   18.97  0.214
   28.93  0.943
   33.91   1.429
   40.03   2.241
   44.66   2.951
  49.87   3.782
  55.16   4.757
  60.90   5.602
   72.08   7.169
  85.15   8.920
  97.06  10.055
  119.63  12.035
  133.27  12.861
  143.84   13.436
  161.91  14.167
  180.67  14.755
  198.44  15.168
  226.86  15.651
  229.65  15.746
  258.27  16.216
  273.77  16.445
  339.15  16.965
  350.13  17.121
  362.75  17.206
  371.03  17.250
393.32  17.339
  448.53  17.793
  473.78  18.123
  511.12  18.49
  524.70  18.566
  548.75  18.645
  551.64  18.706
 574.02  18.924
  623.86  19.1
 21.46  0.375
   24.33   0.471
   33.43   1.504
   39.22   2.204
   44.18   2.813
   55.02   4.765
   94.33   9.835
   96.44  10.040
  118.82  11.946
  128.48  12.596
  141.94  13.303
  156.92  13.922
  171.65  14.440
  190.00  14.951
  223.26  15.627
  223.88  15.639
  231.50  15.814
  265.05  16.315
  269.44  16.334
  271.78  16.430
  273.46  16.423
  334.61  17.024
  339.79  17.009
  349.52  17.165
  358.18  17.134
  377.98  17.349
  394.77  17.576
  429.66  17.848
  468.22  18.090
  487.27  18.276
  519.54  18.404
  523.03  18.519
  612.99  19.133
  638.59  19.074
  641.36  19.239
  622.05  19.280
  631.50  19.101
  663.97  19.398
  646.9  19.252
  748.29  19.89
  749.21  20.007
  750.14  19.929
  647.04  19.268
  646.89  19.324
  746.9  20.049
  748.43  20.107
  747.35  20.062
  749.27  20.065
  647.61  19.286
  747.78  19.972
  750.51  20.088
  851.37  20.743
  845.97  20.83
  847.54  20.935
  849.93  21.035
  851.61  20.93
  849.75  21.074
  850.98  21.085
  848.23  20.935
