 EVENT #: 6   NBS METROLOGY B165
 DATE:    07/10/89
 TIME:    13:34:24.80
 TYPE:    RMS/IMPULSE
 UNITS:   VOLTS
 CHANNEL: A
 SITE ID: Monitor 1


















           0.0     13.600
         256.0     21.600
         512.0     30.000
         768.0     38.400
        1024.0     46.400
        1280.0     54.400
        1536.0     61.600
        1792.0     69.600
        2048.0     76.800
        2304.0     84.000
        2560.0     90.800
        2816.0     96.800
        3072.0    104.000
        3328.0    111.200
        3584.0    117.200
        3840.0    122.800
        4096.0    128.000
        4352.0    133.600
        4608.0    138.400
        4864.0    142.400
        5120.0    146.400
        5376.0    148.800
        5632.0    151.200
        5888.0    152.800
        6144.0    154.800
        6400.0    156.000
        6656.0    157.600
        6912.0    158.400
        7168.0    159.600
        7424.0    160.400
        7680.0    160.800
        7936.0    160.800
        8192.0    160.800
        8448.0    160.800
        8704.0    159.600
        8960.0    158.000
        9216.0    156.000
        9472.0    152.800
        9728.0    148.400
        9984.0    143.600
       10240.0    137.600
       10496.0    132.000
       10752.0    126.000
       11008.0    120.800
       11264.0    114.800
       11520.0    108.400
       11776.0    102.400
       12032.0     96.000
       12288.0     88.800
       12544.0     81.200
       12800.0     73.600
       13056.0     66.000
       13312.0     58.000
       13568.0     49.600
       13824.0     40.800
       14080.0     31.600
       14336.0     23.200
       14592.0     14.400
       14848.0      4.800
       15104.0     -4.800
       15360.0    -13.200
       15616.0    -21.600
       15872.0    -29.600
       16128.0    -38.000
       16384.0    -46.000
       16640.0    -53.600
       16896.0    -61.600
       17152.0    -69.200
       17408.0    -76.800
       17664.0    -84.000
       17920.0    -90.400
       18176.0    -96.800
       18432.0   -104.000
       18688.0   -111.200
       18944.0   -116.800
       19200.0   -122.400
       19456.0   -128.000
       19712.0   -132.800
       19968.0   -137.600
       20224.0   -142.000
       20480.0   -145.600
       20736.0   -148.400
       20992.0   -150.400
       21248.0   -152.800
       21504.0   -154.400
       21760.0   -156.000
       22016.0   -157.200
       22272.0   -158.400
       22528.0   -159.200
       22784.0   -160.000
       23040.0   -160.800
       23296.0   -160.800
       23552.0   -160.800
       23808.0   -160.000
       24064.0   -159.200
       24320.0   -157.600
       24576.0   -155.600
       24832.0   -152.000
       25088.0   -148.000
       25344.0   -143.200
       25345.0   -108.000
       25346.0   -192.000
       25347.0   -144.000
       25348.0   -120.000
       25349.0   -132.000
       25350.0   -120.000
       25351.0   -120.000
       25352.0   -120.000
       25353.0   -120.000
       25354.0   -120.000
       25355.0   -120.000
       25356.0   -120.000
       25357.0   -120.000
       25358.0   -120.000
       25359.0   -120.000
       25360.0   -120.000
       25361.0   -120.000
       25362.0   -120.000
       25363.0   -120.000
       25364.0   -120.000
       25365.0   -120.000
       25366.0   -120.000
       25367.0   -120.000
       25368.0   -120.000
       25369.0   -120.000
       25370.0   -120.000
       25371.0   -120.000
       25372.0   -120.000
       25373.0   -120.000
       25374.0   -120.000
       25375.0   -120.000
       25376.0   -120.000
       25377.0   -120.000
       25378.0   -120.000
       25379.0   -120.000
       25380.0   -120.000
       25381.0   -120.000
       25382.0   -120.000
       25383.0   -120.000
       25384.0   -120.000
       25385.0   -120.000
       25386.0   -120.000
       25387.0   -120.000
       25388.0   -120.000
       25389.0   -120.000
       25390.0   -120.000
       25391.0   -120.000
       25392.0   -120.000
       25393.0   -120.000
       25394.0   -120.000
       25395.0   -120.000
       25396.0   -120.000
       25397.0   -120.000
       25398.0   -120.000
       25399.0   -120.000
       25400.0   -120.000
       25401.0   -120.000
       25402.0   -120.000
       25403.0   -120.000
       25404.0   -120.000
       25405.0   -120.000
       25406.0   -120.000
       25407.0   -120.000
       25408.0   -120.000
       25409.0   -120.000
       25410.0   -120.000
       25411.0   -120.000
       25412.0   -120.000
       25413.0   -120.000
       25414.0   -120.000
       25415.0   -120.000
       25416.0   -120.000
       25417.0   -120.000
       25418.0   -120.000
       25419.0   -120.000
       25420.0   -120.000
       25421.0   -120.000
       25422.0   -120.000
       25423.0   -120.000
       25424.0   -120.000
       25425.0   -120.000
       25426.0   -120.000
       25427.0   -120.000
       25428.0   -120.000
       25429.0   -120.000
       25430.0   -120.000
       25431.0   -120.000
       25432.0   -120.000
       25433.0   -120.000
       25434.0   -120.000
       25435.0   -120.000
       25436.0   -120.000
       25437.0   -120.000
       25438.0   -120.000
       25439.0   -120.000
       25440.0   -120.000
       25441.0   -120.000
       25442.0   -120.000
       25443.0   -120.000
       25444.0   -120.000
       25445.0    -96.000
       25446.0   -180.000
       25447.0    -72.000
       25448.0   -120.000
       25449.0   -120.000
       25450.0   -120.000
       25451.0   -132.000
       25452.0   -120.000
       25453.0   -132.000
       25454.0   -120.000
       25455.0   -120.000
       25456.0   -120.000
       25457.0   -120.000
       25458.0   -120.000
       25459.0    -60.000
       25460.0   -180.000
       25461.0    -36.000
       25462.0   -108.000
       25463.0   -120.000
       25464.0   -120.000
       25465.0   -132.000
