THIS IS DATAPLOT DATA FILE    CLARK1.DAT
PROJECT--ELECTRICAL CONNECTORS EVALUATION
DATA IS FOR--TYPE OF EXPERIMENT--HOT/COLD
             TYPE OF WIRE--ALUMINUM
             TYPE OF PLUG READING--OPEN
             AMPERAGE--10 AMP
DATE--JUNE 1975
CONTACT--LIZ CLARK
NUMBER OF HEADER CARDS--25
NUMBER OF DATA   CARDS--120
NUMBER OF VARIABLES ON A LINE IMAGE--5
ORDER OF VARIABLES ON A LINE IMAGE--
    1.  RESPONSE VARIABLE = VOLTAGE DROP
    2.  ELAPSED DAYS
    3.  TYPE OF CONNECTOR (1 = BRASS; 2 = STEEL; 3 = INNOVATIVE)
    4.  REPLICATION NUMBER (1 THROUGH 5)
    5.  CONNECTOR TYPE X REP (1 TO 15)
 
 
 
 
 
Voltage    Day    Connector  Replication   CT x R
 Drop               Type
-------------------------------------------------
 14.81      1         1          1          1
 14.62      1         1          2          2
 14.87      1         1          3          3
 17.43      1         1          4          4
 14.97      1         1          5          5
 14.90      8         1          1          1
 14.76      8         1          2          2
 15.01      8         1          3          3
 17.85      8         1          4          4
 15.11      8         1          5          5
 14.82     15         1          1          1
 14.72     15         1          2          2
 15.00     15         1          3          3
 17.95     15         1          4          4
 15.14     15         1          5          5
 14.75     29         1          1          1
 14.58     29         1          2          2
 14.88     29         1          3          3
 17.96     29         1          4          4
 15.03     29         1          5          5
 14.82     43         1          1          1
 14.68     43         1          2          2
 14.94     43         1          3          3
 18.15     43         1          4          4
 15.04     43         1          5          5
 15.05     57         1          1          1
 14.92     57         1          2          2
 14.80     57         1          3          3
 18.11     57         1          4          4
 14.97     57         1          5          5
 14.71     71         1          1          1
 14.46     71         1          2          2
 14.74     71         1          3          3
 18.01     71         1          4          4
 14.84     71         1          5          5
 14.93    107         1          1          1
 14.75    107         1          2          2
 15.00    107         1          3          3
 18.44    107         1          4          4
 15.11    107         1          5          5
 
 16.10      1         2          1          6
 15.24      1         2          2          7
 15.98      1         2          3          8
 16.20      1         2          4          9
 15.63      1         2          5         10
 15.89      8         2          1          6
 14.96      8         2          2          7
 15.77      8         2          3          8
 16.07      8         2          4          9
 15.50      8         2          5         10
 16.40     15         2          1          6
 15.51     15         2          2          7
 16.30     15         2          3          8
 16.56     15         2          4          9
 16.00     15         2          5         10
 16.22     29         2          1          6
 15.30     29         2          2          7
 16.08     29         2          3          8
 16.39     29         2          4          9
 15.84     29         2          5         10
 16.13     43         2          1          6
 15.27     43         2          2          7
 16.11     43         2          3          8
 16.37     43         2          4          9
 15.91     43         2          5         10
 16.20     57         2          1          6
 15.23     57         2          2          7
 16.06     57         2          3          8
 16.38     57         2          4          9
 15.83     57         2          5         10
 16.02     71         2          1          6
 15.10     71         2          2          7
 15.93     71         2          3          8
 16.17     71         2          4          9
 15.67     71         2          5         10
 16.26    107         2          1          6
 15.32    107         2          2          7
 16.19    107         2          3          8
 16.45    107         2          4          9
 15.88    107         2          5         10
 
 13.42      1         3          1         11
 13.10      1         3          2         12
 13.40      1         3          3         13
 13.51      1         3          4         14
 13.06      1         3          5         15
 13.57      9         3          1         11
 13.24      9         3          2         12
 13.55      9         3          3         13
 13.64      9         3          4         14
 13.19      9         3          5         15
 13.46     16         3          1         11
 13.19     16         3          2         12
 13.63     16         3          3         13
 13.75     16         3          4         14
 13.15     16         3          5         15
 13.16     30         3          1         11
 12.89     30         3          2         12
 13.31     30         3          3         13
 13.80     30         3          4         14
 12.81     30         3          5         15
 13.36     44         3          1         11
 13.09     44         3          2         12
 13.50     44         3          3         13
 14.02     44         3          4         14
 13.18     44         3          5         15
 13.71     58         3          1         11
 13.35     58         3          2         12
 13.95     58         3          3         13
 14.51     58         3          4         14
 13.41     58         3          5         15
 13.40     72         3          1         11
 13.10     72         3          2         12
 13.62     72         3          3         13
 14.23     72         3          4         14
 13.09     72         3          5         15
 13.40    108         3          1         11
 13.12    108         3          2         12
 13.70    108         3          3         13
 14.45    108         3          4         14
 13.16    108         3          5         15
