WEEKLY (ROUGHLY) FREON-12 READINGS AT MAUNA LOA (HAWAII) 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = MLOF12_WK.DAT
NUMBER OF OBSERVATIONS = 939
RESPONSE VARIABLE = MEAN FREON-12 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-12 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977   6 138  0.0   0.0 36   1.0023 -99.9900
1977  11 139  0.0   0.0 36   1.0019 -99.9900
1977  19 140  0.0   0.0 36   1.0021 -99.9900
1977  24 141  0.0   0.0 36   1.0018 -99.9900
1977  35 142  0.0   0.0 36   1.0039 -99.9900
1977  45 143  0.0   0.0 36   1.0030 -99.9900
1977  54 144  0.0   0.0 36   1.0036 -99.9900
1977  59 145  0.0   0.0 36   1.0049 -99.9900
1977  68 146  0.0   0.0 36   1.0024 -99.9900
1977  75 147  0.0   0.0 36   1.0030 -99.9900
1977  80 148  0.0   0.0 36   1.0021 -99.9900
1977  94 149  0.0   0.0 36   1.0095 -99.9900
1977 103 150  0.0   0.0 36   1.0021 -99.9900
1977 109 151  0.0   0.0 36   1.0029 -99.9900
1977 116 152  0.0   0.0 36   1.0090 -99.9900
1977 122 153  9.4 238.7 33   1.0032 -99.9900
1977 130 154  6.2 220.1 33   1.0077 -99.9900
1977 136 155  2.4 304.4 36   1.0028 -99.9900
1977 144 156  3.3 248.8 32   1.0022 -99.9900
1977 151 157  2.4 222.4 32   1.0025 -99.9900
1977 157 158  7.4 264.9 33   1.0063 -99.9900
1977 167 159  4.7 292.1 36   1.0034 -99.9900
1977 173 160  6.6 227.5 33   1.0047 336.8500
