This is Dataplot data file    DORKO4.DAT
Bill Dorko GASIE Upper Atmosphere SO4 Study   11/94
Phase 4: Ambient air diluted with dry 0
         (= no contaminants) air
Phase 4 questions:
   Are there lab-to-lab differences for normal
       (= real air) interferents; that is,
       are each of the labs equally good for ambient air?
Number of observations = 7 labs x 10 runs = 70
Number of variables per line image = 5
Order of variables on a line image--
   1. Response variable Y = SO4 concentration
   2. Factor 1 = Lab         ( 7 levels: 1 to 7)
   3. Factor 2 = Run         (10 levels: 106 to 115)
   4. Factor 3 = Day         ( 2 levels: 1 and 2)
   5. Factor 4 = Time of Day ( 5 levels: 1 to 5)
To read this file into Dataplot:
   SKIP 25
   READ DORKO4.DAT Y LAB RUN DAY TOD
 
 
 
 
SO2-Conc    Lab    Run      Day  Time-of-day
---------------------------------------------
   192       1     106       1       1
   182       1     107       1       2
    99       1     108       1       3
   109       1     109       1       4
    55       1     110       1       5
  1253       1     111       2       1
    49       1     112       2       2
    57       1     113       2       3
   304       1     114       2       4
    88       1     115       2       5
   236       2     106       1       1
   203       2     107       1       2
    80       2     108       1       3
    94       2     109       1       4
    91       2     110       1       5
  1487       2     111       2       1
    43       2     112       2       2
    53       2     113       2       3
   226       2     114       2       4
    60       2     115       2       5
   133       3     106       1       1
   116       3     107       1       2
    58       3     108       1       3
    67       3     109       1       4
    58       3     110       1       5
  1431       3     111       2       1
    25       3     112       2       2
    28       3     113       2       3
   122       3     114       2       4
    37       3     115       2       5
   192       4     106       1       1
   159       4     107       1       2
    90       4     108       1       3
   118       4     109       1       4
   122       4     110       1       5
  1818       4     111       2       1
    51       4     112       2       2
    52       4     113       2       3
   159       4     114       2       4
    76       4     115       2       5
   837       5     106       1       1
   713       5     107       1       2
   700       5     108       1       3
   634       5     109       1       4
   636       5     110       1       5
  3747       5     111       2       1
   421       5     112       2       2
   554       5     113       2       3
   741       5     114       2       4
   721       5     115       2       5
   177       6     106       1       1
   101       6     107       1       2
    59       6     108       1       3
    81       6     109       1       4
    83       6     110       1       5
  2513       6     111       2       1
    24       6     112       2       2
    29       6     113       2       3
   150       6     114       2       4
    52       6     115       2       5
   255       7     106       1       1
   200       7     107       1       2
   112       7     108       1       3
   122       7     109       1       4
   103       7     110       1       5
  2101       7     111       2       1
    45       7     112       2       2
    57       7     113       2       3
   204       7     114       2       4
    77       7     115       2       5
