WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT SOUTH POLE 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SPON2O_WK.DAT
NUMBER OF OBSERVATIONS = 321
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977  26  13  0.0   0.0 52   1.0000 -99.9900
1977  26  13  0.0   0.0 52   1.0000 -99.9900
1977  35  14  0.0   0.0 36   1.0000 330.0800
1977  35  14  0.0 302.1 34   1.0000 330.0800
1977  38  15  0.0 298.8 32   1.0000 331.7700
1977  38  15  0.0 300.4 32   1.0000 331.7700
1977  41  16  0.0 291.2 32   1.0000 331.5600
1977  41  16  0.0 304.8 34   1.0000 331.5600
1977  72  17  0.0 284.4 36   1.0000 330.7700
1977  72  17  0.0 300.0 34   1.0000 330.7700
1977 105  18  0.0 316.9  4   1.0000 330.9000
