FIT OF RAT GROWTH RATE AS A FUNCTION OF SUPPLEMENT AMOUNT
BOX, HUNTER & HUNTER (1978)
STATISTIC FOR EXPERIMENTERS
WILEY, PAGE 480
QUADRATIC MODEL
NUMBER OF OBSERVATIONS = 10
TOTAL NUMBER OF VARIABLES PER LINE IMAGE = 2
   1. RESPONSE VARIABLE Y = RAT GROWTH RATE (IN CODED UNITS)
   2. X                   = AMOUNT OF SUPPLEMENT (IN GRAMS)
TO READ THIS FILE INTO DATAPLOT--
   SKIP 25
   READ BOXRATS.DAT Y X











 Y       X
----------
73      10
78      10
85      15
90      20
91      20
87      25
86      25
91      25
75      30
65      35
