This is Dataplot data file     BENNET11.DAT
Trish Bennett Dental Adhesive Strength
May 1994
Unbalanced 2**5
Number of observations = 80
Number of variables per line image = 8
Order of variables on a line image--
   1. Y = Response Variable = Adhesive Shear Strength
   2. Factor 1 = Operator    (2 levels: S & A)
   3. Factor 2 = Day         (2 levels: 1 & 2)
   4. Factor 3 = Technique   (2 levels: regular & taped)
   5. Factor 4 = Wet/dry     (2 levels: damp & dry)
   6. Factor 5 = Company     (2 levels: X and Z)
   7. Factor 6 = Replication (6 levels: 1 to 6)
   8. Factor 7 = 2**3 Tech x W-d x System treatment (8 levels)
   9. Factor 8 = app.?
Note--a given operator has 6 replicates of a 2**3
Note--Operator 1 did not have balance over day
Note--Operator 2 had missing data
To read this into Dataplot--
   SKIP 25
   READ BENNET11.DAT Y X1 X2 X3 X4 X5 REP TREATMENT
                                            TWS
Strength   Oper  Day Tech  W/D  Sys    Rep Treat      Ord. ...
--------------------------------------------------------------
 40.60       1    1    1    1    1      1    1         1 152
 26.23       1    1    2    1    2      1    6         3 149
 35.64       1    1    1    2    1      1    3         4 146
 19.75       1    1    2    1    1      1    2         5 153
 15.79       1    1    2    2    2      1    8         6  75
 44.82       1    1    1    1    2      1    5         7 154
 
 19.66       1    1    2    2    2      2    8         9 158
 34.51       1    1    2    1    2      2    6        10 156
  9.68       1    1    2    2    1      2    4        12 155
 17.36       1    1    2    1    1      2    2        13 163
 42.19       1    1    1    1    1      2    1        14 151
 29.62       1    1    1    1    2      2    5        15 161
 21.60       1    1    1    2    2      2    7        16  49
 
  7.96       1    1    1    2    2      3    7        17  63
 44.88       1    1    1    1    2      3    5        18 136
 20.78       1    1    2    2    2      3    8        19 145
 28.61       1    1    1    2    1      3    3        20  91
 15.50       1    1    2    2    1      3    4        21 105
 30.56       1    1    2    2    2      3    8        22 159
 19.71       1    1    1    1    1      3    1        23 165
 19.64       1    1    2    1    1      3    2        24  85
 
 17.86       1    1    1    2    1      4    3        25  82
 25.97       1    1    2    1    1      4    2        26 164
 28.93       1    1    2    1    2      4    6        27 125
 34.51       1    1    2    1    2      4    6        28  61
 16.20       1    1    2    2    1      4    4        29 109
 27.64       1    1    1    1    1      4    1        30 127
 15.59       1    1    1    2    2      4    7        31 143
 33.65       1    1    1    1    2      4    5        32 160
 
 30.35       1    2    2    1    2      5    6        33 144
 17.21       1    2    1    2    1      5    3        34  60
 28.32       1    2    2    2    2      5    8        35 148
 10.35       1    2    2    2    1      5    4        36  55
 28.87       1    2    1    1    2      5    5        37 108
 24.16       1    2    1    1    1      5    1        38  96
 17.44       1    2    2    1    1      5    2        39 138
 20.46       1    2    1    2    2      5    7        40 107
 
 14.29       1    2    1    2    1      6    3        41 131
 25.66       1    2    1    1    1      6    1        42  43
  8.76       1    2    2    2    2      6    8        44 140
 32.02       1    2    2    1    2      6    6        45 147
 17.54       1    2    1    2    2      6    7        46  42
 19.15       1    2    2    2    1      6    4        47  56
 36.70       1    2    1    1    2      6    5        48 157
 
 17.72       2    1    2    1    2      1    6         1  56
 14.94       2    1    1    1    1      1    1         2 161
  7.64       2    1    2    2    1      1    4         3  60
  9.07       2    1    2    2    2      1    8         4 154
  9.47       2    1    2    1    1      1    2         5 147
  2.60       2    1    1    1    2      1    5         6 131
 
  5.52       2    1    1    1    1      2    1         7 158
 23.83       2    1    2    1    2      2    6         8 151
 14.57       2    1    2    1    1      2    2         9  63
  5.12       2    1    1    1    2      2    5        10 140
  4.43       2    1    2    2    2      2    8        11  61
 11.10       2    1    2    2    1      2    4        12 163
 
  4.31       2    1    2    1    2      3    6        13 148
 18.19       2    1    1    1    2      3    5        14 159
 10.70       2    1    2    2    1      3    4        15  42
  4.89       2    1    2    1    1      3    2        16 157
  9.22       2    1    2    2    2      3    8        17 125
 25.82       2    1    1    1    1      3    1        18 165
 
  6.98       2    2    1    1    1      4    1        19 143
 12.32       2    2    2    1    2      4    6        20  91
  2.55       2    2    2    2    1      4    4        21 138
  3.98       2    2    1    1    2      4    5        22 162
 14.82       2    2    2    1    1      4    2        23 166
 21.08       2    2    2    2    2      4    8        24 149
 
 29.55       2    2    1    1    2      5    5        25 146
 17.93       2    2    2    1    2      5    6        26 108
 15.48       2    2    2    2    2      5    8        27 107
 17.88       2    2    2    1    1      5    2        28 137
 24.68       2    2    1    1    1      5    1        29  82
 15.48       2    2    2    2    1      5    4        30  96
 
 14.97       2    2    2    1    1      6    2        31  55
 13.14       2    2    2    2    2      6    8        32 156
 12.65       2    2    1    1    1      6    1        33 155
 17.21       2    2    2    1    2      6    6        34  75
  4.87       2    2    1    1    2      6    5        35 152
 11.10       2    2    2    2    1      6    4        36 105
