This is Dataplot Data File     CHOI2.DAT
Fire Research Emission "Trigger"
Mun Choi & Kevin McGrattan
(Same as CHOI.DAT but shorter)
Number of Observations = 1000
Observations per Line Image = 3
Order of Observations on a Line Image--
   1. Time
   2. Emission = Response Variable
   3. Voltage
Statistical Category--Comparing 2 Time Series
                      Auto & Cross Correlation
                      Auto & Cross Spectra
To Read this into Dataplot--
   SKIP 25
   SET READ FORMAT F10.4,F10.3,F10.6
   READ CHOI.DAT    TIME    EMISSION VOLTAGE
 
 
 
 
 
 
     Time    Emission  Voltage
--------------------------------
    0.0000     0.033  0.060827
    0.0050     0.812  0.011922
    0.0100     0.662  0.021933
    0.0150     0.465  0.036482
    0.0200     0.176  0.046773
    0.0250     0.042  0.058988
    0.0300     0.012  0.063615
    0.0350     0.007  0.068917
    0.0400     0.012  0.072104
    0.0450     0.076  0.066250
    0.0500     0.217  0.046478
    0.0550     0.386  0.040173
    0.0600     0.550  0.021324
    0.0650     0.534  0.007513
    0.0700     0.389  0.006306
    0.0750     0.408  0.005665
    0.0800     0.696  0.004868
    0.0850     1.036  0.006145
    0.0900     0.963  0.009623
    0.0950     0.745  0.017032
    0.1000     0.525  0.031116
    0.1050     0.184  0.042768
    0.1100     0.033  0.056713
    0.1150     0.010  0.061474
    0.1200     0.006  0.066534
    0.1250     0.006  0.069974
    0.1300     0.049  0.068056
    0.1350     0.215  0.048656
    0.1400     0.394  0.040651
    0.1450     0.527  0.022281
    0.1500     0.487  0.007755
    0.1550     0.353  0.006788
    0.1600     0.362  0.005665
    0.1650     0.631  0.004788
    0.1700     1.019  0.005745
    0.1750     1.035  0.008240
    0.1800     0.816  0.013916
    0.1850     0.627  0.027947
    0.1900     0.256  0.041322
    0.1950     0.046  0.055899
    0.2000     0.011  0.060919
    0.2050     0.005  0.065022
    0.2100     0.004  0.067675
    0.2150     0.023  0.068630
    0.2200     0.178  0.054461
    0.2250     0.372  0.041707
    0.2300     0.528  0.028127
    0.2350     0.531  0.009215
    0.2400     0.422  0.007513
    0.2450     0.406  0.006145
    0.2500     0.688  0.005266
    0.2550     1.127  0.006386
    0.2600     1.194  0.007593
    0.2650     0.866  0.011757
    0.2700     0.601  0.023770
    0.2750     0.218  0.037705
    0.2800     0.034  0.053389
    0.2850     0.011  0.058805
    0.2900     0.006  0.061567
    0.2950     0.005  0.063802
    0.3000     0.007  0.067865
    0.3050     0.093  0.066724
    0.3100     0.284  0.045005
    0.3150     0.479  0.039125
    0.3200     0.515  0.018566
    0.3250     0.439  0.008484
    0.3300     0.325  0.005985
    0.3350     0.421  0.005665
    0.3400     0.856  0.006306
    0.3450     1.363  0.007190
    0.3500     1.256  0.009215
    0.3550     0.785  0.017286
    0.3600     0.295  0.030115
    0.3650     0.054  0.048955
    0.3700     0.014  0.056713
    0.3750     0.007  0.058897
    0.3800     0.004  0.058988
    0.3850     0.005  0.062216
    0.3900     0.014  0.067961
    0.3950     0.177  0.055629
    0.4000     0.419  0.038651
    0.4050     0.494  0.031756
    0.4100     0.277  0.015089
    0.4150     0.075  0.007351
    0.4200     0.036  0.005905
    0.4250     0.081  0.004948
    0.4300     0.424  0.004948
    0.4350     1.195  0.007351
