This is Dataplot data file     IRIS.DAT
Fisher iris data
Number of response variables                 =   4
Number of observations per response variable = 150
Number of variables per line image           =   5
Order of variables on a line image--
   1. Response variable 1 = sepal length
   2. Response variable 2 = sepal width
   3. Response variable 3 = petal length
   4. Response variable 4 = petal width
   5. Factor 1            = species identifier (3 levels:
      (1 = iris setosa, 2 = iris versicolor, 3 = iris virginica)
Statistics category--multivariate analysis
Source--Fisher, R. A. (19xx). The Use of Multiple
        Measurements in Taxonomic Problems.
        Annals of Eugenics, 7.
See also: Anderson, Ted.
To read this file into Dataplot--
   SKIP 25
   READ IRIS.DAT Y1 Y2 Y3 Y4 SPECIES
 
   Y1     Y2     Y3     Y4    X
Sepal  Sepal  Pedal  Pedal Species
Length Width  Length Width   Id
----------------------------------
  5.1    3.5    0.4    0.2    1
  4.9    3.0    0.4    0.2    1
  4.7    3.2    0.3    0.2    1
  4.6    3.1    0.5    0.2    1
  5.0    3.6    0.4    0.2    1
  5.4    3.9    0.7    0.4    1
  4.6    3.4    0.4    0.3    1
  5.0    3.4    0.5    0.2    1
  4.4    2.9    0.4    0.2    1
  4.9    3.1    0.5    0.1    1
  5.4    3.7    0.5    0.2    1
  4.8    3.4    0.6    0.2    1
  4.8    3.0    0.4    0.1    1
  4.3    3.0    0.1    0.1    1
  5.8    4.0    0.2    0.2    1
  5.7    4.4    0.5    0.4    1
  5.4    3.9    0.3    0.4    1
  5.1    3.5    0.4    0.3    1
  5.7    3.8    0.7    0.3    1
  5.1    3.8    0.5    0.3    1
  5.4    3.4    0.7    0.2    1
  5.1    3.7    0.5    0.4    1
  4.6    3.6    0.0    0.2    1
  5.1    3.3    0.7    0.5    1
  4.8    3.4    0.9    0.2    1
  5.0    3.0    0.6    0.2    1
  5.0    3.4    0.6    0.4    1
  5.2    3.5    0.5    0.2    1
  5.2    3.4    0.4    0.2    1
  4.7    3.2    0.6    0.2    1
  4.8    3.1    0.6    0.2    1
  5.4    3.4    0.5    0.4    1
  5.2    4.1    0.5    0.1    1
  5.5    4.2    0.4    0.2    1
  4.9    3.1    0.5    0.2    1
  5.0    3.2    0.2    0.2    1
  5.5    3.5    0.3    0.2    1
  4.9    3.6    0.4    0.1    1
  4.4    3.0    0.3    0.2    1
  5.1    3.4    0.5    0.2    1
  5.0    3.5    0.3    0.3    1
  4.5    2.3    0.3    0.3    1
  4.4    3.2    0.3    0.2    1
  5.0    3.5    0.6    0.6    1
  5.1    3.8    0.9    0.4    1
  4.8    3.0    0.4    0.3    1
  5.1    3.8    0.6    0.2    1
  4.6    3.2    0.4    0.2    1
  5.3    3.7    0.5    0.2    1
  5.0    3.3    0.4    0.2    1
  7.0    3.2    4.7    0.4    2
  6.4    3.2    4.5    0.5    2
  6.9    3.1    4.9    0.5    2
  5.5    2.3    4.0    0.3    2
  6.5    2.8    4.6    0.5    2
  5.7    2.8    4.5    0.3    2
  6.3    3.3    4.7    0.6    2
  4.9    2.4    3.3    0.0    2
  6.6    2.9    4.6    0.3    2
  5.2    2.7    3.9    0.4    2
  5.0    2.0    3.5    0.0    2
  5.9    3.0    4.2    0.5    2
  6.0    2.2    4.0    0.0    2
  6.1    2.9    4.7    0.4    2
  5.6    2.9    3.6    0.3    2
  6.7    3.1    4.4    0.4    2
  5.6    3.0    4.5    0.5    2
  5.8    2.7    4.1    0.0    2
  6.2    2.2    4.5    0.5    2
  5.6    2.5    3.9    0.1    2
  5.9    3.2    4.8    0.8    2
  6.1    2.8    4.0    0.3    2
  6.3    2.5    4.9    0.5    2
  6.1    2.8    4.7    0.2    2
  6.4    2.9    4.3    0.3    2
  6.6    3.0    4.4    0.4    2
  6.8    2.8    4.8    0.4    2
  6.7    3.0    5.0    0.7    2
  6.0    2.9    4.5    0.5    2
  5.7    2.6    3.5    0.0    2
  5.5    2.4    3.8    0.1    2
  5.5    2.4    3.7    0.0    2
  5.8    2.7    3.9    0.2    2
  6.0    2.7    5.1    0.6    2
  5.4    3.0    4.5    0.5    2
  6.0    3.4    4.5    0.6    2
  6.7    3.1    4.7    0.5    2
  6.3    2.3    4.4    0.3    2
  5.6    3.0    4.1    0.3    2
  5.5    2.5    4.0    0.3    2
  5.5    2.6    4.4    0.2    2
  6.1    3.0    4.6    0.4    2
  5.8    2.6    4.0    0.2    2
  5.0    2.3    3.3    0.0    2
  5.6    2.7    4.2    0.3    2
  5.7    3.0    4.2    0.2    2
  5.7    2.9    4.2    0.3    2
  6.2    2.9    4.3    0.3    2
  5.1    2.5    3.0    0.1    2
  5.7    2.8    4.1    0.3    2
  6.3    3.3    6.0    2.5    3
  5.8    2.7    5.1    1.9    3
  7.1    3.0    5.9    2.1    3
  6.3    2.9    5.6    1.8    3
  6.5    3.0    5.8    2.2    3
  7.6    3.0    6.6    2.1    3
  4.9    2.5    4.5    1.7    3
  7.3    2.9    6.3    1.8    3
  6.7    2.5    5.8    1.8    3
  7.2    3.6    6.1    2.5    3
  6.5    3.2    5.1    2.0    3
  6.4    2.7    5.3    1.9    3
  6.8    3.0    5.5    2.1    3
  5.7    2.5    5.0    2.0    3
  5.8    2.8    5.1    2.4    3
  6.4    3.2    5.3    2.3    3
  6.5    3.0    5.5    1.8    3
  7.7    3.8    6.7    2.2    3
  7.7    2.6    6.9    2.3    3
  6.0    2.2    5.0    1.5    3
  6.9    3.2    5.7    2.3    3
  5.6    2.8    4.9    2.0    3
  7.7    2.8    6.7    2.0    3
  6.3    2.7    4.9    1.8    3
  6.7    3.3    5.7    2.1    3
  7.2    3.2    6.0    1.8    3
  6.2    2.8    4.8    1.8    3
  6.1    3.0    4.9    1.8    3
  6.4    2.8    5.6    2.1    3
  7.2    3.0    5.8    1.6    3
  7.4    2.8    6.1    1.9    3
  7.9    3.8    6.4    2.0    3
  6.4    2.8    5.6    2.2    3
  6.3    2.8    5.1    1.5    3
  6.1    2.6    5.6    1.4    3
  7.7    3.0    6.1    2.3    3
  6.3    3.4    5.6    2.4    3
  6.4    3.1    5.5    1.8    3
  6.0    3.0    4.8    1.8    3
  6.9    3.1    5.4    2.1    3
  6.7    3.1    5.6    2.4    3
  6.9    3.1    5.1    2.3    3
  5.8    2.7    5.1    1.9    3
  6.8    3.2    5.9    2.3    3
  6.7    3.3    5.7    2.5    3
  6.7    3.0    5.2    2.3    3
  6.3    2.5    5.0    1.9    3
  6.5    3.0    5.2    2.0    3
  6.2    3.4    5.4    2.3    3
  5.9    3.0    5.1    1.8    3
