this is file    grayall.dat   5/29/95
 
this file needs to be headerized and split
The following data sets were from chapters
   chapter 3 (straight line regression)
   chapter 4 (multiple linear regression)
of graybill & iyer  .   done by mary clark   5/95
 
 
------------------------------------------Page 100------------------------------------------
Hours                 Number                 Subpopulation                 Subpopulation
   X                     of Items                       Mean                     Standard Deviation
-----------------------------------------------------------------------------------------------
    0                        200                           45.0                                2.881
    1                        200                           49.0                                2.881
    2                        200                           53.0                                2.881
    3                        200                           57.0                                2.881
    4                        200                           61.0                                2.881
    5                        200                           65.0                                2.881
    6                        200                           69.0                                2.881
    7                        200                           73.0                                2.881
    8                        200                           77.0                                2.881
    9                        200                           81.0                                2.881
   10                       200                           85.0                                2.881
   11                       200                           89.0                                2.881
   12                       200                           93.0                                2.881
 
------------------------------------------Page 105------------------------------------------
     Sample                    Score (in percent)                    Hours
Item Number                             Y                                   X
-----------------------------------------------------------------------------------------------
        1                                       42                                   0
        2                                       44                                   0
        3                                       51                                   1
        4                                       48                                   1
        5                                       51                                   2
        6                                       54                                   2
        7                                       57                                   3
        8                                       54                                   3
        9                                       57                                   4
      10                                       63                                   4
      11                                       61                                   5
      12                                       69                                   5
      13                                       70                                   6
      14                                       70                                   6
      15                                       70                                   7
      16                                       72                                   7
      17                                       74                                   8
      18                                       83                                   8
      19                                       84                                   9
      20                                       81                                   9
      21                                       84                                  10
      22                                       85                                  10
      23                                       91                                  11
      24                                       86                                  11
      25                                       91                                  12
      26                                       95                                  12
 
------------------------------------------Page 108------------------------------------------
     Sample                    Score (in percent)                    Hours
Item Number                             Y                                   X
-----------------------------------------------------------------------------------------------
        1                                       44                                   0
        2                                       86                                 10
        3                                       87                                 10
        4                                       58                                   3
        5                                       85                                 10
        6                                       55                                   1
        7                                       63                                   4
        8                                       48                                   0
        9                                       57                                   3
      10                                       54                                   2
      11                                       82                                  10
      12                                       90                                  12
      13                                       56                                    3
      14                                       67                                    5
      15                                       81                                    8
      16                                       57                                    4
      17                                       47                                    1
      18                                       47                                    1
      19                                       44                                    0
      20                                       48                                    0
      21                                       54                                    3
      22                                       45                                    0
      23                                       51                                    1
      24                                       91                                   12
      25                                       58                                     3
      26                                      100                                  12
 
 
------------------------------------------Page 109------------------------------------------
     Sample                    Score (in percent)                    Hours
Item Number                             Y                                   X
-----------------------------------------------------------------------------------------------
        1                                       41                                   1
        2                                       59                                   4
        3                                       90                                  11
        4                                       88                                  11
        5                                       52                                    2
        6                                        53                                    2
        7                                        53                                    1
        8                                        63                                    5
        9                                        87                                   10
      10                                        74                                     8
 
 
------------------------------------------Page 119------------------------------------------
Crystal                              Weight                                Time
Number                                 Y                                       X
                                       (In grams)                           (in hours)
-----------------------------------------------------------------------------------------------
     1                                    0.08                                       2
     2                                    1.12                                       4
     3                                    4.43                                       6
     4                                    4.98                                       8
     5                                    4.92                                      10
     6                                    7.18                                      12
     7                                    5.57                                      14
     8                                    8.40                                      16
     9                                    8.81                                      18
    10                                  10.81                                      20
    11                                  11.16                                      22
    12                                  10.12                                      24
    13                                  13.12                                      26
    14                                  15.04                                      28
 
------------------------------------------Page 123------------------------------------------
Sample                              Measured                              True
  Item                             Concentration                     Concentration
 Number                                   Y                                       X
                                         (In µg/ml)                           (In µg/ml)
-----------------------------------------------------------------------------------------------
     1                                      0.17                                       0
     2                                      0.25                                       0
     3                                      0.01                                       0
     4                                      0.12                                       0
     5                                      1.25                                       1
     6                                      0.86                                       1
     7                                      1.25                                       1
     8                                      1.10                                       1
     9                                      2.01                                       2
   10                                      2.03                                       2
   11                                      2.14                                       2
   12                                      1.74                                       3
   13                                      3.18                                       3
   14                                      2.99                                       3
   15                                      3.23                                       3
   16                                      3.37                                       3
   17                                      3.91                                       4
   18                                      3.90                                       4
   19                                      3.61                                       4
   20                                      4.27                                       4
   21                                      4.88                                       5
   22                                      5.33                                       5
   23                                      4.96                                       5
   24                                      4.98                                       5
   25                                      6.09                                       6
   26                                      6.17                                       6
   27                                      6.07                                       6
   28                                      5.97                                       6
   29                                      6.67                                       7
   30                                      7.02                                       7
   31                                      7.14                                       7
   32                                      7.30                                       7
 
------------------------------------------Page 127------------------------------------------
Run Number                    Process Output (Y)              Process Temperature (X)
                                           (in kg/hour)                                     ( C)
-----------------------------------------------------------------------------------------------
       1                                       10.0                                       300
       2                                       10.5                                       310
       3                                       11.5                                       320
       4                                       11.5                                       330
       5                                       11.9                                       340
       6                                       12.3                                       350
       7                                       12.8                                       360
       8                                       13.1                                       370
       9                                       14.4                                       380
     10                                       13.9                                       390
     11                                       15.7                                       400
 
 
------------------------------------------Page 127------------------------------------------
