PROJECT--STANDARD RESISTORS
         5 YEARS OF DATA (1980 TO 1985)
         FOR RESISTOR XXX
CONTACT--RON DZIUBA (521, MET B144)
SAMPLE SIZE = 1000
NUMBER OF VARIABLES = 4
VARIABLE 1 = MONTH
VARIABLE 2 = DAY
VARIABLE 3 = YEAR
VARIABLE 4 = RESISTOR VALUE
DATE--JULY 1986













-----------------------
 2  5 80    27.8680
 2 12 80    27.8929
 2 13 80    27.8773
 2 14 80    27.8530
 2 28 80    27.8876
 2 28 80    27.8725
 3 21 80    27.8743
 3 24 80    27.8879
 4  3 80    27.8728
 4  3 80    27.8746
 4  4 80    27.8863
 5  7 80    27.8716
 5  8 80    27.8818
 5 19 80    27.8872
 6  2 80    27.8885
 6  3 80    27.8945
 6  3 80    27.8797
 6  9 80    27.8627
 6  9 80    27.8870
 6 10 80    27.8895
 6 10 80    27.9138
 6 16 80    27.8931
 6 16 80    27.8852
 6 17 80    27.8788
 6 23 80    27.8827
 6 23 80    27.8939
 6 24 80    27.8558
 6 24 80    27.8814
 6 30 80    27.8479
 7  1 80    27.8479
 7  2 80    27.8848
 7  3 80    27.8809
 7  7 80    27.8479
 7 14 80    27.8611
 7 14 80    27.8630
 7 16 80    27.8679
 7 21 80    27.8637
 7 31 80    27.8985
 8  4 80    27.8900
 8 11 80    27.8577
 8 18 80    27.8848
 8 19 80    27.8869
 8 20 80    27.8976
 8 21 80    27.8610
 8 22 80    27.8567
 8 25 80    27.8417
 9  2 80    27.8280
 9  9 80    27.8555
 9 17 80    27.8639
 9 17 80    27.8702
 9 22 80    27.8582
 9 29 80    27.8605
10  1 80    27.8900
10  3 80    27.8758
10  6 80    27.8774
10  8 80    27.9008
10 10 80    27.8988
10 13 80    27.8897
10 20 80    27.8990
10 27 80    27.8958
11  5 80    27.8830
11  7 80    27.8967
11 10 80    27.9105
11 12 80    27.9028
11 14 80    27.8977
11 17 80    27.8953
11 19 80    27.8970
11 21 80    27.9190
11 24 80    27.9180
11 26 80    27.8997
12  1 80    27.9204
12  3 80    27.9234
12  5 80    27.9072
12 10 80    27.9152
12 19 80    27.9091
12 29 80    27.8882
12 31 80    27.9035
 1  5 81    27.9267
 1  7 81    27.9138
 1  9 81    27.8955
 1 12 81    27.9203
 1 14 81    27.9239
 1 16 81    27.9199
 1 19 81    27.9646
 1 21 81    27.9411
 1 23 81    27.9345
 1 26 81    27.8712
 1 28 81    27.9145
 1 30 81    27.9259
 2  2 81    27.9317
 2  4 81    27.9239
 2  6 81    27.9247
 2  9 81    27.9150
 2 11 81    27.9444
 2 13 81    27.9457
 2 17 81    27.9166
 2 23 81    27.9066
 3  2 81    27.9088
 3  4 81    27.9255
 3  9 81    27.9312
 3 11 81    27.9439
 3 23 81    27.9210
 3 25 81    27.9102
 3 27 81    27.9083
 4 13 81    27.9121
 4 15 81    27.9113
 4 22 81    27.9091
 4 24 81    27.9235
 4 27 81    27.9291
 4 29 81    27.9253
 5  1 81    27.9092
 5  4 81    27.9117
 5  6 81    27.9194
 5  8 81    27.9039
 5 11 81    27.9515
 5 14 81    27.9143
 5 15 81    27.9124
 5 20 81    27.9128
 5 22 81    27.9260
 5 27 81    27.9339
 7 11 81    27.950
 7 13 81    27.953
 7 14 81    27.943
 7 15 81    27.940
 7 17 81    27.885
 7 20 81    27.935
 7 24 81    27.912
 7 27 81    27.926
 7 29 81    27.966
 7 31 81    27.928
 8  3 81    27.945
 8  5 81    27.939
 8  7 81    27.9429
 8 10 81    27.9207
 8 11 81    27.9205
 8 13 81    27.9204
 8 13 81    27.9198
 8 17 81    27.9246
 8 19 81    27.9366
 8 21 81    27.9234
 8 24 81    27.9125
 8 27 81    27.9032
 8 28 81    27.9285
 8 31 81    27.9561
 9  2 81    27.9616
 9  4 81    27.953
 9  8 81    27.928
 9 10 81    27.906
 9 15 81    27.938
 9 17 81    27.931
 9 21 81    27.9347
 9 23 81    27.9339
 9 25 81    27.9410
 9 28 81    27.9397
 9 30 81    27.9472
10  5 81    27.9235
10  9 81    27.9315
10 16 81    27.9368
10 23 81    27.9403
10 30 81    27.9529
11  2 81    27.9263
11  4 81    27.9347
11  6 81    27.9371
11  9 81    27.9129
11 13 81    27.9549
11 16 81    27.9422
11 18 81    27.9423
11 20 81    27.9750
11 23 81    27.9339
11 25 81    27.9629
11 27 81    27.9587
12  2 81    27.9503
12  4 81    27.9573
12  9 81    27.9518
12 11 81    27.9527
12 14 81    27.9589
12 18 81    27.9300
12 21 81    27.9629
 1  6 82    27.963
 1  8 82    27.966
 1 11 82    27.973
 1 13 82    27.966
 1 15 82    27.963
 1 18 82    27.957
 1 19 82    27.965
 1 20 82    27.952
 1 22 82    27.982
 1 25 82    27.956
 1 27 82    27.967
 1 29 82    27.952
 2  1 82    27.947
 2  3 82    27.972
 2  5 82    27.961
 2  8 82    27.9437
 2 16 82    27.966
 2 17 82    27.958
 2 18 82    27.966
 2 19 82    27.970
 2 22 82    27.960
 2 26 82    27.966
 3  2 82    27.977
 3  4 82    27.911
 3  8 82    27.969
 3 10 82    27.9698
 3 17 82    27.9616
 3 18 82    27.9371
 3 10 82    27.970
 3 19 82    27.9265
 3 22 82    27.9964
 3 24 82    27.9842
 3 24 82    27.9667
 3 25 82    27.9610
 3 26 82    27.9943
 3 26 82    27.9616
 3 29 82    27.9397
 4 06 82    27.9799
 4 13 82    28.0086
 4 13 82    27.9709
 4 14 82    27.9741
 4 16 82    27.9675
 4 19 82    27.9826
 4 21 82    27.9676
 4 23 82    27.9703
 4 28 82    27.9789
 4 30 82    27.9786
 5  4 82    27.9722
 5  7 82    27.9831
 5 11 82    28.0043
 5 13 82    27.9548
 5 13 82    27.9875
 5 17 82    27.9495
 5 19 82    27.9549
 5 25 82    27.9469
 5 26 82    27.9744
 5 27 82    27.9744
 6  1 82    27.9449
 6  1 82    27.9837
 6  3 82    27.9585
 6  7 82    28.0096
 6 14 82    27.9762
 6 15 82    27.9641
 6 16 82    27.9854
 6 16 82    27.9877
 6 17 82    27.9839
 6 18 82    27.9817
 6 22 82    27.9845
 6 23 82    27.9877
 6 23 82    27.9880
 6 24 82    27.9822
 6 25 82    27.9836
 6 28 82    28.0030
 6 30 82    27.9678
 7  2 82    28.0146
 7  6 82    27.9945
 7  6 82    27.9805
 7  8 82    27.9785
 7  9 82    27.9791
 7 12 82    27.9817
 7 13 82    27.9805
