THIS IS DATAPLOT DATA FILE     KRASNY1.DAT
JOHN KRASNY/RICHARD GANN/KEITH EBERHARDT FIRE RESEARCH DATA
2**5 EXPERIMENT
NOVEMBER 1986
9 RESPONSE VARIABLES--
(RESPONSE 1 TO 4 ARE NUMBER OF IGNTITIONS OUT OF 5 TRIALS)
(RESPONSE 5 = SUM OF RESPONSES 1 TO 4)
   RESPONSE 1--CALIFORNIA TEST FABRIC/COTTON BATTING; UNCOVERED & FLAT
   RESPONSE 2--100% COTTON SPLENDOR FABRIC/POLYUR. 2045; UNCOVERED ON FLAT
   RESPONSE 3--100% COTTON DENIM FABRIC/POLYUR. 2045; COVERED IN CREVICE
   RESPONSE 4--100% COTTON SPLENDOR FABRIC/POLYUR. 2045; UNCOVERED ON FLAT
   RESPONSE 5--SUM OF RESPONSES 1 TO 4 = TOTAL NUMBER OF IGNITIONS
   RESPONSE 6--TAR CONTENT (MG)
   RESPONSE 7--NICOTENE CONTENT (MG)
   RESPONSE 8--CARBON MONOXIDE CONTENT (MG)
   RESPONSE 9--PUFF-COUNT
5 INDENPENDENT VARIBLES--
   INDEPENDENT VARIABLE 1--CITRATE CONCENTRATION (.8 AND 0)
   INDEPENDENT VARIABLE 2--PAPER POROSITY (LOW AND HIGH)
   INDEPENDENT VARIABLE 3--EXPANDED  (NO FLUFF AND FLUFF)
   INDEPENDENT VARIABLE 4--TOBACCO TYPE (BURLY AND FLUE-CURED)
   INDEPENDENT VARIABLE 5--CIRCUMFERENCE IN MM
N = 32
 
-------------------------------------------
3 5 0 5 13  19 1.4 21 7.7    -1 -1 -1 -1 -1
2 5 0 5 12  22 1.6 21 8.0    +1 -1 -1 -1 -1
5 5 2 5 17  13 1.2 14 7.4    -1 +1 -1 -1 -1
5 5 4 5 19  15 1.3 13 7.4    +1 +1 -1 -1 -1
0 3 0 3 6   09 0.5 11 5.8    -1 -1 +1 -1 -1
0 1 0 0 1   11 0.6 12 6.0    +1 -1 +1 -1 -1
4 5 0 2 11  06 0.4 06 5.8    -1 +1 +1 -1 -1
3 4 0 0 7   07 0.5 06 5.6    +1 +1 +1 -1 -1
5 5 0 5 15  28 2.3 22 11.2   -1 -1 -1 +1 -1
5 5 1 5 16  28 2.4 20 12.8   +1 -1 -1 +1 -1
5 5 4 5 19  20 1.9 15 10.4   -1 +1 -1 +1 -1
5 5 5 5 20  21 1.9 14 11.4   +1 +1 -1 +1 -1
0 5 0 1 6   14 1.1 13 5.8    -1 -1 +1 +1 -1
1 3 0 0 4   17 1.4 14 6.6    +1 -1 +1 +1 -1
4 5 0 5 14  10 0.8 09 5.8    -1 +1 +1 +1 -1
4 5 0 3 12  12 1.0 08 6.4    +1 +1 +1 +1 -1
5 5 3 5 18  22 1.7 27 8.4    -1 -1 -1 -1 +1
5 5 3 5 18  25 1.9 25 8.8    +1 -1 -1 -1 +1
5 5 5 5 20  16 1.4 18 7.7    -1 +1 -1 -1 +1
5 5 5 5 20  18 1.6 15 8.4    +1 +1 -1 -1 +1
5 5 0 4 14  12 0.7 15 5.6    -1 -1 +1 -1 +1
3 2 0 2 7   15 0.9 15 6.2    +1 -1 +1 -1 +1
5 5 0 5 15  08 0.5 10 5.4    -1 +1 +1 -1 +1
5 5 0 5 15  09 0.6 08 5.8    +1 +1 +1 -1 +1
5 5 3 5 18  32 2.7 25 13.0   -1 -1 -1 +1 +1
5 5 2 5 17  34 2.8 24 13.8   +1 -1 -1 +1 +1
5 5 2 5 17  25 2.3 20 11.2   -1 +1 -1 +1 +1
5 5 5 5 20  27 2.4 17 11.2   +1 +1 -1 +1 +1
5 3 0 2 10  19 1.5 17 8.4    -1 -1 +1 +1 +1
3 1 0 0 4   22 1.8 19 8.8    +1 -1 +1 +1 +1
5 5 0 5 15  10 0.8 09 10.4   -1 +1 +1 +1 +1
5 5 0 2 12  16 1.4 11 8.4    +1 +1 +1 +1 +1
