Compound Method Lab Mean s N
ZnO     XRF     NIST     0.12562    0.00024    12
ZnO     XRF     CTL      0.11242    0.00073    12
Cl      XRF     NIST     0.00810    0.00041     4
Cl      ISE     CTL      0.00903    0.00098     6
LOI950  TGA     NIST     1.786      0.015      12
LOI950  TGA     CTL      1.8233     0.0086     12
LOI550  TGA     NIST     0.363      0.011      12
LOI550  TGA     CTL      0.399      0.012      12
LOI220  TGA     NIST     0.289      0.023      12
LOI220  TGA     CTL      0.2403     0.0081     12
Na2O    XRF     NIST     0.19908    0.00078    12
Na2O    XRF     CTL      0.2238     0.0063     12
Na2O    ICP     CTL      0.1855     0.0038     12
MgO     XRF     NIST     1.1580     0.0028     12
MgO     XRF     CTL      1.1498     0.0029     12
MgO     ICP     CTL      1.151      0.023      12
Al2O3   XRF     NIST     2.9128     0.0096     12
Al2O3   XRF     CTL      2.897      0.012      12
Al2O3   ICP     CTL      2.924      0.025      12
K2O     XRF     NIST     0.3876     0.0022     12
K2O     XRF     CTL      0.3857     0.0021     12
K2O     ICP     CTL      0.4047     0.0138     12
TiO2    XRF     NIST     0.21258    0.00066    12
TiO2    XRF     CTL      0.2168     0.0025     12
TiO2    ICP     CTL      0.2178     0.0027     12
Cr2O3   XRF     NIST     0.0139     0.0014     12
Cr2O3   XRF     CTL      0.01102    0.00065    12
Cr2O3   ICP     CTL      0.01253    0.00018    12
Mn2O3   XRF     NIST     0.11833    0.00038    12
Mn2O3   XRF     CTL      0.1164     0.0017     12
Mn2O3   ICP     CTL      0.1179     0.0021     12
Fe2O3   XRF     NIST     3.782      0.010      12
Fe2O3   XRF     CTL      3.6841     0.0059     12
Fe2O3   ICP     CTL      3.750      0.112      12
SO3     XRF     NIST     2.129      0.036      12
SO3     XRF     CTL      2.210      0.013      12
SO3     ICP     CTL      2.171      0.031      12
SO3     GRAV    CTL      2.196      0.014      12
SiO2    XRF     NIST    22.666      0.056      12
SiO2    XRF     CTL     22.547      0.038      12
SiO2    GRAV    CTL     22.182      0.393      12
P2O5    XRF     NIST     0.14214    0.00048    12
P2O5    XRF     CTL      0.14237    0.00100    12
P2O5    GRAV    CTL      0.1435     0.0012     12
CaO     XRF     NIST    64.211      0.091      12
CaO     XRF     CTL     64.051      0.082      12
CaO     ICP     CTL     64.11       0.82       12
CaO     GRAV    CTL     64.13       0.27       12
SrO     XRF     NIST     0.04808    0.00026    12
SrO     XRF     CTL      0.04987    0.00076    12
SrO     ICP     CTL      0.05419    0.00091    12
BaO     XRF     NIST     0.24377    0.00051     7
BaO     XRF     CTL      0.1312     0.0017     12
BaO     ICP     CTL      0.1746     0.0028     12
