EFFECT OF 5 FACTORS ON HOSPITAL ENERGY CONSUMPTION
STEVE WEBER
AUGUST 1989
2**5 FULL FACTORAIL DESIGN
NUMBER OF OBSERVATIONS = 32
(DATA IS IN YATES ORDER)
NUMBER OF VARIABLES PER LINE IMAGE = 8
   (3 RESPONSE VARIABLES & 5 INDEPENDENT FACTORS)
   RESPONSE 1--ELECTRIC KWH
   RESPONSE 2--HEATING MBTU
   RESPONSE 3--COOLING MBTU
   INDEPENDENT VARIABLE 1--LIGHT HOURS (2 LEVELS)
   INDEPENDENT VARIABLE 2--LIGHT W/SQUARE FOOT (2 LEVELS)
   INDEPENDENT VARIABLE 3--ROOF U (2 LEVELS)
   INDEPENDENT VARIABLE 4--OA % (2 LEVELS)
   INDEPENDENT VARIABLE 5--DBST F (2 LEVELS)
STATISTICAL AREA--EXPERIMENT DESIGN
TO READ (AND OPERATE ON) THIS FILE INTO DATAPLOT--
   SKIP 25
   READ WEBER.DAT Y1 Y2 Y3 X1 TO X5
   YATES ANALYSIS Y1
 
Electric       Heating     Cooling   light   light    roof     OA     DBST
   KWH          MBTU         MBTU    hours   1/ft2     U       %       F
-------------------------------------------------------------------------
33785.28906    55.27210    80.62708   100      3     0.080     50    -150
32388.83008    57.95439    78.57269    95      3     0.080     50    -150
27269.52930    50.40173    70.83830   100      2     0.080     50    -150
26338.56055    52.82616    69.46865    95      2     0.080     50    -150
33059.03906    42.57636    74.40369   100      3     0.044     50    -150
31662.57031    44.83694    72.34937    95      3     0.044     50    -150
26543.28906    40.03453    64.61501   100      2     0.044     50    -150
25612.31055    36.48320    63.24538    95      2     0.044     50    -150
33785.28906    41.86282    80.54527   100      3     0.080     40    -150
32388.83008    41.04651    78.48438    95      3     0.080     40    -150
27269.52930    37.96576    70.68900   100      2     0.080     40    -150
26338.56055    37.43103    69.31497    95      2     0.080     40    -150
33059.03906    32.74883    74.43190   100      3     0.044     40    -150
31662.57031    31.74547    72.37102    95      3     0.044     40    -150
26543.28906    27.99989    64.57570   100      2     0.044     40    -150
25612.31055    27.37234    63.20175    95      2     0.044     40    -150
33785.28906    82.91658    70.88061   100      3     0.080     50      75
32388.83008    81.17074    69.11375    95      3     0.080     50      75
27269.52930    74.34042    62.55783   100      2     0.080     50      75
26338.56055    73.18090    61.37991    95      2     0.080     50      75
33059.03906    65.21493    65.18745   100      3     0.044     50      75
31662.57031    63.46675    63.42061    95      3     0.044     50      75
26543.28906    56.62532    56.86470   100      2     0.044     50      75
25612.31055    55.46423    55.68681    95      2     0.044     50      75
33785.28906    79.74669    69.10596   100      3     0.080     40      75
32388.83008    78.06104    67.37967    95      3     0.080     40      75
27269.52930    71.42310    60.95749   100      2     0.080     40      75
26338.56055    70.30387    59.80658    95      2     0.080     40      75
33059.03906    62.35142    63.60268   100      3     0.044     40      75
31662.57031    60.66339    61.87638    95      3     0.044     40      75
26543.28906    54.01398    55.45423   100      2     0.044     40      75
25612.31055    52.89312    54.30334    95      2     0.044     40      75
