THIS IS DATAPLOT DATA FILE    WILLIAMS.DAT
SUPERSATURATED DESIGN
N = 14 RUNS
K = 24 FACTORS
SOURCE--WILLIAMS, K. R. (1968).  DESIGNED EXPERIMENTS.
        RUBBER AGE, 100, P. 65-71.
THIS IS A HALF FRACTION OF A 28-RUN PLACETT-BURMANN DESIGN
THE FULL FRACTION IS IN BOX & DRAPER, 1987, P. 175
NOTE THAT X13 IS IDENTICAL TO X16
TO READ THIS INTO DATAPLOT--
   SKIP 25
   READ WILLIAMS.DAT Y X1 TO X24
 
 
 
 
 
 
 
 
 
 
 
 Y  X1 X2 X3 X4 X5 X6 X7 X8 X9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
-----------------------------------------------------------------------------
133 +1 +1 +1 -1 -1 -1 +1 +1 +1 +1 +1 -1 +1 -1 -1 +1 +1 -1 -1 +1 -1 -1 -1 +1
 62 +1 -1 -1 -1 -1 -1 +1 +1 +1 -1 -1 -1 +1 +1 +1 +1 -1 +1 -1 -1 +1 +1 -1 -1
 45 +1 +1 -1 +1 +1 -1 -1 -1 -1 +1 -1 +1 +1 +1 +1 +1 +1 -1 -1 -1 -1 +1 +1 -1
 52 +1 +1 -1 +1 -1 +1 -1 -1 -1 +1 +1 -1 +1 -1 +1 +1 -1 +1 +1 +1 -1 -1 -1 -1
 56 -1 -1 +1 +1 +1 +1 -1 +1 +1 -1 -1 -1 +1 -1 +1 +1 +1 -1 -1 +1 -1 +1 +1 +1
 47 -1 -1 +1 +1 +1 +1 +1 -1 +1 +1 +1 -1 -1 +1 +1 -1 +1 +1 +1 +1 +1 +1 -1 -1
 88 -1 -1 -1 -1 +1 -1 -1 +1 -1 +1 -1 +1 +1 +1 -1 +1 +1 +1 +1 +1 +1 -1 -1 +1
193 -1 +1 +1 -1 -1 +1 -1 +1 -1 +1 -1 -1 -1 -1 -1 -1 -1 -1 +1 -1 +1 +1 +1 -1
 32 -1 -1 -1 -1 -1 +1 +1 -1 -1 -1 +1 +1 -1 -1 +1 -1 +1 +1 -1 -1 -1 -1 +1 +1
 53 +1 +1 +1 +1 -1 +1 +1 +1 -1 -1 -1 +1 -1 +1 +1 -1 +1 -1 +1 -1 +1 -1 -1 +1
276 -1 +1 -1 +1 +1 -1 -1 +1 +1 -1 +1 -1 -1 +1 -1 -1 -1 +1 +1 -1 -1 -1 +1 +1
145 +1 -1 -1 -1 +1 +1 +1 -1 +1 +1 +1 +1 +1 -1 -1 +1 -1 -1 +1 -1 +1 +1 +1 +1
130 +1 +1 +1 +1 +1 -1 +1 -1 +1 -1 -1 +1 -1 -1 -1 -1 -1 +1 -1 +1 +1 -1 +1 -1
127 -1 -1 +1 -1 -1 -1 -1 -1 -1 -1 +1 +1 -1 +1 -1 -1 -1 -1 -1 +1 -1 +1 -1 -1
