This is data file    OAKLEY.DAT
SRM 3202--magnetic tapes, Mark Williamson
Number of observations = 158
Order of Variables on a Line Image--
   1. Observation ID (1 to 158)
   2. Response Variable #1 = Amplitude
   3. Response Variable #2 = Typical Value???
   4. Response Variable #3 = Res Value   ???
   5. Response Variable #4 = Ovr Value
   6. Factor 1 = Tape (4 levels--45, 47, 49, and 58)
   7. Factor 2 = Class (3 levels--0, 3, and 4)
   8. Factor 3 = Elapsed days (31 levels--1 to 386)
   9. Factor 4 = Month
  10. Factor 5 = Day of Month
  11. Factor 6 = Year
To read this into DATAPLOT--
   SKIP 25
   READ OAKLEY.DAT JUNK Y1 Y2 Y3 Y4 X1 X2 X3
 
 
 
 
                                                  Cum
 Obs  Amp      Typ       Res     Overall Tape Cla Day Mon Day Year
-----------------------------------------------------------------
  1 -99.000   112.406   -99.000  -99.000  47   0   1   12  19  90
  2 -99.000   112.091   -99.000  -99.000  47   0   1   12  19  90
  3 -99.000   110.515   -99.000  -99.000  47   0   1   12  19  90
  4 -99.000   111.613   -99.000  -99.000  47   0   1   12  19  90
  5 -99.000   111.578   -99.000  -99.000  47   0   1   12  19  90
  6 -99.000   111.721   -99.000  -99.000  47   3   1   12  19  90
  7 -99.000   112.280   -99.000  -99.000  47   3   1   12  19  90
  8   3.111   112.157   -99.000  -99.000  47   0   1   12  19  90
  9 -99.000   112.137   -99.000  -99.000  47   0   1   12  19  90
 10 -99.000   112.203   -99.000  -99.000  47   0   1   12  19  90
 11   2.920   112.157   -99.000  -99.000  58   4   1   12  19  90
 12   2.933   113.225   -99.000  -99.000  58   4   1   12  19  90
 13   2.900   111.774   -99.000  -99.000  58   4   1   12  19  90
 14   2.794   111.811   -99.000  -99.000  58   4   1   12  19  90
 15   2.916   113.673   -99.000  -99.000  58   4   1   12  19  90
 16 -99.000   -99.000   -99.000    0.085  47   3  10   12  28  90
 17 -99.000   -99.000   -99.000    0.085  47   3  10   12  28  90
 18 -99.000   -99.000   -99.000    0.086  47   3  10   12  28  90
 19 -99.000   -99.000   -99.000    0.083  47   3  10   12  28  90
 20 -99.000   -99.000   -99.000    0.083  47   3  10   12  28  90
 21 -99.000   -99.000     0.250  -99.000  47   3  10   12  28  90
 22 -99.000   -99.000     0.246  -99.000  47   3  10   12  28  90
 23 -99.000   -99.000     0.246  -99.000  47   3  10   12  28  90
 24 -99.000   -99.000     0.255  -99.000  47   3  10   12  28  90
 25 -99.000   -99.000     0.253  -99.000  47   3  10   12  28  90
 26 -99.000   -99.000   -99.000    0.081  58   4  13   12  31  90
 27 -99.000   -99.000   -99.000    0.079  58   4  13   12  31  90
 28 -99.000   -99.000   -99.000    0.080  58   4  13   12  31  90
 29 -99.000   -99.000     0.262  -99.000  58   4  13   12  31  90
 30 -99.000   -99.000     0.273  -99.000  58   4  13   12  31  90
 31 -99.000   -99.000     0.272  -99.000  58   4  13   12  31  90
 32   3.069   113.713   -99.000  -99.000  49   4  27    1  14  91
 33   3.122   113.989   -99.000  -99.000  49   4  27    1  14  91
 34   3.082   113.635   -99.000  -99.000  49   4  27    1  14  91
 35   3.077   113.702   -99.000  -99.000  49   4  27    1  14  91
 36   3.067   113.756   -99.000  -99.000  49   4  27    1  14  91
 37   3.061   112.234   -99.000  -99.000  49   4  27    1  14  91
 38   3.041   112.614   -99.000  -99.000  49   4  27    1  14  91
 39   3.102   113.315   -99.000  -99.000  49   4  27    1  14  91
 40   3.106   113.635   -99.000  -99.000  49   4  27    1  14  91
 41   3.074   113.869   -99.000  -99.000  49   4  27    1  14  91
 42 -99.000   -99.000   -99.000    0.082  49   4  27    1  14  91
 43 -99.000   -99.000   -99.000    0.082  49   4  27    1  14  91
 44 -99.000   -99.000   -99.000    0.083  49   4  27    1  14  91
 45 -99.000   -99.000   -99.000    0.082  49   4  27    1  14  91
 46 -99.000   -99.000   -99.000    0.083  49   4  27    1  14  91
 47 -99.000   -99.000   -99.000    0.083  49   4  27    1  14  91
 48 -99.000   -99.000   -99.000    0.082  49   4  27    1  14  91
 49 -99.000   -99.000   -99.000    0.083  49   4  27    1  14  91
 50 -99.000   -99.000   -99.000    0.082  49   4  27    1  14  91
 51 -99.000   -99.000   -99.000    0.081  49   4  27    1  14  91
 52 -99.000   -99.000     0.255  -99.000  49   4  27    1  14  91
 53 -99.000   -99.000     0.255  -99.000  49   4  27    1  14  91
 54 -99.000   -99.000     0.257  -99.000  49   4  27    1  14  91
 55 -99.000   -99.000     0.263  -99.000  49   4  28    1  15  91
 56 -99.000   -99.000     0.250  -99.000  49   4  28    1  15  91
