GROSS NATIONAL PRODUCT DATA
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
DAIRY/POUL MEAT/LVSTK COTTON GRAINS AG FOR/FISH AG/FOR/FISH IRON COPPER NON-FE/CU
---------------------------------------------------------------------------
  19539. 29850.  4237. 24546. 22253.  5028.  6775.  2840.  1662.  1316.
  19579. 31572.  2740. 23182. 23072.  4826.  6695.  3056.  1759.  1330.
  19529. 32574.  2202. 26840. 23937.  5242.  7226.  2823.  1173.  1262.
  18877. 33110.  3141. 24481. 24467.  4211.  7487.  2932.  1482.  1372.
  18824. 33364.  2916. 25515. 25825.  3083.  7389.  3042.  1897.  1454.
  19150. 35537.  2942. 22620. 25670.  5632.  7417.  3128.  2114.  1487.
  19266. 36014.  3106. 28996. 25772.  4880.  7847.  2807.  1870.  1445.
  19649. 36517.  3975. 25429. 25542.  4361.  8048.  2649.  2046.  1460.
  18968. 36884.  5509. 27353. 27218.  3713.  7655.  3136.  2111.  1398.
  18964. 35610.  3540. 27009. 25859.  3430.  7553.  2920.  1964.  1622.
  18663. 30843.  2049. 30371. 29972.  4116.  7880.  2583.  1738.  1326.
  19559. 32383.  4512. 32544. 28296.  4195.  8144.  2662.  1974.  1391.
  19865. 32427.  4064. 30918. 30092.  4470.  7827.  2059.  1849.  1448.
  20060. 32584.  3098. 31242. 30461.  4477.  8400.  2907.  1839.  1468.
  20633. 35393.  4051. 34096. 31980.  3672.  8744.  3037.  1956.  1460.
  21135. 36559.  3168. 29920. 29839.  4035.  8050.  2588.  1601.  1578.
  21647. 35655.  4345. 34732. 32145.  4147.  9004.  2561.  2085.  1508.
  20772. 34206.  4168. 33314. 30838.  4326.  9273.  1339.  1564.  1185.
  19609. 32299.  3936. 31452. 29113.  4445.  9527.  1401.  1462.  1129.
  23026. 37941.  4624. 36950. 34199.  4507.  9661.  1894.  1499.  1159.
