Name:    CIRCLE.DAT
Source:  Damien Dunlop (Australia)

         This data set is used to demonstrate somce issues
         with drawing circles



















----------------------------------------------------------------------
323412.2,6394103.8  328424.1,6390200.6  332412.2,6397103.8  333424.1,6395200.6  327412.2,6392103.8
323412.2,6394603.8  326424.1,6390700.6  332387.2,6397603.0  333399.1,6395699.8  325412.2,6392603.8
322912.2,6395103.8  326924.1,6390700.6  332312.5,6398097.1  333324.4,6396193.9  325912.2,6392603.8
323412.2,6395103.8  327424.1,6390700.6  332188.9,6398581.4  333200.8,6396678.2  326412.2,6392603.8
322912.2,6395603.8  327924.1,6390700.6  332017.5,6399050.9  333029.4,6397147.7  326912.2,6392603.8
323412.2,6395603.8  328424.1,6390700.6  331800.1,6399500.9  332812.0,6397597.7  327412.2,6392603.8
322912.2,6396103.8  328924.1,6390700.6  331538.9,6399927.0  332550.8,6398023.8  327912.2,6392603.8
323412.2,6396103.8  329424.1,6390700.6  331236.4,6400324.9  332248.3,6398421.7  328412.2,6392603.8
322912.2,6396603.8  329924.1,6390700.6  330895.7,6400690.6  331907.6,6398787.4  328912.2,6392603.8
323412.2,6396603.8  330424.1,6390700.6  330520.2,6401020.4  331532.1,6399117.2  329412.2,6392603.8
322412.2,6397103.8  325424.1,6391200.6  330113.7,6401311.2  331125.6,6399408.0  324412.2,6393103.8
322912.2,6397103.8  325924.1,6391200.6  329680.2,6401559.8  330692.1,6399656.6  324912.2,6393103.8
323412.2,6397103.8  326424.1,6391200.6  329224.0,6401764.0  330235.9,6399860.8  325412.2,6393103.8
322912.2,6397603.8  326924.1,6391200.6  328749.7,6401921.6  329761.6,6400018.4  325912.2,6393103.8
323412.2,6397603.8  327424.1,6391200.6  328262.0,6402031.0  329273.9,6400127.8  326412.2,6393103.8
323912.2,6397603.8  327924.1,6391200.6  327765.9,6402091.3  328777.8,6400188.1  326912.2,6393103.8
322912.2,6398103.8  328424.1,6391200.6  327266.2,6402101.7  328278.1,6400198.5  327412.2,6393103.8
323412.2,6398103.8  328924.1,6391200.6  326768.0,6402062.1  327779.9,6400158.9  327912.2,6393103.8
323912.2,6398103.8  329424.1,6391200.6  326276.2,6401973.0  327288.1,6400069.8  328412.2,6393103.8
