This is Dataplot data file    DZIUBA.DAT
NIST Standard Resistor Data 
(5 years of data (1980 to 1985) for a particular resistor )
Ron Dziuba (NIST)
Date--July 1986
Number of observations             = 1000
Response Value                     = Resistance
Number of Variables per line image = 5
Order of variables on a line:
   Response variable 1 = resistor value
   Response variable 2 = residual from lowess
   Factor 1 = month (1 to 12)
   Factor 2 = day of month
   Factor 3 = year








Resistance   Residual Month  Day   Year
    Y1          Y2      X1    X2    X3
---------------------------------------
27.868000   -0.005131    2     5    80 
27.892900    0.019434    2    12    80 
27.877300    0.003469    2    13    80 
27.853001   -0.021164    2    14    80 
27.887600    0.013084    2    28    80 
27.872499   -0.002377    2    28    80 
27.874300   -0.000923    3    21    80 
27.887899    0.012302    3    24    80 
27.872801   -0.003147    4     3    80 
27.874599   -0.001701    4     3    80 
27.886299    0.009630    4     4    80 
27.871599   -0.005424    5     7    80 
27.881800    0.004389    5     8    80 
27.887199    0.009434    5    19    80 
27.888500    0.010368    6     2    80 
27.894501    0.016003    6     3    80 
27.879700    0.000826    6     3    80 
27.862700   -0.016552    6     9    80 
27.886999    0.007374    6     9    80 
27.889500    0.009493    6    10    80 
27.913799    0.033415    6    10    80 
27.893101    0.012331    6    16    80 
27.885201    0.004044    6    16    80 
27.878799   -0.002743    6    17    80 
27.882700    0.000769    6    23    80 
27.893900    0.011585    6    23    80 
27.855801   -0.026920    6    24    80 
27.881399   -0.001715    6    24    80 
27.847900   -0.035606    6    30    80 
27.847900   -0.036011    7     1    80 
27.884800    0.000500    7     2    80 
27.880899   -0.003792    7     3    80 
27.847900   -0.037203    7     7    80 
27.861099   -0.024414    7    14    80 
27.863001   -0.022930    7    14    80 
27.867901   -0.018402    7    16    80 
27.863701   -0.023024    7    21    80 
27.898500    0.011368    7    31    80 
27.889999    0.002468    8     4    80 
27.857700   -0.030230    8    11    80 
27.884800   -0.003523    8    18    80 
27.886900   -0.001827    8    19    80 
27.897600    0.008474    8    20    80 
27.861000   -0.028532    8    21    80 
27.856701   -0.033213    8    22    80 
27.841700   -0.048578    8    25    80 
27.827999   -0.062653    9     2    80 
27.855499   -0.035515    9     9    80 
27.863899   -0.027481    9    17    80 
27.870199   -0.021545    9    17    80 
27.858200   -0.034029    9    22    80 
27.860500   -0.032225    9    29    80 
27.889999   -0.003241   10     1    80 
27.875799   -0.017958   10     3    80 
27.877399   -0.016874   10     6    80 
27.900801    0.005983   10     8    80 
27.898800    0.003433   10    10    80 
27.889700   -0.006222   10    13    80 
27.899000    0.002522   10    20    80 
27.895800   -0.001253   10    27    80 
27.882999   -0.014643   11     5    80 
27.896700   -0.001528   11     7    80 
27.910500    0.011673   11    10    80 
27.902800    0.003363   11    12    80 
27.897699   -0.002335   11    14    80 
27.895300   -0.005327   11    17    80 
27.896999   -0.004236   11    19    80 
27.919001    0.017143   11    21    80 
27.917999    0.015532   11    24    80 
27.899700   -0.003372   11    26    80 
27.920401    0.016724   12     1    80 
27.923401    0.019129   12     3    80 
27.907200    0.002340   12     5    80 
27.915199    0.009752   12    10    80 
27.909100    0.003065   12    19    80 
27.888201   -0.018379   12    29    80 
27.903500   -0.003647   12    31    80 
27.926701    0.019003    1     5    81 
27.913799    0.005564    1     7    81 
27.895500   -0.013279    1     9    81 
27.920300    0.010986    1    12    81 
27.923901    0.014078    1    14    81 
27.919899    0.009544    1    16    81 
27.964600    0.053722    1    19    81 
27.941099    0.029716    1    21    81 
27.934500    0.022612    1    23    81 
27.871201   -0.041193    1    26    81 
27.914499    0.001619    1    28    81 
27.925900    0.012514    1    30    81 
27.931700    0.017832    2     2    81 
27.923901    0.009541    2     4    81 
27.924700    0.009869    2     6    81 
27.915001   -0.000299    2     9    81 
27.944401    0.028643    2    11    81 
27.945700    0.029476    2    13    81 
27.916599   -0.000063    2    17    81 
27.906599   -0.010485    2    23    81 
27.908800   -0.008722    3     2    81 
27.925501    0.007566    3     4    81 
27.931200    0.012861    3     9    81 
27.943899    0.025137    3    11    81 
27.921000    0.001863    3    23    81 
27.910200   -0.009287    3    25    81 
27.908300   -0.011545    3    27    81 
27.912100   -0.008106    4    13    81 
27.911301   -0.009251    4    15    81 
27.909100   -0.011787    4    22    81 
27.923500    0.002289    4    24    81 
27.929100    0.007574    4    27    81 
27.925301    0.003473    4    29    81 
27.909201   -0.012928    5     1    81 
27.911699   -0.010738    5     4    81 
27.919399   -0.003321    5     6    81 
27.903900   -0.019123    5     8    81 
27.951500    0.028196    5    11    81 
27.914299   -0.009295    5    14    81 
27.912399   -0.011494    5    15    81 
27.912800   -0.011372    5    20    81 
27.926001    0.001534    5    22    81 
27.933901    0.009146    5    27    81 
27.950001    0.024942    7    11    81 
27.952999    0.027649    7    13    81 
27.943001    0.017345    7    14    81 
27.940001    0.014036    7    15    81 
27.885000   -0.041296    7    17    81 
27.934999    0.008385    7    20    81 
27.912001   -0.014954    7    24    81 
27.926001   -0.001295    7    27    81 
27.966000    0.038345    7    29    81 
27.927999   -0.000025    7    31    81 
27.945000    0.016588    8     3    81 
27.938999    0.010197    8     5    81 
27.942900    0.013704    8     7    81 
27.920700   -0.008923    8    10    81 
27.920500   -0.009554    8    11    81 
27.920401   -0.010099    8    13    81 
27.919800   -0.011145    8    13    81 
27.924601   -0.006804    8    17    81 
27.936600    0.004709    8    19    81 
27.923401   -0.008959    8    21    81 
27.912500   -0.020367    8    24    81 
27.903200   -0.030159    8    27    81 
27.928499   -0.005373    8    28    81 
27.956100    0.021719    8    31    81 
27.961599    0.026701    9     2    81 
27.952999    0.017569    9     4    81 
27.927999   -0.007959    9     8    81 
27.906000   -0.030489    9    10    81 
27.938000    0.000971    9    15    81 
27.931000   -0.006563    9    17    81 
27.934700   -0.003401    9    21    81 
27.933901   -0.004744    9    23    81 
27.941000    0.001837    9    25    81 
27.939699   -0.000031    9    28    81 
27.947201    0.006933    9    30    81 
27.923500   -0.017313   10     5    81 
27.931499   -0.009855   10     9    81 
27.936800   -0.005125   10    16    81 
27.940300   -0.002172   10    23    81 
27.952900    0.009888   10    30    81 
27.926300   -0.017275   11     2    81 
27.934700   -0.009438   11     4    81 
27.937099   -0.007603   11     6    81 
27.912899   -0.032356   11     9    81 
27.954901    0.009058   11    13    81 
27.942200   -0.004206   11    16    81 
27.942301   -0.004675   11    18    81 
27.975000    0.027451   11    20    81 
27.933901   -0.014231   11    23    81 
27.962900    0.014181   11    25    81 
27.958700    0.009398   11    27    81 
27.950300    0.000399   12     2    81 
27.957300    0.006813   12     4    81 
27.951799    0.000732   12     9    81 
27.952700    0.001057   12    11    81 
27.958900    0.006653   12    14    81 
27.930000   -0.022816   12    18    81 
27.962900    0.009520   12    21    81 
27.962999    0.009041    1     6    82 
27.966000    0.011471    1     8    82 
27.973000    0.017906    1    11    82 
27.966000    0.010353    1    13    82 
27.962999    0.006807    1    15    82 
27.957001    0.000257    1    18    82 
27.965000    0.007736    1    19    82 
27.952000   -0.005798    1    20    82 
27.982000    0.023664    1    22    82 
27.955999   -0.002853    1    25    82 
27.966999    0.007631    1    27    82 
27.952000   -0.007887    1    29    82 
