OIL ANALYSIS
CONTACT--BRO/UMC
DATE--MARCH 1990
NUMBER OF OBSERVATIONS = 300
NUMBER OF VARIABLES = 2
ORDER OF VARIABLES ON A LINE IMAGE--
   1. DEPTH
   2. RESPONSE
STATISTICAL AREA--TIME SERIES ANALYSIS
TO READ THIS FILE INTO DATAPLOT (& PLOT IT)--
   SKIP 25
   READ OIL.DAT X Y
   PLOT Y X
 
 
 
 
 
 
 
 
 
 
 DEPTH     RESPONSE
-------------------
 6845.0      153
 6845.1      156
 6845.2      168
 6845.3      165
 6845.4      165
 6845.5      188
 6845.6      187
 6845.7      191
 6845.8      196
 6845.9      196
 6846.0      195
 6846.1      189
 6846.2      211
 6846.3      180
 6846.4      118
 6846.5        2
 6846.6        2
 6846.7        1
 6846.8        2
 6846.9        1
 6847.0        5
 6847.1       20
 6847.2       68
 6847.3       42
 6847.4       48
 6847.5       53
 6847.6       54
 6847.7       57
 6847.8       64
 6847.9       51
 6848.0       60
 6848.1       63
 6848.2       52
 6848.3       93
 6848.4      125
 6848.5      137
 6848.6      255
 6848.7      255
 6848.8      255
 6848.9      255
 6849.0      255
 6849.1      255
 6849.2      255
 6849.3      255
 6849.4      255
 6849.5      255
 6849.6      255
 6849.7      255
 6849.8      250
 6849.9      255
 6850.0      255
 6850.1      255
 6850.2      255
 6850.3      255
 6850.4      255
 6850.5      255
 6850.6      255
 6850.7      255
 6850.8      255
 6850.9      255
 6851.0      255
 6851.1      254
 6851.2      254
 6851.3      252
 6851.4      245
 6851.5      242
 6851.6        2
 6851.7        1
 6851.8        1
 6851.9        2
 6852.0        2
 6852.1      242
 6852.2      255
 6852.3      254
 6852.4      248
 6852.5      245
 6852.6      238
 6852.7      222
 6852.8      180
 6852.9      152
 6853.0       91
 6853.1       31
 6853.2       17
 6853.3       18
 6853.4       23
 6853.5       19
 6853.6       20
 6853.7       16
 6853.8       14
 6853.9        8
 6854.0       10
 6854.1       12
 6854.2       14
 6854.3       19
 6854.4       22
 6854.5       27
 6854.6       35
 6854.7       34
 6854.8       40
 6854.9       36
 6855.0       28
 6855.1       26
 6855.2       26
 6855.3       25
 6855.4       26
 6855.5       26
 6855.6       30
 6855.7       40
 6855.8       45
 6855.9       57
 6856.0       73
 6856.1       90
 6856.2       92
 6856.3       56
 6856.4       42
 6856.5       42
 6856.6       45
 6856.7       46
 6856.8       39
 6856.9       36
 6857.0       45
 6857.1       60
 6857.2       78
 6857.3       85
 6857.4      100
 6857.5      116
 6857.6      136
 6857.7      145
 6857.8      164
 6857.9      177
 6858.0      179
 6858.1      210
 6858.2      243
 6858.3      255
 6858.4      255
 6858.5      255
 6858.6      255
 6858.7      255
 6858.8      255
 6858.9      255
 6859.0      255
 6859.1      255
 6859.2      255
 6859.3      255
 6859.4      255
 6859.5      255
 6859.6      160
 6859.7       56
 6859.8       25
 6859.9       20
 6860.0       23
 6860.1       25
 6860.2       27
 6860.3       26
 6860.4        2
 6860.5        2
 6860.6        1
 6860.7        2
 6860.8       16
 6860.9       17
 6861.0       17
 6861.1       21
 6861.2       19
 6861.3       24
 6861.4       24
 6861.5       24
 6861.6       25
 6861.7       34
 6861.8       34
 6861.9       38
 6862.0       52
 6862.1       57
 6862.2       69
 6862.3       78
 6862.4       77
 6862.5       94
 6862.6      108
 6862.7      108
 6862.8      108
 6862.9      147
 6863.0       62
 6863.1       52
 6863.2       55
 6863.3       54
 6863.4       55
 6863.5       56
 6863.6       54
 6863.7       59
 6863.8       48
 6863.9       52
 6864.0       61
 6864.1       46
 6864.2       37
 6864.3       34
 6864.4       30
 6864.5       26
 6864.6       25
 6864.7       27
 6864.8       29
 6864.9       20
 6865.0       18
 6865.1       20
 6865.2       26
 6865.3       34
 6865.4       41
 6865.5       41
 6865.6       47
 6865.7       47
 6865.8       49
 6865.9       49
 6866.0       58
 6866.1       54
 6866.2       42
 6866.3       37
 6866.4       30
 6866.5       23
 6866.6        9
 6866.7        4
 6866.8        1
 6866.9        3
 6867.0        9
 6867.1       20
 6867.2       31
 6867.3       33
 6867.4       40
 6867.5       39
 6867.6       34
 6867.7       38
 6867.8       29
 6867.9       10
 6868.0        6
 6868.1        7
 6868.2        5
 6868.3       14
 6868.4       27
 6868.5       35
 6868.6       36
 6868.7       32
 6868.8       27
 6868.9       17
 6869.0       12
 6869.1        9
 6869.2        7
 6869.3       13
 6869.4       21
 6869.5       33
 6869.6       40
 6869.7       58
 6869.8       66
 6869.9       85
 6870.0       81
 6870.1       82
 6870.2       86
 6870.3      170
 6870.4      234
 6870.5      242
 6870.6      196
 6870.7      237
 6870.8      222
 6870.9      248
 6871.0      246
 6871.1      216
 6871.2      190
 6871.3      225
 6871.4      248
 6871.5      212
 6871.6      213
 6871.7      246
 6871.8      253
 6871.9      246
 6872.0      241
 6872.1      244
 6872.2      203
 6872.3      214
 6872.4      198
 6872.5      149
 6872.6      137
 6872.7      163
 6872.8      170
 6872.9      228
 6873.0      193
 6873.1      180
 6873.2      114
 6873.3      145
 6873.4      168
 6873.5      127
 6873.6      122
 6873.7      160
 6873.8      129
 6873.9      137
 6874.0      204
 6874.1      173
 6874.2      109
 6874.3      163
 6874.4      127
 6874.5       86
 6874.6      124
 6874.7      118
 6874.8      139
 6874.9      136
