This is Dataplot data file   VANGEL34.DAT
Tensile Strength for Graphite/Epoxy Composite Material
Source--Mil-Handbook-17 Coordination Group Meeting, New Orleans, 1994
Number of observations             = 130
Number of varibles per line image  = 7
Order of variables on a line image--
   1. Response variable = tensile strength (ksi)
   2. Factor 1          = material form (1 = prepreg, 2 = towpreg)
   3. Factor 2          = panel         (30 levels)
   4. Factor 3          = batch         (12 levels)
   5. Factor 4          = year          ( 5 levels)
   6. Factor 5          = month         ( 7 levels)
   7. Factor 6          = day of month  ( 9 levels)
Statistical Classification--ANOVA, Tolerance Limits
Engineering question--What are the B-basis (= lower 95% confidence
                      for 10% point) values based on a 1-way ANOVA?
To read this file into Dataplot (and do RECIPE tolerance limits)--
   SKIP 25
   READ VANGEL34.DAT Y X1 X2 B
   RECIPE CONTENT 90; RECIPE CONFIDENCE 95
   RECIPE FACTORS 2
   RECIPE ANOVA Y X1 X2 B
Strength  Form   Panel  Batch      Year Month Day
    Y      X1     X2      B         X3   X4   X5
-------------------------------------------------
   404      1      1      1         90   05   06
   388      1      1      1         90   05   06
   380      1      2      2         90   05   09
   394      1      2      2         90   05   09
   370      1      3      3         91   09   18
   377      1      3      3         91   09   18
   389      1      3      3         91   09   18
   368      1      3      3         91   09   18
   404      1      3      3         91   09   18
   391      1      4      4         91   09   18
   394      1      4      4         91   09   18
   376      1      4      4         91   09   18
   379      1      4      4         91   09   18
   375      1      4      4         91   09   18
   398      1      5      5         91   09   18
   402      1      5      5         91   09   18
   385      1      5      5         91   09   18
   371      1      5      5         91   09   18
   392      1      5      5         91   09   18
   399      1      6      6         94   02   04
   372      1      6      6         94   02   04
   355      1      6      6         94   02   04
   388      1      6      6         94   02   04
   387      1      7      6         94   02   04
   394      1      7      6         94   02   04
   402      1      7      6         94   02   04
   390      1      7      6         94   02   04
   408      1      8      6         94   02   04
   406      1      8      6         94   02   04
   383      1      8      6         94   02   04
   407      1      8      6         94   02   04
   395      1      9      6         94   02   04
   374      1      9      6         94   02   04
   397      1      9      6         94   02   04
   384      1      9      6         94   02   04
   408      1     10      6         94   02   04
   393      1     10      6         94   02   04
   410      1     10      6         94   02   04
   393      1     10      6         94   02   04
   381      1     11      6         94   02   04
   397      1     11      6         94   02   04
   387      1     11      6         94   02   04
   370      1     11      6         94   02   04
   378      1     12      6         94   02   04
   389      1     12      6         94   02   04
   411      1     12      6         94   02   04
   394      1     12      6         94   02   04
   398      1     13      6         94   02   04
   387      1     13      6         94   02   04
   378      1     13      6         94   02   04
   375      1     13      6         94   02   04
   411      1     14      6         94   02   04
   403      1     14      6         94   02   04
   412      1     14      6         94   02   04
   410      1     14      6         94   02   04
   389      1     15      6         94   02   04
   387      1     15      6         94   02   04
   376      1     15      6         94   02   04
   371      1     15      6         94   02   04
   389      1     16      6         94   02   04
   402      1     16      6         94   02   04
   392      1     16      6         94   02   04
   407      1     16      6         94   02   04
   406      1     17      6         94   02   04
   394      1     17      6         94   02   04
   397      1     17      6         94   02   04
   395      1     17      6         94   02   04

   353      2     18      7         92   04   13
   364      2     18      7         92   04   13
   358      2     18      7         92   04   13
   367      2     18      7         92   04   13
   361      2     18      7         92   04   13
   351      2     19      7         92   08   08
   334      2     19      7         92   08   08
   381      2     19      7         92   08   08
   398      2     19      7         92   08   08
   327      2     19      7         92   08   08
   376      2     20      7         92   04   13
   369      2     20      7         92   04   13
   384      2     20      7         92   04   13
   369      2     20      7         92   04   13
   388      2     20      7         92   04   13
   369      2     21      8         93   01   19
   361      2     21      8         93   01   19
   362      2     21      8         93   01   19
   383      2     21      8         93   01   19
   367      2     21      8         93   01   19
   313      2     22      8         93   01   19
   323      2     22      8         93   01   19
   320      2     22      8         93   01   19
   358      2     22      8         93   01   19
   338      2     22      8         93   01   19
   349      2     23      8         93   01   19
   367      2     23      8         93   01   19
   354      2     23      8         93   01   19
   363      2     23      8         93   01   19
   359      2     23      8         93   01   19
   361      2     24      9         93   01   19
   377      2     24      9         93   01   19
   381      2     24      9         93   01   19
   365      2     24      9         93   01   19
   394      2     24      9         93   01   19
   358      2     25      9         93   01   19
   387      2     25      9         93   01   19
   375      2     25      9         93   01   19
   369      2     25      9         93   01   19
   380      2     25      9         93   01   19
   377      2     26      9         93   01   19
   361      2     26      9         93   01   19
   392      2     26      9         93   01   19
   370      2     26      9         93   01   19
   361      2     26      9         93   01   19
   362      2     27     10         92   11   02
   372      2     27     10         92   11   02
   363      2     27     10         92   11   02
   345      2     27     10         92   11   02
   358      2     27     10         92   11   02
   403      2     28     11         93   05   12
   391      2     28     11         93   05   12
   391      2     28     11         93   05   12
   387      2     28     11         93   05   12
   345      2     28     11         93   05   12
   387      2     29     12         94   02   04
   403      2     29     12         94   02   04
   385      2     29     12         94   02   04
   391      2     29     12         94   02   04
   384      2     29     12         94   02   04
   390      2     30     12         94   02   04
   407      2     30     12         94   02   04
   394      2     30     12         94   02   04
