THIS IS DATAPLOT DATA FILE     MORALES.DAT
MASS SPECTROMETRIC ISOTOPIC ANALYSIS OF SULFUR EXA-FLUROIDE
EXPERIMENTALIST = PEDRO MORALES     FILE BD37R1.TXT   ANALYSIS K-508
SPECIMEN        = MACMASTER_STAN CANON DIABLO (AN INTERNATIONAL REFERENCE)
INSTRUMENT      = MASS SPECTROMETER
DATE            = JUNE 1994
RESPONSE VARIABLE                  = MASS SPEC ISOTOPIC SULFUR RATIO ??
NUMBER OF OBSERVATIONS             = 90
NUMBER OF VARIABLES PER LINE IMAGE = 3
ORDER OF VARIABLES ON A LINE IMAGE--
   1. RESPONSE VARIABLE 1 = ISOTOPIC SULFUR RATIO 107/109
   2. RESPONSE VARIABLE 2 = ISOTOPIC SULFUR RATIO 108/109
   3. RESPONSE VARIABLE 3 = ISOTOPIC SULFUR RATIO 111/109
   4. FACTOR 1            = SET (1 TO 9 WITH 10 REPS PER SET)
STATISTICAL AREA--UNIVARIATE, 1-FACTOR, MULTIVARIATE
TO READ THIS INTO DATAPLOT--
   SKIP 25
   READ MORALES.DAT Y1 Y2 Y3 X
 
 
 
 
 
 107/109      108/109      111/109     SET
-------------------------------------------
22.82086     0.179919     0.002977      1
22.82298     0.178931     0.002291      1
22.81227     0.18088      0.003244      1
22.82818     0.178745     0.002575      1
22.80852     0.179841     0.00374       1
22.81356     0.180997     0.0045        1
22.80754     0.180809     0.004482      1
22.81213     0.181507     0.003157      1
22.81722     0.181137     0.004417      1
22.84087     0.180624     0.004843      1
22.84947     0.179017     0.003818      2
22.84605     0.179489     0.002649      2
22.84551     0.179383     0.002524      2
22.85415     0.180968     0.003039      2
22.85528     0.180378     0.003277      2
22.80153     0.180848     0.003167      2
22.82596     0.180787     0.001807      2
22.82617     0.181957     0.004723      2
22.84417     0.178995     0.002567      2
22.81804     0.181024     0.002123      2
22.81342     0.180245     0.001772      3
22.77483     0.179952     0.003462      3
22.79653     0.178568     0.000728      3
22.79185     0.179715     0.001846      3
22.77942     0.180553     0.00309       3
22.82801     0.181287     0.003206      3
22.80951     0.180296     0.001326      3
22.78346     0.179705     0.003198      3
22.78795     0.179052     0.001701      3
22.78792     0.179583     0.0024        3
22.79781     0.178838     0.002932      4
22.76781     0.178105     0.003375      4
22.76901     0.180413     0.00192       4
22.79135     0.180304     0.002115      4
22.77079     0.17998      0.002585      4
22.78225     0.178337     0.000647      4
22.76462     0.180582     0.000815      4
22.82958     0.18016      0.002448      4
22.74264     0.180455     0.002698      4
22.76057     0.178956     0.001199      4
22.80805     0.180718     0.003422      5
22.77568     0.178653     0.001201      5
22.76178     0.180043     0.004356      5
22.78761     0.181685     0.002705      5
22.73655     0.181919     0.002408      5
22.79537     0.181438     0.002652      5
22.77562     0.182229     0.001956      5
22.79052     0.180597     1.38E-05      5
22.76147     0.178884     0.000327      5
22.7264      0.183239     0.001896      5
22.75232     0.178982     0.00291       6
22.83661     0.179367     0.001077      6
22.72982     0.180784     0.002473      6
22.76453     0.182347     0.001446      6
22.80069     0.180569     0.001628      6
22.75954     0.179902     0.002834      6
22.78767     0.179247     0.002503      6
22.74216     0.18021      0.001624      6
22.74554     0.177654     0.003377      6
22.72004     0.181072     0.002163      6
22.74082     0.179471     -6.5E-05      7
22.71031     0.179325     0.001366      7
22.74164     0.178325     0.001949      7
22.77869     0.178506     0.000928      7
22.73337     0.178909     0.000631      7
22.78394     0.178097     0.001521      7
22.82776     0.180066     0.001971      7
22.76853     0.177256     0.000566      7
22.81847     0.180646     0.001947      7
22.72595     0.179396     0.001867      7
22.81235     0.177815     0.005265      8
22.73601     0.179808     0.005681      8
22.78329     0.179026     0.003324      8
22.82019     0.177711     0.003427      8
22.79949     0.180228     -0.00101      8
22.79631     0.17869      0.00381       8
22.73832     0.178878     -0.00067      8
22.78748     0.178472     0.004357      8
22.76537     0.180177     0.00436       8
22.76378     0.181516     0.002942      8
22.67852     0.17958      0.001983      9
22.70415     0.17982      0.002618      9
22.74961     0.18039      0.00024       9
22.643       0.18022      0.004754      9
22.64838     0.179262     0.002376      9
22.7596      0.182435     0.001968      9
22.73214     0.180712     0.001611      9
22.75251     0.179357     0.002182      9
22.74022     0.178669     9.2E-05       9
22.81052     0.18041      0.00122       9
