THIS IS DATAPLOT DATA FILE   BOXPENIC.DAT
PROCESS TREATMENT (FORMULA) & BLEND (BATCH) EFFECT ON PENICILLIN YIELD
BOX, HUNTER & HUNTER (1978), STATISTICS FOR EXPERIMENTERS
WILEY, PAGE 209-228 (MAIN EXAMPLE OF CHAPTER 7)
RANDOMIZED BLOCK DESIGN
NUMBER OF OBSERVATIONS = 20
TOTAL NUMBER OF VARIABLES PER LINE IMAGE = 4
   RESPONSE VARIABLE = PENICILLIN YIELD
   FACTOR 1 = PROCESS TREATMENT (= FORMULA) (4 LEVELS)
   FACTOR 2 = BLEND (= BATCH) (5 LEVELS) (A BLOCKING FACTOR)
   FACTOR 3 = RUN SEQUENCE WITHIN BATCH
TO READ THIS FILE INTO DATAPLOT (AND ANALYZE)--
   SKIP 25
   READ BOXPENIC.DAT Y FORMULA BATCH RUNSEQ
   .
   CHAR 1 2 3 4 5 BL; LINES BL BL BL BL BL SOLID
   BLOCK PLOT Y FORMULA BATCH
   CHAR 1 2 3 4 BL; LINES BL BL BL BL SOLID
   BLOCK PLOT Y BATCH FORMULA
   ER; ANOVA Y X1 X2
   PLOT RES FORMULA FORMULA; PLOT RES BATCH BATCH
   LINES BLANK ALL; PLOT RES PRED
   PLOT RES RUNSEQ; NORMAL PROBABILITY PLOT RES
 Y   FORMULA BATCH RUNSEQ
--------------------------
 89     1      1     1
 88     2      1     3
 97     3      1     2
 94     4      1     4
 84     1      2     4
 77     2      2     2
 92     3      2     3
 79     4      2     1
 81     1      3     2
 87     2      3     1
 87     3      3     4
 85     4      3     3
 87     1      4     1
 92     2      4     3
 89     3      4     2
 84     4      4     4
 79     1      5     3
 81     2      5     4
 80     3      5     1
 88     4      5     2
