This is Dataplot data file     MANDEL7.DAT
Source--Mandel, John (1961), "Non-Additivity in Analysis of Variance",
        Journal of the American Statistical Association, Vol. 56,
        No. 4, pp. 878-888.
Response Variable                  = stress in Kg/cm**2 at 100% elongation
                                     for natural rubber vulcanizates
Number of observations             = 77 (7 materials x 11 labs)
Number of variables per line image = 3
Order of variables per line image--
   Response variable = stress
   Factor 1          = lab      (11 levels)
   Factor 2          = material ( 7 levels)
Statistical area--Multifactor Interlab
                  (Mandel's row linear model for two-factor tables)
Problem Type    --Comparative
Design type     --Randomized Block
To read this file into Dataplot--
   skip 25
   read mandel7.dat y lab material



Stress   Lab  Material
  Y       X1    X2
----------------------
3.02       1     1
2.76       2     1
2.98       3     1
3.93       4     1
3.36       5     1
3.39       6     1
3.30       7     1
3.02       8     1
3.56       9     1
3.03      10     1
3.17      11     1
3.47       1     2
3.08       2     2
3.34       3     2
4.36       4     2
3.77       5     2
3.64       6     2
3.54       7     2
3.50       8     2
4.02       9     2
3.47      10     2
3.33      11     2
3.77       1     3
3.52       2     3
3.67       3     3
4.72       4     3
4.53       5     3
3.93       6     3
4.11       7     3
3.87       8     3
4.41       9     3
3.76      10     3
4.17      11     3
4.48       1     4
4.16       2     4
4.36       3     4
4.68       4     4
4.71       5     4
4.44       6     4
4.27       7     4
4.12       8     4
4.68       9     4
4.47      10     4
4.33      11     4
5.14       1     5
4.66       2     5
4.92       3     5
5.57       4     5
5.31       5     5
5.18       6     5
5.19       7     5
5.06       8     5
4.98       9     5
4.94      10     5
4.92      11     5
5.91       1     6
5.50       2     6
5.90       3     6
6.33       4     6
5.80       5     6
5.42       6     6
5.50       7     6
5.67       8     6
5.97       9     6
5.66      10     6
5.42      11     6
8.72       1     7
8.49       2     7
8.46       3     7
9.05       4     7
7.99       5     7
8.06       6     7
7.50       7     7
8.74       8     7
9.05       9     7
8.67      10     7
8.58      11     7
