WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT POINT BARROW (ALASKA) 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = BRWN2O_WK.DAT
NUMBER OF OBSERVATIONS = 899
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977   6 111  0.0   0.0 52   1.0007 -99.9900
1977  12 112  0.0   0.0 52   1.0003 -99.9900
1977  26 113  0.0   0.0 52   1.0006 -99.9900
1977  46 114  0.0   0.0 52   1.0005 -99.9900
1977  53 115  0.0   0.0 52   1.0006 -99.9900
1977  70 116  0.0   0.0 52   1.0004 -99.9900
1977  78 117  0.0   0.0 52   1.0004 -99.9900
1977  83 118  0.0   0.0 52   1.0003 -99.9900
1977  98 119  0.0   0.0 52   1.0005 -99.9900
1977 103 120  0.0   0.0 52   1.0004 -99.9900
