This is Dataplot data file     LIU.DAT
Error in 5-bit DAC (Digital-to-Analog Converter)
Hung-Kung Liu and Gene Huang (NIST)
HELP (High-Dimensional Empirical Linear Prediction)
Response variable      = error in 5-bit DAC process
Number of observations = 2**5 settings x 88 devices = 2816
Number of variables per line image =  8
Order of variables on a line image--
   1. Response variable Y = conversion error in 5-bit DAC
   2. Factor 1 = bit 1 (0 = off and 1 = on)
   3. Factor 2 = bit 2 (0 = off and 1 = on)
   4. Factor 3 = bit 3 (0 = off and 1 = on)
   5. Factor 4 = bit 4 (0 = off and 1 = on)
   6. Factor 5 = bit 5 (0 = off and 1 = on)
   7. Factor 6 = derived joint setting from X1 to X5 (1 to 32)
   8. Factor 7 = device (1 to 88)
To read this file into dataplot--
   SKIP 25
   READ LIU.DAT Y X1 X2 X3 X4 X5 SETTING DEVICE
 
 
 
   DAC      Bit  Bit  Bit  Bit  Bit  Setting     Device
   Error     1    2    3    4    5  (derived)
--------------------------------------------------------
 0.326155    1    1    1    1    1      1          1
 0.213371    1    1    1    1    0      2          1
 0.315551    1    1    1    0    1      3          1
 0.206676    1    1    1    0    0      4          1
 0.297131    1    0    0    1    1      5          1
 0.164805    1    0    0    1    0      6          1
 0.247443    1    0    0    0    1      7          1
 0.169835    1    0    0    0    0      8          1
 0.318916    1    1    1    1    1      9          1
 0.221766    1    1    1    1    0     10          1
 0.273137    1    1    1    0    1     11          1
 0.207254    1    1    1    0    0     12          1
 0.289893    1    0    0    1    1     13          1
 0.181017    1    0    0    1    0     14          1
 0.232388    1    0    0    0    1     15          1
 0.139146    1    0    0    0    0     16          1
 0.417206    0    1    1    1    1     17          1
 0.331781    0    1    1    1    0     18          1
 0.379244    0    1    1    0    1     19          1
 0.321178    0    1    1    0    0     20          1
 0.388182    0    0    0    1    1     21          1
 0.298849    0    0    0    1    0     22          1
 0.334586    0    0    0    0    1     23          1
 0.276520    0    0    0    0    0     24          1
 0.409968    0    1    1    1    1     25          1
 0.320635    0    1    1    1    0     26          1
 0.379822    0    1    1    0    1     27          1
 0.274855    0    1    1    0    0     28          1
 0.373127    0    0    0    1    1     29          1
 0.275977    0    0    0    1    0     30          1
 0.374249    0    0    0    0    1     31          1
 0.265374    0    0    0    0    0     32          1
 0.265133    1    1    1    1    1      1          2
 0.148594    1    1    1    1    0      2          2
 0.239238    1    1    1    0    1      3          2
 0.107063    1    1    1    0    0      4          2
 0.189889    1    0    0    1    1      5          2
 0.104623    1    0    0    1    0      6          2
 0.152267    1    0    0    0    1      7          2
 0.063091    1    0    0    0    0      8          2
 0.200645    1    1    1    1    1      9          2
 0.154470    1    1    1    1    0     10          2
 0.209932    1    1    1    0    1     11          2
 0.089484    1    1    1    0    0     12          2
 0.148855    1    0    0    1    1     13          2
 0.087044    1    0    0    1    0     14          2
 0.134687    1    0    0    0    1     15          2
 0.068967    1    0    0    0    0     16          2
 0.304248    0    1    1    1    1     17          2
 0.234619    0    1    1    1    0     18          2
 0.274444    0    1    1    0    1     19          2
 0.169633    0    1    1    0    0     20          2
 0.279822    0    0    0    1    1     21          2
 0.186738    0    0    0    1    0     22          2
