This is Dataplot data file    ZARR93.DAT
Thermal Conductivity Interlab Study
Bob Zar (NIST), September 2000
Response variable = thermal conductivity (lambda)
Number of observations             = 100
Number of variables per line image = 4
Order of variables on a line image--
   1. Response variable   = thermal conductivity
   2. Factor 1            = material   (4 levels)
                               1 = SRM 1451 (NIST)
                               2 = BCR 064R (IRMM via NPL)
                               3 = JTCCM candidate (JTCCM)
                               4 = SRM 1453 (NIST)
   3. Factor 2            = laboratory (5 levels:
                               1 = JTCCM (Japan)
                               2 = LNE (France)
                               3 = NIST (US)
                               4 = NPL (UK)
                               5 = NRC (Canada)
Project question--Are the labs equivalent?
To read this data file into Dataplot--
   skip 25; read zarr93.dat y x1 x2
     Y              X1             X2
Conductivity     Material     Laboratory
-----------------------------------------
  0.04473        1.00000        1.00000
  0.04489        1.00000        1.00000
  0.04425        1.00000        1.00000
  0.04417        1.00000        1.00000
  0.04434        1.00000        1.00000
  0.04101        1.00000        2.00000
  0.04104        1.00000        2.00000
  0.04105        1.00000        2.00000
  0.04103        1.00000        2.00000
  0.04109        1.00000        2.00000
  0.04052        1.00000        3.00000
  0.04055        1.00000        3.00000
  0.04056        1.00000        3.00000
  0.04056        1.00000        3.00000
  0.04056        1.00000        3.00000
  0.04150        1.00000        4.00000
  0.04110        1.00000        4.00000
  0.04110        1.00000        4.00000
  0.04110        1.00000        4.00000
  0.04110        1.00000        4.00000
  0.04035        1.00000        5.00000
  0.04030        1.00000        5.00000
  0.04029        1.00000        5.00000
  0.04031        1.00000        5.00000
  0.04034        1.00000        5.00000

  0.03254        2.00000        1.00000
  0.03243        2.00000        1.00000
  0.03254        2.00000        1.00000
  0.03248        2.00000        1.00000
  0.03255        2.00000        1.00000
  0.03186        2.00000        2.00000
  0.03189        2.00000        2.00000
  0.03188        2.00000        2.00000
  0.03189        2.00000        2.00000
  0.03191        2.00000        2.00000
  0.03161        2.00000        3.00000
  0.03168        2.00000        3.00000
  0.03167        2.00000        3.00000
  0.03170        2.00000        3.00000
  0.03164        2.00000        3.00000
  0.03200        2.00000        4.00000
  0.03210        2.00000        4.00000
  0.03210        2.00000        4.00000
  0.03200        2.00000        4.00000
  0.03210        2.00000        4.00000
  0.03188        2.00000        5.00000
  0.03223        2.00000        5.00000
  0.03232        2.00000        5.00000
  0.03229        2.00000        5.00000
  0.03228        2.00000        5.00000

  0.03602        3.00000        1.00000
  0.03648        3.00000        1.00000
  0.03627        3.00000        1.00000
  0.03704        3.00000        1.00000
  0.03694        3.00000        1.00000
  0.03674        3.00000        2.00000
  0.03673        3.00000        2.00000
  0.03677        3.00000        2.00000
  0.03676        3.00000        2.00000
  0.03675        3.00000        2.00000
  0.03617        3.00000        3.00000
  0.03588        3.00000        3.00000
  0.03633        3.00000        3.00000
  0.03618        3.00000        3.00000
  0.03625        3.00000        3.00000
  0.03500        3.00000        4.00000
  0.03500        3.00000        4.00000
  0.03500        3.00000        4.00000
  0.03500        3.00000        4.00000
  0.03500        3.00000        4.00000
  0.03688        3.00000        5.00000
  0.03691        3.00000        5.00000
  0.03687        3.00000        5.00000
  0.03685        3.00000        5.00000
  0.03680        3.00000        5.00000

  0.03401        4.00000        1.00000
  0.03433        4.00000        1.00000
  0.03350        4.00000        1.00000
  0.03382        4.00000        1.00000
  0.03390        4.00000        1.00000
  0.03369        4.00000        2.00000
  0.03369        4.00000        2.00000
  0.03372        4.00000        2.00000
  0.03368        4.00000        2.00000
  0.03368        4.00000        2.00000
  0.03367        4.00000        3.00000
  0.03378        4.00000        3.00000
  0.03377        4.00000        3.00000
  0.03376        4.00000        3.00000
  0.03377        4.00000        3.00000
  0.03350        4.00000        4.00000
  0.03380        4.00000        4.00000
  0.03380        4.00000        4.00000
  0.03370        4.00000        4.00000
  0.03360        4.00000        4.00000
  0.03387        4.00000        5.00000
  0.03386        4.00000        5.00000
  0.03386        4.00000        5.00000
  0.03389        4.00000        5.00000
  0.03388        4.00000        5.00000
