WEEKLY (ROUGHLY) FREON-12 READINGS AT SOUT POLE 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SPOF12_WK.DAT
NUMBER OF OBSERVATIONS = 321
RESPONSE VARIABLE = MEAN FREON-12 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-12 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977  26  13  0.0   0.0 36   1.0000 -99.9900
1977  26  13  0.0   0.0 36   1.0000 -99.9900
1977  35  14  0.0   0.0 36   1.0000 330.0800
1977  35  14  0.0   0.0 36   1.0000 330.0800
1977  38  15  0.0 196.7 32   1.0000 331.7700
1977  38  15  0.0 216.8 34   1.0000 331.7700
1977  41  16  0.0 205.2 32   1.0000 331.5600
1977  41  16  0.0 206.9 32   1.0000 331.5600
1977  72  17  0.0 194.2 32   1.0000 330.7700
1977  72  17  0.0 487.9 38   1.0000 330.7700
1977 105  18  0.0 221.2  2
1977 105  18  0.0 313.3  6   1.0000 330.9000
1977 134  19  0.0 260.6  4   1.0000 331.0000
1977 134  19  0.0 241.2  2   1.0000 331.0000
1977 165  20  0.0 228.3  0   1.0000 331.4000
1977 165  20  0.0 225.4  0   1.0000 331.4000
1977 195  21  0.0 226.7  2
1977 195  21  0.0 943.7  6   1.0000 331.6700
1977 229  22  0.0 944.6  4   1.0000 331.8600
1977 229  22  0.0 944.6  4   1.0000 331.8600
1977 257  23  0.0 241.8  2
1977 257  23  0.0 594.5  6   1.0000 332.4200
1977 287  24  0.0 946.0  4   1.0000 332.8400
1977 287  24  0.0 232.7  2   1.0000 332.8400
1977 316  25  0.0 831.4  4   1.0000 332.6900
