This is Dataplot data file    EHRLICH.DAT
Piston Gage Pressure Calibration
Chuck Ehrlich, Keith Eberhardt
Date            = January 1995
Customer device = piston gage
NIST "device"   = known pressure
Response variable = measured "effective area" by customer device
Number of observations             = 69
Number of variables per line image =  3
Order of variables on a line--
   1. Response Variable = measured "effective area" by customer gage
   2. Factor 1          = applied NIST pressure
   2. Factor 3          = customer gage id (2 levels)
Statistical Classification--Regression & Calibration
Core question: What linear equation allows the customer
               to adjust his/her device to the NIST device
To read this data file into Dataplot--
   SKIP 25
   READ EHRLICH.DAT Y X GAGE
 
 
    Y              X
 Customer         NIST        Customer
"Eff. Area"     Pressure       Gage ID
-----------------------------------------
 8.4011688     68.758560         1
 8.4004688    100.014312         1
 8.3997278    131.271102         1
 8.3997459    131.271194         1
 8.3990412    162.529098         1
 8.3983154    193.786300         1
 8.3975964    225.043289         1
 8.3975954    225.044006         1
 8.3969126    256.301208         1
 8.3965559    271.929229         1
 8.3968840    256.300811         1
 8.3976192    225.043502         1
 8.3983984    193.786300         1
 8.3991480    162.528900         1
 8.3990545    162.529296         1
 8.3997831    131.271194         1
 8.4004660    100.014312         1
 8.4011793     68.758499         1
 
 8.4024487     21.626630         2
 8.4022484     28.516439         2
 8.4017324     56.075660         2
 8.4010963     83.639328         2
 8.4004049    111.207901         2
 8.3996964    138.781295         2
 8.3997021    138.781204         2
 8.4004183    111.207702         2
 8.4010954     83.639328         2
 8.4017200     56.075779         2
 8.4022350     28.516529         2
 8.4025450     21.626409         2
 8.4028101     14.737449         2
 8.4027071     14.737609         2
 8.4024410     21.626649         2
 8.4022388     28.516479         2
 8.4017115     56.075809         2
 8.4010677     83.639595         2
 8.4003592    111.208503         2
 8.3996544    138.781997         2
 8.3996544    138.781997         2
 8.4003534    111.208602         2
 8.4010525     83.639801         2
 8.4017153     56.075832         2
 8.4022255     28.516550         2
 8.4024487     21.626649         2
 8.4027796     14.737500         2
 8.4026995     14.737620         2
 8.4024343     21.626659         2
 8.4022408     28.516470         2
 8.4022551     28.516420         2
 8.4017239     56.075710         2
 8.4017124     56.075779         2
 8.4010429     83.639831         2
 8.4010477     83.639793         2
 8.4003859    111.208099         2
 8.4003782    111.208198         2
 8.3996944    138.781295         2
 8.3996820    138.781509         2
 8.3996849    138.781402         2
 8.3996906    138.781295         2
 8.4004078    111.207801         2
 8.4003773    111.208198         2
 8.4010916     83.639328         2
 8.4010801     83.639442         2
 8.4017487     56.075592         2
 8.4017324     56.075687         2
 8.4022484     28.516460         2
 8.4021778     28.516700         2
 8.4024029     21.626760         2
 8.4028053     14.737449         2
