This is the dataplot data file   oysterarsenic.dat
Contents: NOAA Interlab arsenic in oyster tissue study based on NIST SRM 1566a: Arsenic
Date: 7/31/13
Source: Willie, S. and Berman, S. (year = ???)
        (Institute for Environmental Research and Technology, National Research Council, Canada)
        "NOAA National Status and Trends Program, Seventh ... Round of Intercomparison Exercise Results
        for Trace Metals in Marine Sediments and Biological Tissue",
        NOAA Technical Memorandum NOS ORCA 93, Page B-23
Response variable = measured arsenic
(NIST certified value was 14.0 +- 1.2)
Number of observations = 147
Number of variables on a line image = 3
Order of variables on a line image:
   1. Response variable = Lab measurement of arsenic
   2. Factor 1          = Lab ID (1 to 29)
   3. Factor 2          = Within-lab rep
To read this data file into dataplot:
   skip 25
   read oysterarsenic.dat y lab rep




Arsenic     Lab    Rep
----------------------
14.6999      1     1
13.5000      1     2
14.0000      1     3
13.5999      1     4
13.0999      1     5
15.0000      2     1
15.0000      2     2
14.0000      2     3
16.0000      2     4
15.0000      2     5
13.8000      3     1
14.1999      3     2
14.0999      3     3
13.5000      3     4
13.5000      3     5
12.9000      4     1
12.0999      4     2
13.0999      4     3
13.6999      4     4
12.5999      4     5
14.3000      5     1
14.6999      5     2
14.5999      5     3
15.1999      5     4
14.5999      5     5
13.5700      6     1
13.4800      6     2
13.3499      6     3
14.2400      6     4
13.4299      6     5
14.0199      7     1
13.9600      7     2
13.1400      7     3
13.2799      7     4
13.0199      7     5
13.3000      8     1
13.1999      8     2
13.5000      8     3
13.4000      8     4
13.0999      8     5
12.6999      9     1
12.5999      9     2
13.3000      9     3
12.5000      9     4
13.6999      9     5
13.6999     10     1
17.6000     10     2
14.6999     10     3
14.5999     10     4
16.8000     10     5
14.0000     11     1
14.9000     11     2
14.3000     11     3
14.0000     11     4
12.6999     11     5
15.1999     12     1
15.1999     12     2
15.0000     12     3
14.8000     12     4
15.1999     12     5
14.0000     13     1
13.8000     13     2
12.5999     13     3
12.5999     13     4
12.0000     13     5
13.1999     14     1
11.1999     14     2
12.5999     14     3
12.6999     14     4
11.5999     14     5
13.8000     15     1
13.3000     15     2
13.3000     15     3
13.0000     15     4
14.0000     15     5
13.9000     16     1
13.9000     16     2
13.8000     16     3
14.1999     16     4
13.9000     16     5
12.6400     17     1
12.0299     17     2
11.6300     17     3
10.7200     17     4
10.9800     17     5
 9.4000     18     1
 9.5000     18     2
10.0000     18     3
10.0000     18     4
10.0000     18     5
13.5000     19     1
13.0999     19     2
13.5999     19     3
13.5000     19     4
13.5999     19     5
 9.4000     20     1
 9.5000     20     2
10.0000     20     3
10.0000     20     4
10.0000     20     5
13.5000     21     1
13.0999     21     2
13.5999     21     3
13.5000     21     4
13.5999     21     5
14.9000     22     1
14.3000     22     2
14.0000     22     3
14.8000     22     4
15.0000     22     5
12.5000     23     1
12.6999     23     2
13.0999     23     3
13.1999     23     4
12.9000     23     5
13.5999     24     1
13.4000     24     2
13.0000     24     3
12.9000     24     4
12.5000     24     5
15.1699     25     1
13.4399     25     2
 8.1799     25     3
12.0999     25     4
11.1600     25     5
13.5800     26     1
13.5099     26     2
13.6400     26     3
13.4900     26     4
13.5500     26     5
10.4000     27     1
10.3000     27     2
14.0999     28     1
14.0000     28     2
14.0000     28     3
13.8000     28     4
13.4000     28     5
14.3000     29     1
15.5000     29     2
13.4000     29     3
14.5000     29     4
13.4000     29     5
