BRAIN SCAN DATA
CONTACT--HLI/ONP
DATE--JULY 1990
NUMBER OF OBSERVATIONS = 315 (21 X 15 GRID)
NUMBER OF VARIABLES = 5
ORDER OF VARIABLES ON A LINE IMAGE--
   1. X POSITION (21 LEVELS--10 TO -10)
   2. Y POSITION (15 LEVELS-- -4 TO 10)
   3. BRAIN RESPONSE 1
   4. BRAIN RESPONSE 2
   5. BRAIN RESPONSE 3
STATISTICAL AREA--3-D GRAPHICS & CONTOUR PLOTS
TO READ THIS FILE INTO DATAPLOT (AND PLOT IT)--
   SKIP 25
   READ BRAIN.DAT X1 X2 Y1 Y2 Y3
   3DPLOT Y1 X1 X2 X1 AND
   3DPLOT Y1 X1 X2 X2
   LET Y1PRIME = DATA 2.5 5 7.5 10 12.5 15
   CONTOUR PLOT Y1 X1 X2 Y1PRIME
 
 
 
 
X1              X2              Y1             Y2             Y3
----------------------------------------------------------------
10             -4             0              0              0
10             -3             0              0              0
10             -2             0              0              0
10             -1             0              0              0
10             0              0              0              0
10             1              0              0              0
10             2              0              0              0
10             3              0              0              0
10             4              0              0              0
10             5              0              0              0
10             6              0              0              0
10             7              0              0              0
10             8              0              0              0
10             9              0              0              0
10             10             0              0              0
9              -4             0              0              0
9              -3             0              0              0
9              -2             0              0              0
9              -1             0              0              0.33333333
9              0              0.11111111     0              0
9              1              0              0              0
9              2              0.33333333     0.27777778     0.08333333
9              3              0.11111111     0              0.11111111
9              4              0              0              0
9              5              0              0              0
9              6              0              0              0
9              7              0              0              0
9              8              0              0              0
9              9              0              0              0
9              10             0              0              0
8              -4             0              0              0
8              -3             0              0              0
8              -2             0.75           0.44444444     0
8              -1             0              0.33333333     0.55555556
8              0              1.11111111     0.88888889     0.72222222
8              1              0.66666667     1.05555556     1.11111111
8              2              1.11111111     1.55555556     1.11111111
8              3              0.72222222     1.22222222     1.22222222
8              4              0              0              0
8              5              0              0              0
8              6              0              0              0
8              7              0              0              0
8              8              0              0              0
