This is Dataplot data file     ELISA.DAT
HIV Optical Density Readings from ELISA
Source--Hoaglin, D., Mosteller, F., and Tukey, J. (1991).
        Fundamentals of Exploratory Analysis of Variance.
        Wiley, New York, page 157.
Response Variable                  = Elisa Optical density
Number of observations             = 75 (= 5 lots x 15 runs)
Number of variables per line image = 3
Order of variables per line image--
   Response variable = optical density from ELISA
   Factor 1          = lot    (5 levels)
   Factor 2          = run    (15 levels)
Statistical areas--Multifactor
Design Type      --Randomized Block
To read this file into Dataplot--
      SKIP 25
      READ ELISA.DAT Y X1 X2




 Optical       Lot    Run
 Density
    Y          X1     X2
--------------------------
  1.053         1      1
  1.708         1      1
  0.977         1      1
  0.881         1      2
  0.788         1      2
  0.788         1      2
  0.896         1      3
  1.038         1      3
  0.963         1      3
  0.971         1      4
  1.234         1      4
  1.089         1      4
  0.984         1      5
  0.986         1      5
  1.067         1      5

  0.996         2      1
  1.129         2      1
  1.016         2      1
  1.019         2      2
  1.088         2      2
  1.280         2      2
  1.120         2      3
  1.054         2      3
  1.235         2      3
  1.327         2      4
  1.361         2      4
  1.233         2      4
  1.079         2      5
  1.120         2      5
  0.959         2      5

  1.229         3      1
  1.027         3      1
  1.109         3      1
  1.118         3      2
  1.066         3      2
  1.146         3      2
  1.053         3      3
  1.082         3      3
  1.113         3      3
  1.140         3      4
  1.172         3      4
  0.966         3      4
  0.963         3      5
  1.064         3      5
  1.086         3      5

  0.985         4      1
  0.894         4      1
  1.109         4      1
  0.847         4      2
  0.799         4      2
  0.918         4      2
  1.033         4      3
  0.943         4      3
  1.089         4      3
  0.988         4      4
  1.169         4      4
  1.106         4      4
  1.308         4      5
  1.498         4      5
  1.271         4      5

  1.128         5      1
  1.141         5      1
  1.144         5      1
  0.990         5      2
  0.801         5      2
  0.416         5      2
  0.929         5      3
  0.950         5      3
  0.899         5      3
  0.873         5      4
  0.871         5      4
  0.786         5      4
  0.930         5      5
  0.968         5      5
  0.844         5      5
