Name:    ferritin.txt
Source:  From the R package "deming"
Description:  Test data for Deming regression
Data:         Column 1: Row ID
              Column 2: Period (1 to 7)
              Column 3: Old lot data
              Column 4: New lot data
















id   period oldlot   newlot
---------------------------
1 1 1 1
2 1 3 3
3 1 10 9
4 1 13 11
5 1 13 12
6 1 15 13
7 1 22 23
8 1 29 26
9 1 31 28
10 1 45 48
11 1 54 53
12 1 55 57
13 1 89 90
14 1 100 99
15 1 340 340
16 1 379 407
17 1 613 677
18 1 1131 1274
19 2 732 736
20 2 140 146
21 2 167 158
22 2 20 21
23 2 769 840
24 2 37 40
25 2 493 489
26 2 475 454
27 2 156 162
28 2 47 44
29 2 24 26
30 2 17 17
31 2 1180 1170
32 2 31 31
33 2 475 537
34 2 13 11
35 2 91 86
36 2 9 8
37 2 262 244
38 2 118 109
39 3 48.5 48.1
40 3 94.6 82.7
41 3 51.6 55
42 3 326.8 303.4
43 3 38.6 39.7
44 3 11.1 12.3
45 3 46.1 51.5
46 3 87.4 96.4
47 3 39.5 38.9
48 3 415.6 380.7
49 3 79.3 78.5
50 3 16 18
51 3 521.2 470.1
52 3 80.8 84.6
53 3 15.4 19.5
54 3 7.4 9.2
55 3 75.6 73.4
56 3 398.4 402.2
57 3 120.1 112.2
58 3 122.6 121.7
59 4 8.1 7.4
60 4 13.6 15.4
61 4 14.3 14
62 4 14.9 13.9
63 4 20.1 19.5
64 4 28.5 26.5
65 4 29.7 30
66 4 36.1 33.1
67 4 41 38.3
68 4 44.8 45.4
69 4 48.3 48.3
70 4 50.9 49.8
71 4 57 52.1
72 4 57.6 48.7
73 4 62.8 56.3
74 4 65 62.8
75 4 77.7 67.8
76 4 86.6 88.3
77 4 100.9 95
78 4 113.6 111.7
79 5 3.2 3.1
80 5 10.6 10.4
81 5 23.9 22.3
82 5 25.3 23.3
83 5 26.2 23.2
84 5 27 24
85 5 30.6 28.1
86 5 31.9 28.4
87 5 32.6 29.4
88 5 32.6 30.4
89 5 36.7 31.3
90 5 40.8 35.4
91 5 41.9 41.3
92 5 46.9 47.2
93 5 47.5 47.6
94 5 48.4 44.6
95 5 49.1 46.9
96 5 65.7 58.6
97 5 65.9 65.1
98 5 84.1 78.2
99 5 87.8 77.1
100 5 97 84.3
101 5 97.2 85.7
102 5 107.7 104.2
103 5 127.5 120.3
104 5 127.8 108.1
105 5 140.7 126.6
106 5 151.8 133.9
107 5 212.1 190.3
108 5 580.6 540.4
109 6 3.6 3.6
110 6 3.8 3.6
111 6 8.9 8.4
112 6 10.4 9.9
113 6 12.7 12.1
114 6 14.1 13.3
115 6 14.3 14.8
116 6 18.5 17.5
117 6 21.2 20.9
118 6 27.4 27.1
119 6 28.4 27.8
120 6 38.6 37.3
121 6 48.2 47.5
122 6 57 54.4
123 6 76.6 78.1
124 6 109 102.2
125 6 113.7 114.6
126 6 145.7 143.8
127 6 146.2 138.3
128 6 154.6 150.6
129 6 193.5 186.5
130 6 231 202.4
131 6 231.7 230.9
132 6 260.6 268.2
133 6 299.5 284.9
134 6 342.4 354.5
135 6 412.7 424.1
136 6 479.4 450.9
137 6 649.2 718.3
138 6 772 762
139 7 5 5.5
140 7 8.1 6.7
141 7 12.9 13.1
142 7 13.4 13.7
143 7 14.2 13.9
144 7 18.9 17.5
145 7 19.9 18.9
146 7 27.3 27.1
147 7 27.9 26.8
148 7 28.3 28
149 7 29.9 34.4
150 7 36.2 30.5
151 7 45.6 43.4
152 7 51.8 50.7
153 7 69.6 70.9
154 7 76.6 75.2
155 7 77.8 70.9
156 7 90.4 87.4
157 7 95.2 84.6
158 7 103.2 96.8
159 7 185.1 193.8
160 7 189.3 178.1
161 7 268.7 259.6
162 7 339.4 374.4
