 EVENT #: 3    NBS METROLOGY B165
 DATE:    03/01/89
 TIME:    11:04:26.96
 TYPE:    RMS/IMPULSE
 UNITS:   VOLTS
 CHANNEL: A
 SITE ID: Monitor 1


















           0.0     10.400
         256.0     18.400
         512.0     26.000
         768.0     34.400
        1024.0     42.400
        1280.0     50.000
        1536.0     56.800
        1792.0     64.400
        2048.0     72.000
        2304.0     78.800
        2560.0     86.400
        2816.0     92.800
        3072.0     99.600
        3328.0    107.600
        3584.0    114.800
        3840.0    120.800
        4096.0    126.400
        4352.0    132.000
        4608.0    136.400
        4864.0    140.800
        5120.0    144.800
        5376.0    147.600
        5632.0    149.600
        5888.0    151.600
        6144.0    153.600
        6400.0    155.200
        6656.0    156.400
        6912.0    157.600
        7168.0    158.400
        7424.0    159.200
        7680.0    159.600
        7936.0    159.600
        8192.0    159.600
        8448.0    159.600
        8704.0    159.200
        8960.0    158.400
        9216.0    156.800
        9472.0    154.400
        9728.0    151.200
        9984.0    147.200
       10240.0    142.400
       10496.0    136.000
       10752.0    130.000
       11008.0    123.200
       11264.0    118.000
       11265.0      0.000
       11266.0      0.000
       11267.0     72.000
       11268.0    144.000
       11269.0    192.000
       11270.0    216.000
       11271.0     72.000
       11272.0    120.000
       11273.0     96.000
       11274.0    120.000
       11275.0    120.000
       11276.0     96.000
       11277.0    108.000
       11278.0    108.000
       11279.0    108.000
       11280.0    108.000
       11281.0    108.000
       11282.0    108.000
       11283.0    108.000
       11284.0    108.000
       11285.0    108.000
       11286.0    108.000
       11287.0    108.000
       11288.0    108.000
       11289.0    108.000
       11290.0    108.000
       11291.0    108.000
       11292.0    108.000
       11293.0    108.000
       11294.0    108.000
       11295.0    108.000
       11296.0    108.000
       11297.0    108.000
       11298.0    108.000
       11299.0    108.000
       11300.0    108.000
       11301.0    108.000
       11302.0    108.000
       11303.0    108.000
       11304.0    108.000
       11305.0    108.000
       11306.0    108.000
       11307.0    108.000
       11308.0    108.000
       11309.0    108.000
       11310.0    108.000
       11311.0    108.000
       11312.0    108.000
       11313.0    108.000
       11314.0    108.000
       11315.0    108.000
       11316.0    108.000
       11317.0    108.000
       11520.0    112.400
       11521.0    108.000
       11522.0    108.000
       11523.0    108.000
       11524.0    108.000
       11525.0    108.000
       11526.0    108.000
       11527.0    108.000
       11528.0    108.000
       11529.0    108.000
       11530.0    108.000
       11531.0    108.000
       11532.0    108.000
       11533.0    108.000
       11534.0    108.000
       11535.0    108.000
       11536.0    108.000
       11537.0    108.000
       11538.0    108.000
       11539.0    108.000
       11540.0    108.000
       11541.0    108.000
       11542.0    108.000
       11543.0    108.000
       11544.0    108.000
       11545.0    108.000
       11546.0    108.000
       11547.0    108.000
       11548.0    108.000
       11549.0    108.000
       11550.0    108.000
       11551.0    108.000
       11552.0    108.000
       11553.0    108.000
       11554.0    108.000
       11555.0    108.000
       11556.0    108.000
       11557.0    108.000
       11558.0    108.000
       11559.0    108.000
       11560.0    108.000
       11561.0    108.000
       11562.0    108.000
       11563.0    108.000
       11564.0    108.000
       11565.0    108.000
       11566.0    108.000
       11567.0    108.000
       11568.0    108.000
       11569.0    108.000
       11570.0    108.000
       11571.0    108.000
       11572.0    108.000
       11573.0    108.000
       11574.0    108.000
       11575.0    108.000
       11576.0    108.000
       11577.0    108.000
       11578.0    108.000
       11579.0    108.000
       11580.0    108.000
       11581.0    108.000
       11582.0    108.000
       11583.0    108.000
       11584.0    108.000
       11585.0    108.000
       11586.0    108.000
       11587.0    108.000
       11588.0    108.000
       11589.0    108.000
       11590.0    108.000
       11591.0    108.000
       11592.0    108.000
       11593.0    108.000
       11594.0    108.000
       11595.0    108.000
       11596.0    108.000
       11597.0    108.000
       11598.0    108.000
       11599.0    108.000
       11600.0     96.000
       11601.0    108.000
       11602.0    108.000
       11603.0     96.000
       11604.0    108.000
       11605.0     96.000
       11606.0     96.000
       11607.0     96.000
       11608.0     96.000
       11609.0    108.000
       11610.0    108.000
       11611.0     96.000
       11612.0     96.000
       11613.0     96.000
       11614.0    108.000
       11615.0     96.000
       11616.0     96.000
       11617.0    108.000
       11618.0     96.000
       11619.0     96.000
       11620.0     96.000
       11621.0     96.000
       11622.0    108.000
       11623.0    108.000
       11624.0     96.000
       11625.0     96.000
       11626.0     96.000
       11627.0     96.000
       11628.0     96.000
       11629.0    108.000
       11630.0     96.000
       11631.0     96.000
       11632.0     96.000
       11633.0     96.000
       11634.0     96.000
       11635.0     96.000
       11636.0     96.000
       11637.0     96.000
       11638.0     96.000
       11639.0    108.000
       11640.0     96.000
       11641.0    108.000
       11642.0     96.000
       11643.0     96.000
       11644.0     96.000
       11645.0     96.000
       11646.0     96.000
       11647.0     96.000
       11648.0     96.000
       11649.0     96.000
       11650.0     96.000
       11651.0     96.000
       11652.0     96.000
       11653.0     96.000
       11654.0     96.000
       11655.0     96.000
       11656.0     96.000
       11657.0     96.000
       11658.0     96.000
       11659.0     96.000
       11660.0     96.000
       11661.0     96.000
       11662.0     96.000
       11663.0     96.000
       11664.0     96.000
       11665.0     96.000
       11666.0     96.000
       11667.0     96.000
       11668.0     96.000
       11669.0     96.000
       11670.0     96.000
       11671.0     96.000
       11672.0     96.000
       11673.0     96.000
       11674.0     96.000
       11675.0     96.000
       11676.0     96.000
       11677.0     96.000
       11678.0     96.000
       11679.0     96.000
       11680.0     96.000
       11681.0     96.000
       11682.0     96.000
       11683.0     96.000
       11684.0     96.000
       11685.0     96.000
       11686.0     96.000
       11687.0     96.000
       11688.0     96.000
       11689.0     96.000
       11690.0     96.000
       11691.0     96.000
       11692.0     96.000
       11693.0     96.000
       11694.0     96.000
       11695.0     96.000
       11696.0     96.000
       11697.0     96.000
       11698.0     96.000
       11699.0     96.000
       11700.0     96.000
       11701.0     96.000
       11702.0     96.000
       11703.0     96.000
       11704.0     96.000
       11705.0     96.000
       11706.0     96.000
       11707.0     96.000
       11708.0     96.000
       11709.0     96.000
       11710.0     96.000
