This is Dataplot data file    BENNETT2.DAT
Electron mobility for p-type AlGaAs
Herb Bennett
October 1998
Reference--Figure 3 of Journal of Applied Physics 80
           page 3851, 1996
Response variable                  = electron mobility for p-type AlGaAs
Number of observations             = 154 (= 21 points/curve x 7 curves)
Number of variables per line image = 3
Order of variables on a line image--
   1. Response variable = mobility (in xm**2/v*s)
   2. Factor 1          = coded acceptor density (in cm**-3)
                          (true density = coded density x 10**13)
   3. Factor 2          = mole fraction of AlAs (7 levels--0, .05, .10, ..., .30)
To read this file into Dataplot--
   SKIP 25
   READ BENNETT.DAT Y X TAG




     Y           X          Tag
  Mobility    Density  Mole Fraction
                          of AlAs
------------------------------------
   5.742          1        .00
   5.106          2        .00
   4.718          3        .00
   4.225          5        .00
   3.903          7        .00
   3.565         10        .00
   2.926         20        .00
   2.569         30        .00
   2.145         50        .00
   1.889         70        .00
   1.643        100        .00
   1.258        200        .00
   1.101        300        .00
   0.9936       500        .00
   0.9901       700        .00
   1.068       1000        .00
   1.539       2000        .00
   1.964       3000        .00
   2.489       5000        .00
   2.692       7000        .00
   2.720      10000        .00
   5.136          1        .05
   4.584          2        .05
   4.244          3        .05
   3.810          5        .05
   3.524          7        .05
   3.224         10        .05
   2.654         20        .05
   2.334         30        .05
   1.953         50        .05
   1.721         70        .05
   1.499        100        .05
   1.150        200        .05
   1.006        300        .05
   0.9046       500        .05
   0.8971       700        .05
   0.960       1000        .05
   1.372       2000        .05
   1.746       3000        .05
   2.212       5000        .05
   2.392       7000        .05
   2.418      10000        .05
   4.552          1        .10
   4.081          2        .10
   3.788          3        .10
   3.411          5        .10
   3.161          7        .10
   2.897         10        .10
   2.394         20        .10
   2.110         30        .10
   1.771         50        .10
   1.564         70        .10
   1.364        100        .10
   1.050        200        .10
   0.9191       300        .10
   0.8249       500        .10
   0.8152       700        .10
   0.8660      1000        .10
   1.227       2000        .10
   1.556       3000        .10
   1.968       5000        .10
   2.125       7000        .10
   2.152      10000        .10
   4.003          1        .15
   3.606          2        .15
   3.357          3        .15
   3.034          5        .15
   2.818          7        .15
   2.588         10        .15
   2.148         20        .15
   1.899         30        .15
   1.599         50        .15
   1.416         70        .15
   1.239        100        .15
   0.9575       200        .15
   0.8397        300        .15
   0.7530       500        .15
   0.7420       700        .15
   0.7832      1000        .15
   1.098       2000        .15
   1.390       3000        .15
   1.753       5000        .15
   1.892       7000        .15
   1.918      10000        .15
   3.500          1        .20
   3.171          2        .20
   2.961          3        .20
   2.686          5        .20
   2.501          7        .20
   2.303         10        .20
   1.921         20        .20
   1.703         30        .20
   1.441         50        .20
   1.279         70        .20
   1.123        100        .20
   0.8725       200        .20
   0.7670       300        .20
   0.6880       500        .20
   0.6764       700        .20
   0.7097      1000        .20
   0.9863      2000        .20
   1.243       3000        .20
   1.563       5000        .20
   1.687       7000        .20
   1.711      10000        .20
   3.051          1        .25
   2.779          2        .25
   2.604          3        .25
   2.371          5        .25
   2.214          7        .25
   2.045         10        .25
   1.715         20        .25
   1.525         30        .25
   1.296         50        .25
   1.154         70        .25
   1.016        100        .25
   0.7948       200        .25
   0.7007       300        .25
   0.6292       500        .25
   0.6175       700        .25
   0.6449      1000        .25
   0.8881      2000        .25
   1.115       3000        .25
   1.397       5000        .25
   1.506       7000        .25
   1.528      10000        .25
   2.658          1        .30
   2.434          2        .30
   2.288          3        .30
   2.092          5        .30
   1.959          7        .30
   1.814         10        .30
   1.530         20        .30
   1.366         30        .30
   1.165         50        .30
   1.041         70        .30
   0.9198       100        .30
   0.7241       200        .30
   0.6403       300        .30
   0.5760       500        .30
   0.5647       700        .30
   0.5873      1000        .30
   0.8013      2000        .30
   1.002       3000        .30
   1.250       5000        .30
   1.347       7000        .30
   1.368      10000        .30
