MONTHLY CARBON DIOXIDE READINGS AT SOUTH POLE 1/58 TO 1/87
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = CO2SPO.DAT
NUMBER OF OBSERVATIONS = 349
RESPONSE VARIABLE = MEAN CARBON DIOXIDE CONCENTRATION (IN PARTS PER MILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1958 TO 1987)
   2. MONTH (1 TO 12)
   3. MEAN (OVER THE MONTH) CARBON DIOXIDE CONCENTRATION (PPM)
NOTE--A ZERO RESPONSE MEANS NO READING AVAILABLE.
NOTE--FROM 1973 ONWARD, THE RAW DATA POINTS WERE HOURLY
      AND SO THE REPORTED MONTHLY AVERAGES CONSISTED OF
      ABOUT 720 OBSERVATIONS.
      PRE-1973, THE RAW DATA WAS SPARSE, SOMETIMES ONLY ONE READING PER MONTH.
NOTE--POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?

1958 01 000.00
1958 02 000.00
1958 03 314.31
1958 04 000.00
1958 05 000.00
1958 06 314.66
1958 07 000.00
1958 08 000.00
1958 09 315.41
1958 10 000.00
1958 11 000.00
1958 12 000.00
1959 01 315.34
1959 02 315.27
1959 03 315.24
1959 04 000.00
1959 05 000.00
1959 06 000.00
1959 07 000.00
1959 08 316.13
1959 09 316.30
1959 10 316.44
1959 11 316.47
1959 12 000.00
1960 01 000.00
1960 02 000.00
1960 03 000.00
1960 04 000.00
1960 05 000.00
1960 06 000.00
1960 07 000.00
1960 08 316.51
1960 09 000.00
1960 10 000.00
1960 11 000.00
1960 12 000.00
1961 01 000.00
1961 02 000.00
1961 03 000.00
1961 04 000.00
1961 05 316.52
1961 06 316.58
1961 07 316.71
1961 08 317.08
1961 09 317.44
1961 10 317.73
1961 11 318.17
1961 12 317.97
1962 01 317.74
1962 02 317.56
1962 03 317.35
1962 04 317.40
1962 05 317.47
1962 06 317.54
1962 07 317.56
1962 08 317.91
1962 09 318.34
1962 10 000.00
1962 11 000.00
1962 12 318.90
1963 01 318.39
1963 02 318.12
1963 03 317.72
1963 04 318.45
1963 05 318.67
1963 06 318.77
1963 07 318.80
1963 08 318.91
1963 09 319.94
1963 10 319.53
1963 11 000.00
1963 12 000.00
1964 01 000.00
1964 02 000.00
1964 03 000.00
1964 04 000.00
1964 05 000.00
1964 06 000.00
1964 07 000.00
1964 08 000.00
1964 09 000.00
1964 10 000.00
1964 11 000.00
1964 12 000.00
1965 01 000.00
1965 02 318.83
1965 03 318.66
1965 04 318.67
1965 05 319.03
1965 06 318.99
1965 07 319.64
1965 08 319.69
1965 09 320.38
1965 10 000.00
1965 11 320.34
1965 12 320.31
1966 01 320.43
1966 02 320.00
1966 03 319.99
1966 04 320.21
1966 05 320.36
1966 06 320.44
1966 07 320.85
1966 08 320.94
1966 09 321.33
1966 10 321.41
1966 11 321.59
1966 12 321.15
1967 01 000.00
1967 02 320.94
1967 03 320.71
1967 04 320.77
1967 05 320.93
1967 06 320.90
1967 07 321.13
1967 08 321.64
1967 09 321.99
1967 10 321.84
1967 11 321.94
1967 12 321.80
1968 01 321.61
1968 02 321.89
1968 03 321.66
1968 04 321.56
1968 05 321.48
1968 06 321.46
1968 07 321.54
1968 08 321.89
1968 09 321.53
1968 10 321.73
1968 11 322.95
1968 12 322.62
1969 01 322.47
1969 02 322.44
1969 03 321.48
1969 04 321.81
1969 05 321.91
1969 06 322.08
1969 07 322.54
1969 08 322.89
1969 09 323.40
1969 10 323.44
1969 11 323.34
1969 12 000.00
1970 01 323.57
1970 02 323.62
1970 03 323.51
1970 04 323.75
1970 05 323.84
1970 06 324.24
1970 07 324.50
1970 08 324.79
1970 09 325.31
1970 10 325.30
1970 11 325.28
1970 12 325.54
1971 01 324.93
1971 02 324.81
1971 03 324.45
1971 04 324.59
1971 05 324.86
1971 06 325.05
1971 07 325.29
1971 08 325.59
1971 09 325.92
1971 10 325.93
1971 11 326.09
1971 12 000.00
1972 01 326.05
1972 02 325.62
1972 03 325.15
1972 04 325.21
1972 05 325.37
1972 06 325.89
1972 07 326.16
1972 08 326.15
1972 09 326.61
1972 10 326.12
1972 11 326.99
1972 12 326.86
1973 01 326.86
1973 02 326.26
1973 03 326.39
1973 04 326.84
1973 05 327.16
1973 06 327.47
1973 07 327.74
1973 08 328.41
1973 09 328.71
1973 10 328.67
1973 11 328.66
1973 12 328.60
1974 01 328.69
1974 02 328.09
1974 03 327.89
1974 04 327.77
1974 05 327.84
1974 06 327.70
1974 07 328.27
1974 08 328.50
1974 09 328.78
1974 10 328.91
1974 11 328.97
1974 12 328.82
1975  1 329.10
1975  2 328.80
1975  3 328.47
1975  4 328.32
1975  5 328.60
1975  6 328.64
1975  7 329.37
1975  8 329.80
1975  9 330.10
1975 10 330.30
1975 11 330.20
1975 12 330.25
1976  1 330.05
1976  2 329.76
1976  3 329.64
1976  4 329.64
1976  5 329.70
1976  6 329.91
1976  7 330.29
1976  8 330.70
1976  9 331.01
1976 10 331.12
1976 11 331.09
1976 12 331.14
1977  1 330.89
1977  2 330.32
1977  3 330.27
1977  4 330.64
1977  5 331.00
1977  6 331.39
1977  7 331.81
1977  8 332.24
1977  9 332.70
1977 10 332.98
1977 11 332.98
1977 12 332.74
1978  1 332.56
1978  2 332.38
1978  3 332.29
1978  4 332.51
1978  5 332.95
