This is Dataplot data file     ELKINS12.DAT
freon-11 and freon-12  output (industrial?)
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
-------------------
1978     11  23.1       140   260
1979     8.8 16         152 275
1980     9.5 13.5       163 295
1981     8.1 19.5       172 310
1982     7.9 14.9       180 330
1983     10 17.6        190 348
1984     8.7 17.8       200 365
1985     12 20.8        210 390
1986     11.3 21.5      220 405
1987     12.1 22        230 425
1988     11.1 19.1      245 445
1989     9.9 16.2       255 458
1990     5.4 14.4       265 475
1991     4 12.5         270 492
1992     3.1 16.3       274 501
1993     3.0 12.1       277 509
 
