This is Dataplot data file     YOUDEN44.DAT

Magnesium Concentrations
Source--
   Youden, Jack (1962).  Experimentation & Measurement,
   National Science Teachers Association,
   Vistas of Science 2, page 44, Washington, D. C.
Number of observations             = 100
Number of variables per line image =   3
Order of variables on a line image--
   1. Response variable = magnesium concentration
   2. Factor 1          = bar       (5 levels: 1 to 5)
   3. Factor 2          = replicate (2 levels: 1 and 2)
To read this file into Dataplot--
   SKIP 25
   READ YOUDEN44.DAT Y BAR REP





      Y            X1             X2
  Magnesium        Bar        Replication
Concentration
------------------------------------------
     0.076          1              1
     0.071          1              1
     0.070          1              1
     0.067          1              1
     0.071          1              1
     0.065          1              1
     0.067          1              1
     0.071          1              1
     0.066          1              1
     0.068          1              1
     0.067          1              2
     0.066          1              2
     0.065          1              2
     0.066          1              2
     0.065          1              2
     0.067          1              2
     0.067          1              2
     0.067          1              2
     0.063          1              2
     0.068          1              2

     0.069          2              1
     0.071          2              1
     0.068          2              1
     0.071          2              1
     0.066          2              1
     0.068          2              1
     0.071          2              1
     0.069          2              1
     0.070          2              1
     0.068          2              1
     0.066          2              2
     0.062          2              2
     0.066          2              2
     0.066          2              2
     0.065          2              2
     0.066          2              2
     0.067          2              2
     0.067          2              2
     0.065          2              2
     0.068          2              2

     0.073          3              1
     0.069          3              1
     0.068          3              1
     0.069          3              1
     0.070          3              1
     0.070          3              1
     0.065          3              1
     0.067          3              1
     0.067          3              1
     0.064          3              1
     0.070          3              2
     0.068          3              2
     0.066          3              2
     0.067          3              2
     0.068          3              2
     0.065          3              2
     0.068          3              2
     0.069          3              2
     0.073          3              2
     0.068          3              2

     0.073          4              1
     0.075          4              1
     0.069          4              1
     0.072          4              1
     0.069          4              1
     0.069          4              1
     0.072          4              1
     0.063          4              1
     0.069          4              1
     0.069          4              1
     0.063          4              2
     0.069          4              2
     0.067          4              2
     0.068          4              2
     0.066          4              2
     0.065          4              2
     0.082          4              2
     0.063          4              2
     0.066          4              2
     0.066          4              2

     0.070          5              1
     0.066          5              1
     0.068          5              1
     0.068          5              1
     0.064          5              1
     0.070          5              1
     0.069          5              1
     0.067          5              1
     0.069          5              1
     0.067          5              1
     0.069          5              2
     0.064          5              2
     0.063          5              2
     0.064          5              2
     0.067          5              2
     0.065          5              2
     0.064          5              2
     0.064          5              2
     0.068          5              2
     0.069          5              2
