SOFTWARE USED
(RESULTS FROM NBS SURVEY--1986)
RESPONSE = % OF SURVEY RESPONDANTS
           WHO REGULARLY USE A
           GIVEN TYPE OF SOFTWARE.

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
    "In-house"                     35
    DATAPLOT                       33
    "Other"                        32
    Lotus 1-2-3                    24
    CMLIB                          16
    OMNITAB                        12
    IMSL                            9
    NAG                             8
    STARPAK                         7
    BMDP                            4
    RS/1                            4
    MINITAB                         2
    SAS                             0
