This is Dataplot data file     JAHANMI2.DAT
Effect of Machining Factors on Strength of Ceramics
(Longitudinal Data Only)
Response variable                  = ceramic strength
Number of observations             =  480
Number of variables per line image =   15
Order of variables on a line image--
   1. Factor  1 = Observation Id (1 to 960)
   2. Factor  2 = Lab (8 levels: 1 to 8)
   3. Factor  3 = Bar id within lab (1 to 30)
   4. Factor  4 = Set xxx (4 levels: 1 to 4)
   5. Response Variable Y = Strength of Ceramic
   6. Factor  5 = Table Speed    (2 levels: slow and fast)
   7. Factor  6 = Down Feed Rate (2 levels: slow & fast)
   8. Factor  7 = Wheel Grit     (2 levels:     )
   9. Factor  8 = Direction      (1 level : longitudinal only)
  10. Factor  9 = Treatment      (2**4 = 16 levels: 1 to 16)
  11. Factor 10 = Set of 15 within lab (2 levels: 1 and 2)
  12. Factor 11 = Rep (2 levels: 1 and 2)
  13. Factor 12 = Coded Lab (for SAS plotting purposes)
  14. Factor 13 = Bar Batch (2 levels: 1 and 2)
  15. Factor 14 = ..
  16. Factor 15 = distinct set of 15 reps (32 levels: 1 to 32)
To read this file into Dataplot--
    SKIP 50
    READ JAHANMI2.DAT   RUN LAB BAR SET Y X1 TO X10 SET2
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Id Lab Num Test    Y    X1 X2 X3 X4 Trt Set Llab Rep Bat Sblab Set2
-------------------------------------------------------------------
  1  1    1   1  608.781 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
  2  1    2   1  569.670 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
  3  1    3   1  689.556 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
  4  1    4   1  747.541 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
  5  1    5   1  618.134 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
  6  1    6   1  612.182 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
  7  1    7   1  680.203 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
  8  1    8   1  607.766 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
  9  1    9   1  726.232 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
 10  1   10   1  605.380 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
 11  1   11   1  518.655 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
 12  1   12   1  589.226 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
 13  1   13   1  740.447 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
 14  1   14   1  588.375 -1 -1 -1 -1   1  1  0.75  1  2  0.75   1
 15  1   15   1  666.830 -1 -1 -1 -1   1  1  0.75  1  1  0.50   1
 16  1   16   1  531.384 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 17  1   17   1  710.272 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 18  1   18   1  633.417 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 19  1   19   1  751.669 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 20  1   20   1  619.060 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 21  1   21   1  697.979 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 22  1   22   1  632.447 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 23  1   23   1  708.583 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 24  1   24   1  624.256 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 25  1   25   1  624.972 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 26  1   26   1  575.143 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 27  1   27   1  695.070 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 28  1   28   1  549.278 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 29  1   29   1  769.391 -1 -1 -1 -1   1  2  1.25  1  1  1.25   2
 30  1   30   1  624.972 -1 -1 -1 -1   1  2  1.25  1  2  1.50   2
 61  1    1   3  720.186 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 62  1    2   3  587.695 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 63  1    3   3  723.657 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 64  1    4   3  569.207 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 65  1    5   3  703.700 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 66  1    6   3  613.257 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 67  1    7   3  697.626 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 68  1    8   3  565.737 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 69  1    9   3  714.980 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 70  1   10   3  662.131 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 71  1   11   3  657.712 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 72  1   12   3  543.177 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 73  1   13   3  609.989 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 74  1   14   3  512.394 -1  1  1 -1   7  1  0.75  1  2  0.75   3
 75  1   15   3  650.771 -1  1  1 -1   7  1  0.75  1  1  0.50   3
 76  1   16   3  611.190 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 77  1   17   3  707.977 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 78  1   18   3  659.982 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 79  1   19   3  712.199 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 80  1   20   3  569.245 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 81  1   21   3  709.631 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 82  1   22   3  725.792 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 83  1   23   3  703.160 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 84  1   24   3  608.960 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 85  1   25   3  744.822 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 86  1   26   3  586.060 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 87  1   27   3  719.217 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 88  1   28   3  617.441 -1  1  1 -1   7  2  1.25  1  2  1.50   4
 89  1   29   3  619.137 -1  1  1 -1   7  2  1.25  1  1  1.25   4
 90  1   30   3  592.845 -1  1  1 -1   7  2  1.25  1  2  1.50   4
151  2    1   2  753.333  1  1  1 -1   8  1  1.75  1  1  1.50   5
152  2    2   2  631.754  1  1  1 -1   8  1  1.75  1  2  1.75   5
153  2    3   2  677.933  1  1  1 -1   8  1  1.75  1  1  1.50   5
154  2    4   2  588.113  1  1  1 -1   8  1  1.75  1  2  1.75   5
155  2    5   2  735.919  1  1  1 -1   8  1  1.75  1  1  1.50   5
156  2    6   2  555.724  1  1  1 -1   8  1  1.75  1  2  1.75   5
157  2    7   2  695.274  1  1  1 -1   8  1  1.75  1  1  1.50   5
158  2    8   2  702.411  1  1  1 -1   8  1  1.75  1  2  1.75   5
159  2    9   2  504.167  1  1  1 -1   8  1  1.75  1  1  1.50   5
160  2   10   2  631.754  1  1  1 -1   8  1  1.75  1  2  1.75   5
