This is Dataplot data file     BIVGAUSS.DAT
Bivariate Gaussian Data
Question: ?

Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 63 (Chapter 1)
Number of observations = 1000
Number of variables per line image = 1
Order of variables on a line image--
   1. Y1 = Response Variable 1
   2. Y2 = Response Variable 2







To read this file into Dataplot--
   SKIP 25
   READ BIVGAUSS.DAT Y1 Y2
     Y1     Y2

----------------
    5.43   11.04
    4.23    3.80
   -2.06   15.51
    3.11   14.97
   -5.50   -1.95
    1.36   -5.88
    2.58   12.26
   -0.44   11.31
   -0.90   -6.02
    5.10   -1.30
    2.46    0.93
   -6.70    9.18
    6.23    9.81
    5.57   -4.66
    4.34   -0.69
   -1.91   -3.67
    4.81   14.00
    1.06   12.33
   -2.36  -18.70
    1.68  -13.36
    4.60   -0.87
    2.09   -3.28
    1.48   -1.40
   -0.33   -7.95
    3.13    7.60
    5.15   12.79
   -0.81    7.57
    7.44    6.05
    5.40    6.77
    7.48   33.03
    5.01    8.94
    7.39   10.89
   -6.19    4.63
    7.42    6.43
   -2.43  -17.34
   10.88    8.85
    1.75   -7.70
    0.94   -1.64
   -3.63   -1.14
    3.30   21.21
    1.09   -1.69
   -1.02   12.19
    0.58   -2.70
    8.29   -1.89
    9.59    6.11
    1.24   11.48
   -1.85    8.23
   -0.20    4.31
    3.74   22.89
    5.74   -6.56
    4.32    4.96
    1.86   -5.27
    1.93    3.18
    2.09   -5.98
    0.07  -17.61
    9.30   10.55
    2.66   10.44
    2.68   -3.56
   -3.82   10.02
   -2.75    3.89
    3.67   18.89
    1.09  -10.08
    3.19    8.44
    1.30    2.53
    2.87    6.85
    8.48   -2.79
    6.69   -4.58
   -4.77   13.36
    6.58    6.82
   -1.50   -0.21
    2.24   -9.59
    2.08   15.01
    3.66   -1.30
    7.06   -5.36
    4.44   -2.03
   -0.33   -0.71
   -0.43   -2.23
    3.93   -5.83
    0.46   23.66
    4.96    3.16
    5.15    2.49
   -1.92   -1.37
    4.40   -3.53
    0.93    0.10
    0.75   -8.11
    1.13    0.00
   -1.89    9.51
    4.13   -9.76
    3.24   -1.16
   -0.43   12.57
    1.12   10.27
    2.81   -3.88
    9.81    0.09
    6.93   -7.12
   -2.61   -4.21
    3.87   -3.83
    3.96   -8.07
    2.28    3.80
    2.74   -5.29
   -4.35    4.55
   -0.47    4.61
    2.35  -10.68
    1.31  -17.36
   -2.83    5.80
    6.08   -3.98
    5.42    9.21
   -6.10   15.96
    4.86   -7.11
    2.99   -6.27
   14.78   -4.34
    9.96    7.61
   -3.40  -17.87
   -0.91   -1.75
    1.30   -0.63
    3.82  -11.71
    7.57    2.59
    2.35   12.62
    2.22    7.58
    9.77    9.80
    8.95   -0.15
    1.17   -4.81
    0.62    3.48
    9.37    3.66
   -2.49   16.09
    1.13    6.03
    0.87    4.16
   -0.70   19.92
    2.59  -10.04
    6.90   19.22
   -0.33    5.27
   -4.06   15.82
    4.41   -9.06
    6.30   13.87
   -4.74   -4.79
   12.47   -2.01
    5.00    2.19
   -1.31  -15.73
    4.93   15.47
    3.06   -4.60
   -1.38   -4.83
    1.66    0.85
    5.31   -3.37
    6.95    7.00
   -0.91   20.33
    8.05   -7.39
    7.23   11.31
    0.80   -9.31
    1.40   11.34
   -0.09   -4.82
    0.35    9.06
   -7.67    6.93
    5.83   -9.67
   -3.85    4.21
    3.36  -15.82
    6.70    2.17
    2.23   -4.53
    4.92    6.55
    7.29   -5.03
    1.99   12.59
    1.79   -7.34
    0.62   15.33
   -1.98    9.21
    2.94   -1.66
    5.27    0.82
   -1.34    4.75
    1.01    3.62
   -1.91   -6.02
    6.55  -15.69
    6.55   -0.16
   -2.16    6.99
    4.43   -0.86
   -1.38   18.33
   -6.03  -14.14
   -0.80   15.74
    6.20   -6.82
    4.17   -3.77
    1.08   -4.38
   -1.08    9.55
   10.42    1.72
    1.77   17.07
   -2.40   -4.73
    3.23   -2.17
    0.31  -12.24
    1.78    0.67
    2.43   12.06
    1.02   -1.36
    5.57   10.62
    0.73   -5.47
   -0.02   -8.45
    7.07   -5.91
    3.18   14.57
   -1.55    2.65
   -2.55    4.95
    0.63   10.62
    2.73   12.66
    0.85   24.71
   -4.71    9.22
    1.49   16.50
    6.69    1.50
    4.26   -4.66
    3.12    9.61
   -0.29    0.59
    4.98   22.60
   -0.07    1.35
    2.34    2.26
    0.83    9.75
   -0.21   18.34
    2.30   -1.92
    3.77    4.48
   -5.37    4.06
   -3.52   -9.14
    4.83  -21.32
    1.80   -0.20
    1.71   14.48
    0.38    4.90
    1.60    9.39
    3.02    5.76
   -1.58    1.01
    1.22   -6.75
    5.38   -6.70
    3.19    1.33
    1.39   10.96
    1.84    3.84
    2.78    6.51
   -1.28   -7.47
    5.90   -0.51
    2.87   -7.10
    1.99   -2.05
    3.77  -15.33
   -0.52   -6.73
    2.57    8.12
    2.10    9.75
    3.13    4.79
    7.87   17.23
    2.27   -0.14
    3.98   15.36
    1.96   15.16
    3.35    1.88
    2.11   13.16
    8.47    5.68
    6.77   14.22
    5.58    3.38
    3.29    2.14
    3.12   10.40
    1.28   18.84
    3.54    7.52
    4.07   16.83
   -2.17   16.23
    1.97    7.93
    5.73    6.89
    5.41   -2.45
    2.49   22.15
   -6.51    6.18
    5.60   -1.37
    5.20   -2.53
    0.55   10.75
    1.95   11.91
   -0.61  -10.69
    1.72    1.37
    5.45    9.37
    0.48   -1.84
   -4.24   25.87
    2.47   -6.08
   -1.34    4.00
    3.73   22.22
    7.22    3.55
    2.71    4.45
    2.64   12.86
    6.07    2.68
    0.30   -5.60
    3.73  -12.42
   -2.05   16.35
   -0.84   -9.22
    5.18    3.56
    6.27    9.90
    2.73   12.16
    2.67    3.63
   -0.74    3.23
   -0.95   -9.35
   -1.40    8.98
    3.19    1.05
    9.50    8.91
   -4.59   15.27
    5.13    7.77
   -0.05   -2.89
   -3.59    0.78
    3.24   -7.27
    9.45    7.57
   -0.51   12.28
    4.32  -10.50
   -1.30    5.92
    1.36    7.89
    1.47  -13.30
   -2.07    3.58
    0.43    8.93
    4.22   19.67
