MARYLAND "PICK 4" LOTTERY NUMBERS
AUGUST 22, 1988 TO MAY 26, 1989 (40 WEEKS)
NUMBER OF DATA POINTS = 238
NUMBER OF VARIABLES PER LINE IMAGE = 5
ORDER OF VARIABLES--
   1. LOTTERY NUMBER (4-DIGIT)
   2. MONTH
   3. DAY OF MONTH
   4. YEAR
   5. WEEK (1 TO 40)
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   READ LOTTERY4.DAT Y MONTH DAY YEAR WEEK
   X3LABEL AUTOMATIC; 4-PLOT Y
   UNIFORM PROBABILITY PLOT Y
   CHARACTERS X ALL; PLOT Y WEEK WEEK
   CHAR BOX PLOT; LINES BOX PLOT; BOX PLOT Y WEEK
   CHAR CONTROL CHART; LINES CONTROL CHART
   MEAN CONTROL CHART Y WEEK
   RANGE CONTROL CHART Y WEEK
   AUTOCORRELATION PLOT Y
   GRID ON; MIDRANGE PLOT Y WEEK
   AUTOCORRELATION STATISTIC PLOT Y WEEK
NUMBER     MONTH  DAY    YEAR   WEEK
-------------------------------------
 4878        8     22     88      1
 6381        8     23     88      1
  277        8     24     88      1
 3557        8     25     88      1
 4729        8     26     88      1
 7826        8     27     88      1
 5286        8     29     88      2
 5891        8     30     88      2
 2922        8     31     88      2
 7266        9      1     88      2
 8222        9      2     88      2
 7591        9      3     88      2
 3177        9      5     88      3
 9235        9      6     88      3
 3362        9      7     88      3
 2578        9      8     88      3
 5195        9      9     88      3
 9658        9     10     88      3
 2285        9     12     88      4
  732        9     13     88      4
 1696        9     14     88      4
   88        9     15     88      4
 6069        9     16     88      4
 9391        9     17     88      4
  662        9     19     88      5
 2198        9     20     88      5
 4161        9     21     88      5
 6541        9     22     88      5
 2544        9     23     88      5
 3216        9     24     88      5
 5223        9     26     88      6
 2390        9     27     88      6
 9272        9     28     88      6
 8481        9     29     88      6
 6743        9     30     88      6
 4326       10      1     88      6
 6169       10      3     88      7
 1438       10      4     88      7
 5422       10      5     88      7
 6259       10      6     88      7
 9391       10      7     88      7
 1550       10      8     88      7
 2454       10     10     88      8
 5031       10     11     88      8
 5742       10     12     88      8
 6467       10     13     88      8
 9708       10     14     88      8
 4766       10     15     88      8
  946       10     17     88      9
 1262       10     18     88      9
 9609       10     19     88      9
 6968       10     20     88      9
 9644       10     21     88      9
 1141       10     22     88      9
 8672       10     24     88     10
 7143       10     25     88     10
 6577       10     26     88     10
 9875       10     27     88     10
 3526       10     28     88     10
 2149       10     29     88     10
 7032       10     31     88     11
 8695       11      1     88     11
 4124       11      2     88     11
 2768       11      3     88     11
 1164       11      4     88     11
 7959       11      5     88     11
 4407       11      7     88     12
 7704       11      8     88     12
  916       11      9     88     12
 4291       11     10     88     12
 4357       11     11     88     12
 5909       11     12     88     12
 3966       11     14     88     13
 4008       11     15     88     13
 2232       11     16     88     13
 3996       11     17     88     13
 3345       11     18     88     13
