MICHELSON'S 1879 DETERMINATION OF THE SPEED OF LIGHT IN AIR
(WITH THANKS TO CHURCHILL EISENHART FOR PROVIDING DATA)
NUMBER OF OBSERVATIONS = 100
NUMBER OF VARIABLES = 5
ORDER OF VARIABLES ON A LINE IMAGE--
   1. RESPONSE = SPEED OF LIGHT (IN MILLIONS OF METERS PER SECOND)
   2. AIR TEMPERARATURE IN DEGREES F
   3. ELAPSED DAYS (DAY 1 = JUNE 5, 1879)
   4. CODED MORNING/AFTERNOON (1 = AM, 2 = PM)
   5. DATA SET (1 TO 24)
SOURCE--DORSEY, ERNEST N. (1944). THE VELOCITY OF LIGHT.
        TRANSACTIONS OF THE AMERICAN PHILOSOPHICAL
        SOCIETY, VOLUME 34, PART 1, PAGES 1-110, TABLE 22.
NOTE--SPEED OF LIGHT IN A VACUUM IS (AS OF 1963)--
      = 299792.5 KILOMETERS/SEC
      = 299.7925 MILLIONS OF METERS PER SECOND
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   READ MICHELSO.DAT Y TEMP DAY AMPM SET
   CHARACTERS BOX PLOT
   LINES BOX PLOT
   BOX PLOT Y SET
 
SPEED OF LIGHT     TEMP   DAY   AMPM   SET
------------------------------------------
  299.85            76     1     2      1
  299.74            72     3     2      2
  299.90            72     3     2      2
  300.07            72     3     2      2
  299.93            72     3     2      2
  299.85            72     3     2      2
  299.95            83     5     2      3
  299.98            83     5     2      3
  299.98            83     5     2      3
  299.88            83     5     2      3
  300.00            83     5     2      3
  299.98            90     6     2      4
  299.93            90     6     2      4
  299.65            71     8     1      5
  299.76            71     8     1      5
  299.81            71     8     1      5
  300.00            72     9     1      6
  300.00            72     9     1      6
  299.96            72     9     1      6
  299.96            79     9     2      7
  299.96            79     9     2      7
  299.94            79     9     2      7
  299.96            79     9     2      7
  299.94            79     9     2      7
  299.88            79     9     2      7
  299.80            79     9     2      7
  299.85            64    10     1      8
  299.88            64    10     1      8
  299.90            65    10     1      8
  299.84            66    10     1      8
  299.83            67    10     1      8
  299.79            84    10     2      9
  299.81            85    10     2      9
  299.88            84    10     2      9
  299.88            84    10     2      9
  299.83            84    10     2      9
  299.80            62    13     1     10
  299.79            63    13     1     10
  299.76            64    13     1     10
  299.80            77    13     2     11
  299.88            77    13     2     11
  299.88            77    13     2     11
  299.88            77    13     2     11
  299.86            77    13     2     11
  299.72            58    14     1     12
  299.72            58    14     1     12
  299.62            59    14     1     12
  299.86            75    14     2     13
  299.97            75    14     2     13
  299.95            75    14     2     13
  299.88            60    16     1     14
  299.91            61    16     1     14
  299.85            62    16     1     14
  299.87            63    16     1     14
  299.84            78    16     2     15
  299.84            79    16     2     15
  299.85            80    16     2     15
  299.84            79    16     2     15
  299.84            79    16     2     15
  299.84            79    16     2     15
  299.89            61    17     1     16
  299.81            62    17     1     16
  299.81            63    17     1     16
  299.82            64    17     1     16
  299.80            65    17     1     16
  299.77            80    17     2     17
  299.76            81    17     2     17
  299.74            82    17     2     17
  299.75            82    17     2     17
  299.76            81    17     2     17
  299.91            89    19     2     18
  299.92            89    19     2     18
  299.89            90    19     2     18
  299.86            90    19     2     18
  299.88            90    19     2     18
  299.72            72    20     1     19
  299.84            73    20     1     19
  299.85            74    20     1     19
  299.85            75    20     1     19
  299.78            76    20     1     19
  299.89            86    22     2     20
  299.84            86    22     2     20
  299.78            73    23     1     21
  299.81            74    23     1     21
  299.76            75    23     1     21
  299.81            75    23     1     21
  299.79            76    23     1     21
  299.81            76    23     1     21
  299.82            85    26     2     22
  299.85            86    26     2     22
  299.87            86    26     2     22
  299.87            86    26     2     22
  299.81            83    27     2     23
  299.74            84    27     2     23
  299.81            86    27     2     23
  299.94            86    27     2     23
  299.95            86    28     2     24
  299.80            86    28     2     24
  299.81            86    28     2     24
  299.87            85    28     2     24
