This is Dataplot data file    REHM.DAT
Asthmatic Air Flow (Biomedical)
Response variable = Air flow
Number of observations = 294 + 210 + 251 = 755
Number of observations per line image = 2
Order of observations per line image--
   1. Response variable 1 = high air flow
   2. Response variable 2 = low  air flow
   3. Factor 1            = time
   4. factor 2            = patient id (1 to 3)
To read this file into Dataplot (and analyze)--
   SKIP 25
   READ REHM.DAT Y1 Y2 X PATIENT
   RETAIN Y1 Y2 X PATIENT SUBSET PATIENT 1
   LET N = NUMBER Y1
   LET TAG = SEQUENCE 1 4 1 300
   RETAIN TAG FOR I = 1 1 N
   MULTIPLOT 2 2
   PLOT Y TAG TAG
   MEAN CONTROL CHART Y TAG
   RANGE CONTROL CHART Y TAG
 
 
High Flow   Low Flow   Time   Patient
------------------------------------------
   570        500         1      1
   590        520         2      1
   600        490         3      1
   580        500         4      1
   590        510         5      1
   580        500         6      1
   580        490         7      1
   580        500         8      1
   570        500         9      1
   580        500        10      1
   590        470        11      1
   580        490        12      1
   590        500        13      1
   580        520        14      1
   570        510        15      1
   580        510        16      1
   580        490        17      1
   590        490        18      1
   580        490        19      1
   560        490        20      1
   580        500        21      1
   590        510        22      1
   600        510        23      1
   580        490        24      1
   600        500        25      1
   570        490        26      1
   580        490        27      1
   560        510        28      1
   580        490        29      1
   560        450        30      1
   580        460        31      1
   570        510        32      1
   560        490        33      1
   520        440        34      1
   570        430        35      1
   550        440        36      1
   540        440        37      1
   540        410        38      1
   560        400        39      1
   560        470        40      1
   530        480        41      1
   550        430        42      1
   550        410        43      1
   560        420        44      1
   550        420        45      1
   560        420        46      1
   550        420        47      1
   560        410        48      1
   550        450        49      1
   560        410        50      1
   540        410        51      1
   550        420        52      1
   560        450        53      1
   540        430        54      1
   530        410        55      1
   540        420        56      1
   560        410        57      1
   540        410        58      1
   540        410        59      1
   540        390        60      1
   540        390        61      1
   430        330        62      1
   400        290        63      1
   520        330        64      1
   530        390        65      1
   560        340        66      1
   530        440        67      1
   520        380        68      1
   540        410        69      1
   530        400        70      1
   510        420        71      1
   540        390        72      1
   560        440        73      1
   540        450        74      1
   560        440        75      1
   520        450        76      1
   530        410        77      1
   560        460        78      1
   540        450        79      1
   570        450        80      1
   560        490        81      1
   550        510        82      1
   540        490        83      1
   530        470        84      1
   530        400        85      1
   550        400        86      1
   550        400        87      1
   540        420        88      1
   580        480        89      1
   550        470        90      1
   580        470        91      1
   540        480        92      1
   560        490        93      1
   560        490        94      1
   570        490        95      1
   580        490        96      1
   550        500        97      1
   570        510        98      1
   580        500        99      1
   570        510       100      1
   570        510       101      1
   570        510       102      1
   550        490       103      1
   560        490       104      1
   560        490       105      1
   570        500       106      1
   590        500       107      1
   550        500       108      1
   550        490       109      1
   570        510       110      1
   570        490       111      1
   540        490       112      1
   590        490       113      1
   580        510       114      1
   610        510       115      1
   590        510       116      1
   570        500       117      1
   570        510       118      1
   560        490       119      1
   550        490       120      1
   550        490       121      1
   560        500       122      1
   560        490       123      1
   560        510       124      1
   560        500       125      1
   550        500       126      1
   550        490       127      1
   550        490       128      1
   560        500       129      1
   550        490       130      1
   560        500       131      1
   560        500       132      1
   540        490       133      1
   550        500       134      1
   560        490       135      1
   560        490       136      1
   560        490       137      1
   560        500       138      1
   550        510       139      1
   550        490       140      1
   560        500       141      1
   560        490       142      1
   560        500       143      1
   560        490       144      1
   550        500       145      1
   550        490       146      1
   560        500       147      1
   560        490       148      1
   550        500       149      1
   560        490       150      1
   560        510       151      1
   560        490       152      1
   560        500       153      1
   560        500       154      1
   560        490       155      1
   550        500       156      1
   560        490       157      1
   560        500       158      1
   560        500       159      1
   560        500       160      1
   560        500       161      1
   550        500       162      1
   550        490       163      1
   560        500       164      1
   560        500       165      1
   550        500       166      1
   560        490       167      1
   560        510       168      1
   550        500       169      1
   560        490       170      1
   550        500       171      1
   550        500       172      1
   560        490       173      1
   550        500       174      1
   560        500       175      1
   550        490       176      1
   560        500       177      1
   550        510       178      1
   560        490       179      1
   570        500       180      1
   560        490       181      1
   560        500       182      1
   550        490       183      1
   560        500       184      1
   550        500       185      1
   560        490       186      1
   570        500       187      1
   560        500       188      1
   560        500       189      1
   560        490       190      1
   560        500       191      1
   570        500       192      1
   570        500       193      1
   560        490       194      1
   570        500       195      1
   560        500       196      1
   550        490       197      1
   550        500       198      1
   540        490       199      1
   550        490       200      1
   560        490       201      1
   530        490       202      1
   555        500       203      1
   500        360       204      1
   520        330       205      1
   550        460       206      1
   540        490       207      1
   530        490       208      1
   540        490       209      1
   550        490       210      1
   550        500       211      1
   530        490       212      1
   550        490       213      1
   550        490       214      1
   540        490       215      1
   530        490       216      1
   530        490       217      1
   540        490       218      1
   540        490       219      1
   540        490       220      1
   540        490       221      1
   540        490       222      1
   550        490       223      1
   550        490       224      1
   550        490       225      1
   540        490       226      1
   540        490       227      1
   540        490       228      1
   550        490       229      1
   550        490       230      1
   550        490       231      1
   550        490       232      1
   550        490       233      1
   540        490       234      1
   550        490       235      1
   540        490       236      1
   550        490       237      1
   540        490       238      1
   550        490       239      1
   540        490       240      1
   550        490       241      1
   540        490       242      1
   540        490       243      1
   530        490       244      1
   540        490       245      1
   550        490       246      1
   540        490       247      1
   540        490       248      1
   530        490       249      1
   550        490       250      1
   550        490       251      1
   550        490       252      1
   540        490       253      1
   540        490       254      1
   550        490       255      1
   540        490       256      1
   550        490       257      1
   540        490       258      1
   550        490       259      1
   540        490       260      1
   550        500       261      1
   540        490       262      1
   530        490       263      1
   510        420       264      1
   560        420       265      1
   530        390       266      1
   470        360       267      1
   530        390       268      1
   560        430       269      1
   540        460       270      1
   540        430       271      1
   540        450       272      1
   530        450       273      1
   550        490       274      1
   550        490       275      1
   540        490       276      1
   540        490       277      1
   560        490       278      1
   550        490       279      1
   530        490       280      1
   540        490       281      1
   540        490       282      1
   530        490       283      1
   530        490       284      1
   530        360       285      1
   540        370       286      1
   540        360       287      1
   550        450       288      1
   550        450       289      1
   540        470       290      1
   550        470       291      1
   550        470       292      1
   550        450       293      1
   550        450       294      1
   495        405         1      2
   520        310         2      2
   525        445         3      2
   525        460         4      2
   580        380         5      2
   525        320         6      2
   570        460         7      2
   550        445         8      2
   550        445         9      2
   565        440        10      2
   530        430        11      2
   565        510        12      2
   560        440        13      2
   570        495        14      2
   535        440        15      2
   565        465        16      2
   540        350        17      2
   565        455        18      2
   525        430        19      2
   520        400        20      2
   565        505        21      2
   550        360        22      2
   575        500        23      2
   510        380        24      2
   575        440        25      2
   520        420        26      2
   525        430        27      2
   570        440        28      2
   540        295        29      2
   535        415        30      2
   570        510        31      2
   560        400        32      2
   565        355        33      2
   565        510        34      2
   570        370        35      2
   535        450        36      2
   550        410        37      2
   520        250        38      2
   595        525        39      2
   555        395        40      2
   550        445        41      2
   530        405        42      2
   465        270        43      2
   515        380        44      2
   530        395        45      2
   485        345        46      2
   510        365        47      2
   495        370        48      2
   510        405        49      2
   520        330        50      2
   530        370        51      2
   535        375        52      2
   510        380        53      2
   505        360        54      2
   510        360        55      2
   570        470        56      2
   560        455        57      2
   435        250        58      2
   495        385        59      2
   545        440        60      2
   505        370        61      2
   520        405        62      2
   570        320        63      2
   530        465        64      2
   505        440        65      2
   510        425        66      2
   520        415        67      2
   530        395        68      2
   540        410        69      2
   535        410        70      2
   545        400        71      2
   565        415        72      2
   550        405        73      2
   550        445        74      2
   570        425        75      2
   560        420        76      2
   535        340        77      2
   515        365        78      2
   540        325        79      2
   535        360        80      2
   510        310        81      2
   520        320        82      2
   530        440        83      2
   560        400        84      2
   540        405        85      2
   480        320        86      2
   460        250        87      2
   520        410        88      2
   550        380        89      2
   560        450        90      2
   545        415        91      2
   550        450        92      2
   515        280        93      2
   525        400        94      2
   520        310        95      2
   500        350        96      2
   540        260        97      2
   540        395        98      2
   510        330        99      2
   540        305       100      2
   560        330       101      2
   535        345       102      2
   520        380       103      2
   525        315       104      2
   565        400       105      2
   540        405       106      2
   550        440       107      2
   565        435       108      2
   535        405       109      2
   525        390       110      2
   515        420       111      2
   485        365       112      2
   525        350       113      2
   535        385       114      2
   560        415       115      2
   570        395       116      2
   555        365       117      2
   565        405       118      2
   525        400       119      2
   515        380       120      2
   500        315       121      2
   495        265       122      2
   515        310       123      2
   470        280       124      2
   510        375       125      2
   515        310       126      2
   520        405       127      2
   505        410       128      2
   525        300       129      2
   530        385       130      2
   485        295       131      2
   520        390       132      2
   525        405       133      2
   520        410       134      2
   505        365       135      2
   470        275       136      2
   510        280       137      2
   480        260       138      2
   500        300       139      2
   505        255       140      2
   500        308       141      2
   525        365       142      2
   530        300       143      2
   510        275       144      2
   500        260       145      2
   515        385       146      2
   500        250       147      2
   520        370       148      2
   540        350       149      2
   510        350       150      2
   500        310       151      2
   510        350       152      2
   520        330       153      2
   520        375       154      2
   475        360       155      2
   480        310       156      2
   500        300       157      2
   490        400       158      2
   510        435       159      2
   530        420       160      2
   495        395       161      2
   540        415       162      2
   525        400       163      2
   510        400       164      2
   490        385       165      2
   485        315       166      2
   500        370       167      2
   510        375       168      2
   490        390       169      2
   500        410       170      2
   490        415       171      2
   480        390       172      2
   465        335       173      2
   475        395       174      2
   505        405       175      2
   500        395       176      2
   480        385       177      2
   470        365       178      2
   475        400       179      2
   505        405       180      2
   500        395       181      2
   495        405       182      2
   465        395       183      2
   530        415       184      2
   485        375       185      2
   510        405       186      2
   460        330       187      2
   500        385       188      2
   465        355       189      2
   455        350       190      2
   435        325       191      2
