This is Dataplot data file     NATR627.DAT
Cubic Polynomial Regression Example
Question: What cubic polynomial relates Y to X?
 
Source--Natella, Mary G. (1963). Experimental Statistics.
        National Bureau of Standards Handbook 91.
        U.S. Government Printing Office.  Page 6-27 to 6-42.
 
Number of observations             =  7
Number of variables per line image =  2
Order of variables on a line image--
   1. Response Variable Y = response
   2. Factor 1          X = factor 1
 
To read this file into Dataplot--
   SKIP 25
   READ NATR627.DAT Y X
   CUBIC FIT Y X
 
 
 
 
 
   Y     X
------------
  3.4   10
 11.7   20
 37.2   30
 80.1   40
151.4   50
253.2   60
392.6   70
