NBS TechNote 1164
Measurement Assurance for Dimensional Measurements
on Integrated Circuit Photomasks

Carroll Croarkin
Ruth Varner

Worksheet A
Calculations for Line-Spacing Calibration Curve
Values in Micrometers










 NBS      Observed  Differences   Fitted     Deviations
Values     Values    from NBS     Values     from Fit

  w          z          d           z'          r 
-----------------------------------------------------
 6.19       6.31       0.12       6.3455      -0.0355
 9.17       9.27       0.10       9.2869      -0.0169
 1.99       2.21       0.22       2.2000       0.0100
 7.77       8.00       0.23       7.9050       0.0950
 4.00       4.27       0.27       4.1839       0.0861
10.77      10.93       0.16      10.8662       0.0638
 4.78       4.95       0.17       4.9538      -0.0038
 2.99       3.24       0.25       3.1870       0.0530
 6.98       7.14       0.16       7.1253       0.0147
 9.98      10.23       0.25      10.0864       0.1436
 6.19       6.27       0.08       6.3455      -0.0755
 9.17       9.21       0.04       9.2869      -0.0769
 1.99       2.19       0.20       2.2000      -0.0100
 7.77       7.81       0.04       7.9050      -0.0950
 4.00       4.15       0.15       4.1839      -0.0339
10.77      10.73      -0.04      10.8662      -0.1362
 4.78       4.87       0.09       4.9538      -0.0838
 2.99       3.17       0.18       3.1870      -0.0170
 6.98       7.07       0.09       7.1253      -0.0553
 9.98      10.02       0.04      10.0864      -0.0664
 6.19       6.31       0.12       6.3455      -0.0355
 9.17       9.34       0.17       9.2869       0.0531
 1.99       2.22       0.23       2.2000       0.0200
 7.77       7.95       0.18       7.9050       0.0450
 4.00       4.15       0.15       4.1839      -0.0339
10.77      10.92       0.15      10.8662       0.0538
 4.78       5.00       0.22       4.9538       0.0462
 2.99       3.21       0.22       3.1870       0.0230
 6.98       7.18       0.20       7.1253       0.0547
 9.98      10.07       0.09      10.0864      -0.0164
 6.19       6.28       0.09       6.3455      -0.0655
 9.17       9.23       0.06       9.2869      -0.0569
 1.99       2.20       0.21       2.2000       0.0000
 7.77       7.84       0.07       7.9050      -0.0650
 4.00       4.15       0.15       4.1839      -0.0339
10.77      10.89       0.12      10.8662       0.0238
 4.78       5.00       0.22       4.9538       0.0462
 2.99       3.21       0.22       3.1870       0.0230
 6.98       7.20       0.22       7.1253       0.0747
 9.98      10.17       0.19      10.0864       0.0836
