This is dataplot data file     fletcher306.dat     3/27/19
Bob's raw lab data for IS0 RM11171
Number of observations = 85
Number of variables per line image = 7
Order of variables on a line image:
   1. Factor   1 = Diameter (37 levels)
   2. Response 1 = Concentration
   3. Response 2 = (k=1) Unc(Concentration)

To read this data file into dataplot:
   skip 25; read fletcher306.dat diam conc unc1conc 











 X        Y1          Y2      
Diam     Conc      Unc1(Conc)
------------------------------
1.1   101151.48     1542
1.2    89883.6      1294.7
1.3    80160.12     1139.977
1.4    72158.6       991.96
1.5    65052         849.6
1.7    53584.3       624.11
1.8    44461.88      489.1
2      40945         417.7
2      41193.3       299
3      18795.95      122.2
3      22233.8       136.7
3      19508.5       157.4
3.5    15089.7       112.8
4      11939.7        98
4      12092.9        60.5
4      13283.7        75.9
4      11115.4        99.1
5       7561.2        69.4
5       8405.65       45.3
5       8290.2        48.1
5       6918.8        69.8
6       5110.7        52.5
6       6195.9        33.1
6       5482.8        31.3
6       4623.5        76.7
7       3583.6        38.1
7       4444.3        25.7
7       3716.3        25.9
7       3178.3        32.5
8       2534.4        33.4
8       2918.7        21.4
8       2588.8        21
8       2340.2        29.9
9       1790.6        28.9
9       1794.1        17.8
9       1839.2        19.3
9       1776.4        22.6
10      1269.7        22.7
10      1176.4        15.3
10      1349.8        15.6
10      1290.4        20.5
11       892.9        19.2
12       653.6        15.4
12       649.8        10.8
12       732.4        11.9
12       719.1        12.6
13       493.4        12.2
14       378.3        10.2
14       414.4         9.3
14       441.5        10.5
14       416.7        10.6
15       295.6         8.75
16       239.6         7.1
16       273.4         7.9
16       294.4         7.7
16       257.5         8
17       196.4         5.6
18       161.4         4.9
18       183.4         7.1
18       221.97        6.9
18       165.4         7
19       132.9         4.2
20       109.7         3.8
20       130.3         6.2
20       158.4         6.1
20       139.9         6.1
21        88.3         3.7
22        74.6         3.2
22        94.7         5.1
22       118.9         5
22        97.5         5.6
23        62.2         3.5
24        52.8         3.1
24        68.8         4.6
25        44.9         2.7
26        38.3         2.1
26        43.6         4.3
26        70.2         3.2
27        32.3         2.1
28        28.1         2.2
28        25.3         3.5
29        23.97        1.9
30        20.9         1.8
30        16.8         2.9
30        33           2.5
