This is Dataplot data file   TAAM.DAT
Wafer Thickness
Source--Winsom Taam, Dept. of Math & Stat
Oakland University, MI  248-370-3438    taam@oakland.edu
(Used in presentation by Taam at SEMATECH
Stat Conference, March 31, 1998)
Number of Obervations = 45 wafers x 116 sites/wafer = 5220
Number of variables per line image = 4
Order of variables on a line image--
   1. Response Variable = wafer thickness
   2. Factor 1          = x-position on wafer
   3. Factor 2          = y-position on wafer
   4. Factor 3          = wafer identification (1 to 45)









    Y           XPOS        YPOS       ID
Thickness    X-position  Y-position    Id
------------------------------------------
 6957.00        0.00        0.00        1
 6931.70        0.00        0.20        1
 6946.00        0.14        0.14        1
 6951.50        0.20        0.00        1
 6975.50        0.14       -0.14        1
 6953.10        0.00       -0.20        1
 7002.20       -0.14       -0.14        1
 7017.80       -0.20        0.00        1
 6992.80       -0.14        0.14        1
 6862.80        0.00        0.40        1
 6872.90        0.15        0.37        1
 6888.30        0.28        0.28        1
 6949.10        0.37        0.15        1
 6980.50        0.40        0.00        1
 6991.80        0.37       -0.15        1
 6964.90        0.28       -0.28        1
 6904.10        0.15       -0.37        1
 6891.70        0.00       -0.40        1
 6946.20       -0.15       -0.37        1
 6993.30       -0.28       -0.28        1
 7029.90       -0.37       -0.15        1
 7031.70       -0.40        0.00        1
 7029.80       -0.37        0.15        1
 6991.40       -0.28        0.28        1
 6946.50       -0.15        0.37        1
 6799.50        0.00        0.60        1
 6792.60        0.16        0.58        1
 6796.10        0.30        0.52        1
 6865.00        0.42        0.42        1
 6922.70        0.52        0.30        1
 6955.00        0.58        0.16        1
 6963.90        0.60        0.00        1
 6983.90        0.58       -0.16        1
 6994.30        0.52       -0.30        1
 6942.10        0.42       -0.42        1
 6885.40        0.30       -0.52        1
 6853.30        0.16       -0.58        1
 6833.40        0.00       -0.60        1
 6878.50       -0.16       -0.58        1
 6927.60       -0.30       -0.52        1
 6954.00       -0.42       -0.42        1
 6971.90       -0.52       -0.30        1
 7013.20       -0.58       -0.16        1
 6993.30       -0.60        0.00        1
 6974.90       -0.58        0.16        1
 6953.50       -0.52        0.30        1
 6920.20       -0.42        0.42        1
 6911.10       -0.30        0.52        1
 6870.20       -0.16        0.58        1
 6727.80        0.00        0.80        1
 6713.90        0.16        0.78        1
 6702.30        0.31        0.74        1
 6749.70        0.44        0.67        1
 6808.10        0.57        0.57        1
 6820.90        0.67        0.44        1
 6842.40        0.74        0.31        1
 6851.30        0.78        0.16        1
 6832.40        0.80        0.00        1
 6848.50        0.78       -0.16        1
 6883.70        0.74       -0.31        1
 6907.20        0.67       -0.44        1
 6895.20        0.57       -0.57        1
 6900.60        0.44       -0.67        1
 6842.40        0.31       -0.74        1
 6788.50        0.16       -0.78        1
 6783.60        0.00       -0.80        1
 6796.10       -0.16       -0.78        1
 6842.40       -0.31       -0.74        1
 6880.50       -0.44       -0.67        1
 6893.30       -0.57       -0.57        1
 6893.30       -0.67       -0.44        1
 6925.60       -0.74       -0.31        1
 6922.10       -0.78       -0.16        1
 6888.30       -0.80        0.00        1
 6869.20       -0.78        0.16        1
 6863.80       -0.74        0.31        1
 6847.50       -0.67        0.44        1
 6821.90       -0.57        0.57        1
 6825.00       -0.44        0.67        1
 6802.50       -0.31        0.74        1
 6777.70       -0.16        0.78        1
 6597.20        0.00        1.00        1
 6583.60        0.16        0.99        1
 6583.60        0.31        0.95        1
 6631.60        0.45        0.89        1
 6677.50        0.59        0.81        1
 6641.60        0.71        0.71        1
 6624.70        0.81        0.59        1
 6654.10        0.89        0.45        1
 6676.50        0.95        0.31        1
 6672.00        0.99        0.16        1
 6656.10        1.00        0.00        1
 6684.40        0.99       -0.16        1
 6749.40        0.95       -0.31        1
 6769.80        0.89       -0.45        1
 6752.20        0.81       -0.59        1
 6755.30        0.71       -0.71        1
 6811.10        0.59       -0.81        1
